Time,Temp1,Temp2,Temp3,Temp4,Erreur,Commande PWM,Setpoint
21.04007268,25.43,24.45,24.08,24.29,0.93,153,25
23.07307124,25.51,24.53,24.09,24.27,0.92,153,25
25.13384318,25.59,24.58,24.11,24.24,0.91,153,25
27.12269807,25.68,24.64,24.14,24.24,2.89,201,27
29.1301105,26.05,24.83,24.17,24.39,2.86,202,27
31.15658569,26.66,24.89,24.21,24.39,2.83,202,27
33.22225595,27.27,24.93,24.25,24.37,2.79,202,27
35.25242949,27.78,25.07,24.29,24.45,2.75,202,27
37.21834302,28.2,25.18,24.34,24.43,2.71,202,27
39.29113197,28.59,25.32,24.4,24.51,2.66,202,27
41.26158357,28.95,25.49,24.47,24.58,2.6,201,27
43.32249403,29.25,25.62,24.55,24.6,2.53,201,27
45.32450891,29.53,25.78,24.63,24.66,2.45,200,27
47.34437943,29.77,25.95,24.72,24.72,2.37,199,27
49.36757684,30.01,26.1,24.81,24.78,2.28,197,27
51.37965655,30.2,26.24,24.91,24.85,2.19,196,27
53.40694308,30.35,26.39,25.01,24.93,2.09,194,27
55.46680856,30.5,26.58,25.12,25.05,1.99,193,27
57.43958974,30.66,26.7,25.23,25.14,1.88,191,27
59.4771862,30.74,26.83,25.35,25.2,1.77,189,27
61.48864388,30.87,27,25.46,25.34,1.65,186,27
63.53130746,30.92,27.12,25.58,25.45,1.54,184,27
65.53929496,30.96,27.23,25.69,25.53,1.42,182,27
67.5643003,30.98,27.4,25.8,25.68,1.31,180,27
69.58340311,30.98,27.48,25.92,25.8,1.2,177,27
71.62437463,30.9,27.59,26.03,25.89,1.08,175,27
73.61868978,30.87,27.7,26.14,25.97,0.97,173,27
75.66393447,30.79,27.78,26.25,26.1,0.86,170,27
77.70563722,30.77,27.86,26.35,26.2,0.75,168,27
79.70704293,30.7,27.93,26.45,26.31,0.65,166,27
81.70696497,30.64,27.97,26.55,26.41,0.55,164,27
83.76083088,30.57,28.03,26.64,26.49,0.45,162,27
85.76747823,30.5,28.08,26.72,26.56,0.36,160,27
87.78005862,30.4,28.2,26.8,26.68,0.28,158,27
89.78984094,30.33,28.23,26.88,26.77,0.2,156,27
91.8353734,30.27,28.27,26.96,26.85,0.12,154,27
93.8641057,30.2,28.33,27.02,26.94,0.04,152,27
95.87951922,30.05,28.35,27.09,27,-0.02,150,27
97.88219786,29.94,28.4,27.15,27.08,-0.09,149,27
99.92810059,29.81,28.37,27.21,27.1,-0.15,147,27
101.9656296,29.66,28.4,27.26,27.21,-0.21,146,27
103.9626932,29.51,28.42,27.3,27.27,-0.26,145,27
105.979656,29.47,28.42,27.34,27.31,-0.3,143,27
107.9926441,29.29,28.44,27.38,27.36,-0.34,142,27
110.0423126,29.19,28.37,27.41,27.38,-0.38,141,27
112.0479934,29.08,28.37,27.44,27.42,-0.41,140,27
114.0787172,28.97,28.4,27.46,27.48,-0.44,140,27
116.0855324,28.89,28.4,27.48,27.53,-0.46,139,27
118.1348338,28.76,28.37,27.49,27.55,-0.48,138,27
120.1425848,28.69,28.35,27.5,27.57,-0.49,138,27
122.143054,28.59,28.31,27.51,27.59,-0.5,137,27
124.2123122,28.48,28.29,27.51,27.61,-0.51,137,27
126.1925931,28.4,28.25,27.51,27.57,-0.51,137,27
128.2204106,28.33,28.23,27.51,27.61,-0.51,136,27
130.256429,28.25,28.2,27.5,27.61,-0.51,136,27
132.2989125,28.16,28.16,27.5,27.61,-0.5,136,27
134.2807362,28.08,28.12,27.48,27.59,-0.5,136,27
136.3147168,27.99,28.08,27.47,27.57,-0.48,136,27
138.3440893,27.95,28.08,27.45,27.59,-0.47,137,27
140.3528447,27.91,28.06,27.44,27.57,-0.45,137,27
142.367877,27.89,28.03,27.42,27.59,-0.44,137,27
144.4048431,27.82,27.97,27.4,27.53,-0.42,137,27
146.4208019,27.8,27.97,27.38,27.55,-0.4,138,27
148.4499993,27.78,27.95,27.36,27.55,-0.38,138,27
150.4538848,27.74,27.91,27.34,27.5,-0.36,138,27
152.495744,27.74,27.91,27.32,27.5,-0.34,139,27
154.5264416,27.72,27.86,27.29,27.5,-0.32,139,27
156.5412505,27.74,27.84,27.27,27.46,-0.29,140,27
158.5776792,27.74,27.84,27.25,27.46,-0.27,140,27
160.5713921,27.7,27.78,27.23,27.42,-0.25,140,27
162.5864422,27.72,27.78,27.2,27.42,-0.23,141,27
164.640729,27.7,27.76,27.18,27.36,-0.2,141,27
166.6447446,27.7,27.74,27.16,27.38,-0.18,142,27
168.6783369,27.7,27.72,27.14,27.36,-0.16,142,27
170.6736038,27.7,27.7,27.12,27.31,-0.14,143,27
172.7107961,27.72,27.7,27.1,27.34,-0.12,143,27
174.7177165,27.72,27.65,27.08,27.27,-0.1,144,27
176.7602818,27.74,27.67,27.06,27.27,-0.08,144,27
178.7645569,27.76,27.65,27.04,27.27,-0.06,144,27
180.8248253,27.78,27.65,27.03,27.25,-0.04,145,27
182.8291423,27.76,27.61,27.01,27.21,-0.03,145,27
184.8425984,27.8,27.61,26.99,27.21,-0.01,146,27
186.8595405,27.84,27.63,26.98,27.21,0.01,146,27
188.8769324,27.86,27.61,26.97,27.19,0.02,146,27
190.8932941,27.89,27.59,26.95,27.15,0.03,147,27
192.9643981,27.91,27.61,26.94,27.17,0.05,147,27
194.9437201,27.95,27.61,26.93,27.15,0.06,147,27
196.9897828,27.93,27.63,26.92,27.15,0.07,148,27
198.9816859,27.97,27.61,26.92,27.15,0.08,148,27
201.0350802,28.01,27.61,26.91,27.17,0.08,148,27
203.0775857,28.03,27.65,26.9,27.15,0.09,148,27
205.0542755,28.06,27.59,26.9,27.15,0.1,148,27
207.0720432,28.08,27.63,26.89,27.15,0.1,149,27
209.1419623,28.08,27.61,26.89,27.1,0.11,149,27
211.1200411,28.12,27.63,26.89,27.12,0.11,149,27
213.1692238,28.16,27.65,26.89,27.12,0.11,149,27
215.158901,28.2,27.65,26.88,27.12,0.11,149,27
217.1857181,28.2,27.65,26.88,27.1,0.12,149,27
219.2495022,28.25,27.67,26.89,27.12,0.12,149,27
221.250958,28.25,27.67,26.89,27.12,0.11,149,27
223.2818425,28.29,27.67,26.89,27.12,0.11,149,27
225.2854431,28.31,27.7,26.89,27.12,0.11,149,27
227.2974038,28.31,27.67,26.9,27.06,0.11,149,27
229.3139257,28.35,27.72,26.9,27.1,0.1,149,27
231.3526523,28.37,27.74,26.9,27.12,0.1,149,27
233.3807023,28.37,27.74,26.91,27.12,0.1,149,27
235.405062,28.37,27.76,26.91,27.12,0.09,149,27
237.4581642,28.37,27.74,26.92,27.08,0.09,149,27
239.4257998,28.37,27.78,26.93,27.1,0.08,149,27
241.4508209,28.37,27.76,26.93,27.1,0.07,149,27
243.4908574,28.37,27.8,26.94,27.1,0.07,148,27
245.4975865,28.42,27.78,26.95,27.1,0.06,148,27
247.5255921,28.42,27.78,26.95,27.1,0.05,148,27
249.5442662,28.42,27.78,26.96,27.1,0.05,148,27
251.608109,28.44,27.8,26.96,27.1,0.04,148,27
253.592803,28.42,27.78,26.97,27.1,0.04,148,27
255.6086578,28.42,27.8,26.97,27.12,0.03,148,27
257.6347077,28.35,27.74,26.98,27.1,0.03,148,27
259.6656637,28.42,27.8,26.98,27.1,0.02,147,27
261.7205207,28.4,27.74,26.99,27.12,0.02,147,27
263.7089446,28.33,27.76,26.99,27.12,0.01,147,27
265.7282209,28.35,27.8,26.99,27.12,0.01,147,27
267.7582667,28.33,27.8,27,27.1,0.01,147,27
269.7810564,28.33,27.8,27,27.12,0,147,27
271.7821555,28.31,27.8,27,27.12,0,147,27
273.8600039,28.31,27.8,27.01,27.12,0,147,27
275.8417678,28.29,27.78,27.01,27.12,-0.01,147,27
277.8516703,28.29,27.8,27.01,27.12,-0.01,147,27
279.8727031,28.23,27.76,27.01,27.15,-0.01,147,27
281.8988142,28.27,27.8,27.01,27.12,-0.01,147,27
283.9670579,28.27,27.8,27.02,27.15,-0.01,147,27
285.936558,28.27,27.78,27.02,27.17,-0.02,147,27
287.981905,28.25,27.78,27.02,27.17,-0.02,147,27
290.0046391,28.23,27.76,27.02,27.17,-0.02,147,27
292.0015666,28.27,27.78,27.02,27.17,-0.02,147,27
294.0262103,28.23,27.78,27.02,27.15,-0.02,147,27
296.0871592,28.23,27.78,27.02,27.17,-0.02,147,27
298.083915,28.23,27.78,27.02,27.17,-0.02,147,27
300.1050992,28.23,27.76,27.02,27.17,-0.02,147,27
302.1275957,28.2,27.74,27.01,27.12,-0.02,147,27
304.1594393,28.18,27.72,27.01,27.12,-0.01,147,27
306.1573603,28.23,27.76,27.01,27.15,-0.01,147,27
308.1871939,28.18,27.7,27.01,27.17,-0.01,147,27
310.20157,28.2,27.72,27,27.08,-0.01,147,27
312.2572703,28.18,27.74,27,27.12,0,147,27
314.2516148,28.2,27.74,27,27.12,0,147,27
316.2856693,28.16,27.74,27,27.12,0,147,27
318.2889221,28.16,27.74,27,27.1,0,147,27
320.3408253,28.12,27.7,26.99,27.15,0,147,27
322.3430049,28.16,27.72,26.99,27.1,0.01,147,27
324.3906422,28.14,27.78,26.99,27.12,0.01,147,27
326.4238801,28.18,27.74,26.99,27.12,0.01,147,27
328.4287777,28.23,27.76,26.99,27.12,0.01,147,27
330.4463568,28.23,27.76,26.99,27.12,0.01,147,27
332.4396732,28.2,27.74,26.99,27.15,0.01,147,27
