Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,22.84,23.27,23.07
1,22.84,23.27,23.09
2,22.84,23.30,23.09
3,22.82,23.30,23.07
4,22.86,23.27,23.09
5,22.84,23.27,23.05
6,22.84,23.27,23.05
7,22.86,23.25,23.09
8,22.86,23.30,23.07
9,22.86,23.27,23.07
10,22.84,23.30,23.05
11,22.84,23.30,23.11
12,22.82,23.30,23.09
13,22.86,23.27,23.09
14,22.86,23.30,23.09
15,22.86,23.25,23.09
16,22.88,23.30,23.09
17,22.88,23.32,23.09
18,22.84,23.30,23.11
19,22.88,23.30,23.07
20,22.88,23.30,23.09
21,22.86,23.34,23.11
22,22.88,23.25,23.09
23,22.88,23.34,23.11
24,22.86,23.30,23.11
25,22.88,23.25,23.11
26,22.88,23.30,23.09
27,22.86,23.30,23.11
28,22.88,23.30,23.09
29,22.88,23.27,23.11
30,22.90,23.30,23.13
31,22.88,23.34,23.15
32,22.90,23.32,23.13
33,22.88,23.34,23.13
34,22.92,23.36,23.15
35,22.95,23.38,23.13
36,22.99,23.42,23.13
37,23.01,23.44,23.15
38,23.05,23.46,23.11
39,23.09,23.50,23.13
40,23.13,23.54,23.15
41,23.17,23.56,23.13
42,23.21,23.58,23.15
43,23.25,23.63,23.13
44,23.27,23.65,23.17
45,23.32,23.67,23.17
46,23.36,23.69,23.19
47,23.40,23.73,23.19
48,23.44,23.77,23.23
49,23.46,23.81,23.23
50,23.48,23.83,23.21
51,23.52,23.85,23.27
52,23.54,23.89,23.25
53,23.58,23.91,23.27
54,23.63,23.91,23.27
55,23.65,23.96,23.32
56,23.67,24.00,23.30
57,23.71,24.02,23.34
58,23.73,24.04,23.36
59,23.75,24.06,23.36
60,23.79,24.08,23.40
61,23.79,24.12,23.40
62,23.83,24.12,23.44
63,23.83,24.14,23.44
64,23.87,24.18,23.48
65,23.87,24.20,23.48
66,23.91,24.22,23.48
67,23.96,24.24,23.52
68,23.98,24.27,23.54
69,24.00,24.29,23.56
70,24.02,24.33,23.58
71,24.04,24.35,23.63
72,24.06,24.35,23.65
73,24.10,24.39,23.63
74,24.12,24.39,23.65
75,24.14,24.41,23.67
76,24.16,24.43,23.69
77,24.16,24.47,23.71
78,24.22,24.49,23.73
79,24.24,24.47,23.75
80,24.24,24.56,23.77
81,24.29,24.58,23.79
82,24.29,24.60,23.83
83,24.31,24.60,23.83
84,24.33,24.60,23.85
85,24.35,24.66,23.83
86,24.37,24.66,23.87
87,24.37,24.70,23.93
88,24.39,24.70,23.91
89,24.41,24.74,23.93
90,24.43,24.74,23.98
91,24.47,24.78,24.00
92,24.49,24.76,24.02
93,24.51,24.83,24.02
94,24.53,24.83,24.06
95,24.56,24.87,24.08
96,24.58,24.89,24.10
97,24.62,24.89,24.12
98,24.62,24.91,24.12
99,24.64,24.93,24.14
100,24.64,24.95,24.18
101,24.66,24.95,24.16
102,24.68,24.97,24.16
103,24.72,24.99,24.20
104,24.74,25.01,24.22
105,24.76,24.99,24.24
106,24.76,25.05,24.24
107,24.78,25.05,24.27
108,24.78,25.07,24.29
109,24.80,25.10,24.31
110,24.83,25.12,24.31
111,24.83,25.12,24.33
112,24.87,25.14,24.35
113,24.89,25.16,24.37
114,24.89,25.16,24.39
115,24.91,25.20,24.41
116,24.89,25.22,24.43
117,24.95,25.20,24.43
118,24.95,25.22,24.47
119,24.97,25.24,24.47
120,24.99,25.26,24.49
121,24.99,25.26,24.49
122,25.01,25.28,24.51
123,25.01,25.30,24.53
124,25.03,25.28,24.53
125,25.03,25.32,24.56
126,25.05,25.32,24.58
127,25.07,25.34,24.58
128,25.07,25.37,24.60
129,25.07,25.37,24.60
130,25.07,25.41,24.62
131,25.12,25.43,24.64
132,25.12,25.43,24.66
133,25.14,25.45,24.68
134,25.14,25.47,24.68
135,25.18,25.49,24.72
136,25.20,25.51,24.68
137,25.22,25.51,24.72
138,25.20,25.53,24.72
139,25.22,25.51,24.76
140,25.22,25.57,24.80
141,25.24,25.57,24.78
142,25.24,25.55,24.80
143,25.24,25.59,24.80
144,25.24,25.62,24.83
145,25.26,25.64,24.85
146,25.28,25.66,24.87
147,25.28,25.66,24.87
148,25.34,25.70,24.87
149,25.32,25.70,24.91
150,25.30,25.72,24.91
151,25.34,25.72,24.93
152,25.37,25.72,24.93
153,25.34,25.74,24.95
154,25.41,25.76,24.97
155,25.37,25.76,24.97
156,25.43,25.78,24.99
157,25.43,25.78,25.01
158,25.43,25.80,24.99
159,25.45,25.78,25.03
160,25.45,25.85,25.03
161,25.47,25.85,25.05
162,25.49,25.82,25.07
163,25.49,25.87,25.07
164,25.51,25.87,25.07
165,25.53,25.89,25.07
166,25.49,25.91,25.10
167,25.55,25.91,25.10
168,25.53,25.93,25.14
169,25.55,25.95,25.16
170,25.59,25.97,25.14
171,25.57,25.97,25.16
172,25.59,25.97,25.18
173,25.57,25.99,25.18
174,25.64,25.97,25.20
175,25.64,25.97,25.22
176,25.64,25.99,25.22
177,25.64,26.03,25.22
178,25.66,26.03,25.26
179,25.68,26.03,25.26
180,25.70,26.03,25.26
181,25.70,26.08,25.28
182,25.70,26.05,25.28
183,25.72,26.08,25.28
184,25.72,26.12,25.28
185,25.72,26.08,25.30
186,25.72,26.10,25.32
187,25.74,26.08,25.34
188,25.70,26.14,25.34
189,25.74,26.14,25.34
190,25.76,26.18,25.37
191,25.74,26.16,25.39
192,25.76,26.18,25.34
193,25.78,26.20,25.41
194,25.80,26.20,25.39
195,25.80,26.22,25.41
196,25.85,26.22,25.39
197,25.85,26.22,25.43
198,25.85,26.24,25.43
199,25.85,26.26,25.45
200,25.85,26.24,25.47
201,25.87,26.26,25.47
202,25.89,26.26,25.47
203,25.89,26.28,25.47
204,25.85,26.31,25.49
205,25.91,26.33,25.51
206,25.91,26.35,25.51
207,25.93,26.31,25.51
208,25.93,26.35,25.53
209,25.95,26.33,25.55
210,25.97,26.37,25.51
211,25.97,26.37,25.55
212,25.97,26.37,25.57
213,25.97,26.37,25.59
214,25.99,26.37,25.59
215,25.97,26.39,25.59
216,25.99,26.39,25.59
217,26.01,26.39,25.62
218,25.99,26.41,25.62
219,25.99,26.43,25.62
220,25.99,26.43,25.66
221,26.01,26.45,25.62
222,26.03,26.45,25.66
223,26.01,26.45,25.66
224,26.03,26.47,25.66
225,26.03,26.47,25.68
226,26.03,26.49,25.66
227,26.05,26.49,25.68
228,26.08,26.51,25.72
229,26.08,26.51,25.70
230,26.14,26.51,25.70
231,26.12,26.51,25.72
232,26.12,26.56,25.74
233,26.10,26.54,25.74
234,26.12,26.56,25.74
235,26.14,26.58,25.76
236,26.14,26.60,25.76
237,26.16,26.58,25.76
238,26.16,26.56,25.78
239,26.16,26.60,25.76
240,26.16,26.58,25.80
241,26.18,26.60,25.80
242,26.16,26.62,25.82
243,26.18,26.62,25.82
244,26.16,26.64,25.82
245,26.14,26.64,25.85
246,26.16,26.66,25.89
247,26.18,26.66,25.85
248,26.20,26.66,25.85
249,26.18,26.68,25.87
250,26.18,26.68,25.89
251,26.22,26.68,25.89
252,26.24,26.68,25.89
253,26.24,26.72,25.91
255,26.24,26.68,25.91
256,26.24,26.72,25.93
257,26.26,26.70,25.91
258,26.26,26.70,25.93
259,26.26,26.70,25.93
260,26.26,26.72,25.93
261,26.31,26.75,25.95
262,26.26,26.75,25.95
263,26.28,26.75,25.97
264,26.31,26.75,25.97
265,26.31,26.79,25.97
266,26.28,26.75,25.97
267,26.28,26.77,25.99
268,26.31,26.77,25.99
269,26.31,26.79,25.97
270,26.31,26.79,26.01
271,26.33,26.79,25.97
272,26.33,26.79,25.99
273,26.33,26.79,26.01
274,26.35,26.77,26.01
275,26.35,26.81,26.01
276,26.35,26.81,26.03
277,26.37,26.81,25.99
278,26.37,26.83,25.99
279,26.37,26.81,26.03
280,26.35,26.83,26.03
281,26.33,26.85,26.05
282,26.35,26.85,26.03
283,26.35,26.87,26.05
284,26.35,26.87,26.08
285,26.35,26.85,26.08
286,26.39,26.85,26.08
287,26.39,26.87,26.08
288,26.39,26.87,26.10
289,26.39,26.89,26.05
290,26.41,26.87,26.10
291,26.41,26.89,26.10
292,26.39,26.89,26.10
293,26.41,26.89,26.10
294,26.41,26.91,26.08
295,26.41,26.89,26.12
296,26.45,26.91,26.10
297,26.45,26.94,26.10
298,26.47,26.91,26.14
299,26.45,26.94,26.12
300,26.47,26.96,26.14
301,26.47,26.94,26.12
302,26.47,26.91,26.14
303,26.45,26.96,26.14
304,26.47,26.96,26.12
305,26.49,26.96,26.16
306,26.47,26.96,26.16
307,26.49,26.98,26.14
308,26.47,26.96,26.18
309,26.47,26.98,26.14
310,26.49,26.96,26.16
311,26.51,26.96,26.18
312,26.51,26.98,26.16
313,26.51,26.96,26.18
314,26.51,26.96,26.18
315,26.49,27.00,26.18
316,26.54,27.00,26.16
317,26.54,26.98,26.20
318,26.51,26.98,26.20
319,26.54,26.98,26.18
320,26.51,26.98,26.22
321,26.51,27.00,26.18
322,26.51,27.00,26.20
323,26.54,26.98,26.20
324,26.54,27.00,26.22
325,26.56,27.02,26.20
326,26.56,27.02,26.22
327,26.56,27.02,26.24
328,26.54,27.02,26.22
329,26.54,27.04,26.22
330,26.56,27.04,26.24
331,26.54,27.02,26.24
332,26.56,27.02,26.24
333,26.56,27.02,26.26
334,26.56,27.02,26.28
335,26.54,27.02,26.28
336,26.54,27.04,26.28
337,26.56,27.06,26.28
338,26.51,27.08,26.28
339,26.56,27.08,26.26
340,26.54,27.08,26.28
341,26.58,27.08,26.26
342,26.58,27.08,26.24
343,26.58,27.04,26.28
344,26.58,27.10,26.28
345,26.60,27.08,26.31
346,26.60,27.10,26.28
347,26.60,27.10,26.28
348,26.62,27.12,26.31
349,26.60,27.08,26.31
350,26.62,27.10,26.31
351,26.64,27.10,26.31
352,26.62,27.08,26.33
353,26.62,27.10,26.33
354,26.62,27.15,26.31
355,26.62,27.12,26.33
356,26.58,27.10,26.31
357,26.62,27.10,26.31
358,26.64,27.10,26.31
359,26.64,27.12,26.28
360,26.62,27.10,26.31
361,26.62,27.10,26.33
362,26.62,27.10,26.33
363,26.64,27.08,26.33
364,26.62,27.10,26.33
365,26.62,27.10,26.35
366,26.62,27.12,26.35
367,26.64,27.12,26.35
368,26.64,27.10,26.37
369,26.66,27.15,26.37
370,26.64,27.17,26.39
371,26.66,27.15,26.39
372,26.66,27.17,26.41
373,26.62,27.19,26.41
374,26.66,27.21,26.39
375,26.64,27.19,26.45
376,26.68,27.21,26.43
377,26.64,27.21,26.43
378,26.68,27.19,26.45
379,26.68,27.23,26.43
380,26.68,27.23,26.45
381,26.68,27.25,26.45
382,26.68,27.21,26.45
383,26.68,27.21,26.45
384,26.66,27.23,26.45
385,26.68,27.21,26.47
386,26.70,27.25,26.45
387,26.70,27.23,26.47
388,26.68,27.25,26.45
389,26.70,27.25,26.45
390,26.72,27.25,26.47
391,26.72,27.25,26.47
392,26.70,27.23,26.47
393,26.68,27.25,26.47
394,26.68,27.25,26.47
395,26.70,27.27,26.47
396,26.72,27.23,26.49
397,26.72,27.27,26.47
398,26.72,27.27,26.49
399,26.72,27.27,26.49
400,26.77,27.29,26.49
401,26.79,27.29,26.49
402,26.75,27.29,26.49
403,26.77,27.31,26.47
404,26.77,27.31,26.49
405,26.77,27.29,26.51
406,26.79,27.27,26.51
407,26.75,27.31,26.51
408,26.81,27.34,26.51
409,26.77,27.31,26.54
410,26.79,27.36,26.54
411,26.75,27.34,26.54
412,26.79,27.36,26.54
413,26.79,27.38,26.58
414,26.81,27.38,26.56
415,26.77,27.36,26.56
416,26.81,27.38,26.58
417,26.83,27.36,26.58
418,26.81,27.40,26.58
419,26.83,27.42,26.60
420,26.79,27.40,26.60
421,26.81,27.38,26.62
422,26.81,27.40,26.60
423,26.79,27.40,26.60
424,26.79,27.40,26.60
425,26.79,27.42,26.62
426,26.79,27.40,26.60
427,26.79,27.42,26.58
428,26.79,27.40,26.62
429,26.77,27.42,26.58
430,26.75,27.42,26.62
431,26.77,27.42,26.62
432,26.79,27.42,26.62
433,26.81,27.40,26.62
434,26.81,27.40,26.60
435,26.83,27.42,26.60
436,26.79,27.40,26.62
437,26.83,27.42,26.64
438,26.81,27.42,26.66
439,26.81,27.42,26.66
440,26.83,27.40,26.64
441,26.81,27.40,26.64
442,26.79,27.42,26.66
443,26.83,27.44,26.64
444,26.81,27.42,26.64
445,26.77,27.44,26.64
446,26.79,27.44,26.64
447,26.79,27.44,26.62
448,26.79,27.42,26.66
449,26.81,27.46,26.66
450,26.77,27.46,26.66
451,26.77,27.46,26.64
452,26.79,27.46,26.66
453,26.79,27.46,26.64
454,26.81,27.44,26.64
455,26.83,27.42,26.66
456,26.85,27.46,26.66
457,26.87,27.46,26.66
458,26.87,27.46,26.66
459,26.87,27.48,26.68
460,26.87,27.46,26.68
461,26.89,27.46,26.70
462,26.91,27.44,26.68
463,26.87,27.48,26.68
464,26.89,27.44,26.70
465,26.87,27.46,26.70
466,26.89,27.48,26.70
467,26.91,27.46,26.70
468,26.91,27.46,26.66
469,26.91,27.48,26.68
470,26.89,27.48,26.70
471,26.89,27.48,26.68
472,26.87,27.48,26.70
473,26.91,27.46,26.68
474,26.91,27.50,26.68
475,26.94,27.46,26.68
476,26.94,27.48,26.68
477,26.96,27.48,26.68
478,26.96,27.50,26.70
479,26.96,27.50,26.70
480,26.98,27.48,26.70
481,27.00,27.46,26.70
482,26.96,27.48,26.70
483,26.98,27.50,26.72
484,26.98,27.50,26.72
485,26.98,27.53,26.75
486,27.00,27.53,26.70
487,26.98,27.55,26.72
488,26.98,27.53,26.75
489,26.98,27.48,26.72
490,26.98,27.53,26.70
491,27.00,27.50,26.72
492,27.00,27.50,26.72
493,26.98,27.53,26.70
