Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
0,23.9,23.96,23.87,0
1,23.9,23.96,23.87,0
2,23.9,23.96,23.87,0
3,23.9,23.96,23.87,0
4,23.9,23.96,23.87,0
5,23.9,23.96,23.87,0
6,23.9,23.96,23.87,0
7,23.9,23.96,23.87,0
8,23.9,23.96,23.87,0
9,23.9,23.96,23.87,0
10,23.9,23.96,23.87,0
11,23.9,23.96,23.87,0
12,23.9,23.96,23.87,0
13,23.9,23.96,23.87,0
14,23.9,23.96,23.87,0
15,23.9,23.96,23.87,0
16,23.9,23.96,23.87,0
17,23.9,23.96,23.87,0
18,23.81,23.96,23.87,0
19,23.9,23.96,23.87,0
20,23.9,23.96,23.87,0
21,23.9,23.96,23.87,0
22,23.9,23.96,23.87,0
23,23.9,23.96,23.87,0
24,23.9,23.96,23.87,0
25,23.9,23.96,23.87,0
26,23.9,23.96,23.87,0
27,23.9,23.96,23.87,0
28,23.9,23.96,23.87,0
29,23.9,23.96,23.87,0
30,23.81,23.96,23.87,0
31,23.81,23.96,23.87,0
32,23.9,23.96,23.87,0
33,23.81,23.96,23.87,0
34,23.9,23.96,23.87,0
35,23.81,23.96,23.87,0
36,23.81,23.96,23.87,0
37,23.9,23.96,23.87,0
38,23.9,23.96,23.87,0
39,23.99,23.96,23.87,0.2
40,24.08,23.96,23.87,0.2
41,24.08,23.96,23.87,0.2
42,24.17,23.96,23.87,0.2
43,24.17,23.96,23.87,0.2
44,24.26,23.96,23.78,0.2
45,24.26,23.96,23.78,0.2
46,24.35,23.96,23.87,0.2
47,24.35,23.96,23.87,0.2
48,24.35,23.96,23.78,0.2
49,24.35,23.96,23.78,0.2
50,24.44,23.96,23.78,0.2
51,24.44,23.96,23.78,0.2
52,24.53,24.05,23.87,0.2
53,24.53,24.05,23.78,0.2
54,24.53,24.05,23.87,0.2
55,24.53,24.05,23.87,0.2
56,24.53,24.05,23.78,0.2
57,24.62,24.05,23.87,0.2
58,24.62,24.05,23.87,0.2
59,24.62,24.05,23.87,0.2
60,24.62,24.05,23.87,0.2
61,24.71,24.14,23.87,0.2
62,24.71,24.14,23.87,0.2
63,24.71,24.14,23.87,0.2
64,24.71,24.14,23.87,0.2
65,24.71,24.14,23.87,0.2
66,24.71,24.14,23.87,0.2
67,24.71,24.14,23.87,0.2
68,24.8,24.14,23.87,0.2
69,24.8,24.14,23.87,0.2
70,24.8,24.23,23.87,0.2
71,24.8,24.23,23.87,0.2
72,24.8,24.23,23.87,0.2
73,24.8,24.23,23.87,0.2
74,24.89,24.23,23.96,0.2
75,24.89,24.23,23.96,0.2
76,24.89,24.23,23.96,0.2
77,24.89,24.32,23.96,0.2
78,24.89,24.32,23.96,0.2
79,24.89,24.32,23.96,0.2
80,24.89,24.32,23.96,0.2
81,24.89,24.32,23.96,0.2
82,24.98,24.32,23.96,0.2
83,24.98,24.32,23.96,0.2
84,24.98,24.32,23.96,0.2
85,24.98,24.32,24.05,0.2
86,24.98,24.41,24.05,0.2
87,24.98,24.41,24.05,0.2
88,24.98,24.41,24.05,0.2
89,24.98,24.41,24.05,0.2
90,25.07,24.41,24.05,0.2
91,25.07,24.41,24.05,0.2
92,25.07,24.41,24.05,0.2
93,25.07,24.41,24.05,0.2
94,25.07,24.5,24.05,0.2
95,25.07,24.41,24.14,0.2
96,25.07,24.41,24.05,0.2
97,25.07,24.5,24.05,0.2
98,25.07,24.5,24.14,0.2
99,25.07,24.5,24.14,0.2
100,25.07,24.5,24.14,0.2
101,25.16,24.5,24.14,0.2
102,25.16,24.5,24.14,0.2
103,25.16,24.5,24.14,0.2
104,25.16,24.5,24.14,0.2
105,25.16,24.5,24.14,0.2
106,25.16,24.5,24.14,0.2
107,25.16,24.5,24.14,0.2
108,25.16,24.5,24.14,0.2
109,25.16,24.5,24.14,0.2
110,25.16,24.59,24.23,0.2
111,25.16,24.59,24.23,0.2
112,25.16,24.59,24.14,0.2
113,25.25,24.59,24.23,0.2
114,25.25,24.59,24.23,0.2
115,25.25,24.59,24.23,0.2
116,25.25,24.59,24.23,0.2
117,25.25,24.59,24.23,0.2
118,25.25,24.59,24.23,0.2
119,25.25,24.59,24.23,0.2
120,25.25,24.59,24.23,0.2
121,25.25,24.59,24.23,0.2
122,25.25,24.68,24.32,0.2
123,25.25,24.59,24.32,0.2
124,25.25,24.68,24.32,0.2
125,25.25,24.68,24.32,0.2
126,25.34,24.68,24.32,0.2
127,25.34,24.68,24.32,0.2
128,25.34,24.68,24.32,0.2
129,25.34,24.68,24.32,0.2
130,25.34,24.68,24.32,0.2
131,25.34,24.68,24.32,0.2
132,25.34,24.68,24.32,0.2
133,25.34,24.68,24.32,0.2
134,25.34,24.77,24.32,0.2
135,25.34,24.68,24.32,0.2
136,25.34,24.77,24.41,0.2
137,25.34,24.77,24.41,0.2
138,25.34,24.77,24.41,0.2
139,25.34,24.77,24.41,0.2
140,25.34,24.77,24.41,0.2
141,25.34,24.77,24.41,0.2
142,25.34,24.77,24.41,0.2
143,25.34,24.77,24.41,0.2
144,25.34,24.77,24.41,0.2
145,25.34,24.77,24.41,0.2
146,25.34,24.77,24.41,0.2
147,25.34,24.77,24.41,0.2
148,25.34,24.77,24.41,0.2
149,25.43,24.77,24.41,0.2
150,25.34,24.77,24.41,0.2
151,25.43,24.77,24.41,0.2
152,25.43,24.77,24.41,0.2
153,25.43,24.77,24.41,0.2
154,25.43,24.86,24.41,0.2
155,25.43,24.86,24.41,0.2
156,25.43,24.86,24.5,0.2
157,25.43,24.86,24.5,0.2
158,25.43,24.86,24.5,0.2
159,25.43,24.86,24.5,0.2
160,25.43,24.86,24.5,0.2
161,25.43,24.86,24.5,0.2
162,25.43,24.86,24.5,0.2
163,25.43,24.86,24.5,0.2
164,25.43,24.86,24.5,0.2
165,25.43,24.86,24.5,0.2
166,25.43,24.86,24.5,0.2
167,25.43,24.86,24.5,0.2
168,25.43,24.86,24.5,0.2
169,25.43,24.86,24.5,0.2
170,25.43,24.86,24.5,0.2
171,25.43,24.86,24.5,0.2
172,25.52,24.86,24.5,0.2
173,25.52,24.86,24.59,0.2
174,25.52,24.95,24.5,0.2
175,25.52,24.95,24.59,0.2
176,25.52,24.95,24.59,0.2
177,25.52,24.95,24.59,0.2
178,25.52,24.95,24.59,0.2
179,25.52,24.95,24.5,0.2
180,25.52,24.95,24.59,0.2
181,25.52,24.95,24.59,0.2
182,25.52,24.95,24.59,0.2
183,25.52,24.95,24.59,0.2
184,25.52,24.95,24.59,0.2
185,25.52,24.95,24.59,0.2
186,25.52,24.95,24.59,0.2
187,25.52,24.95,24.59,0.2
188,25.52,24.95,24.59,0.2
189,25.52,24.95,24.59,0.2
190,25.52,24.95,24.59,0.2
191,25.52,24.95,24.59,0.2
192,25.52,24.95,24.59,0.2
193,25.52,24.95,24.59,0.2
194,25.52,24.95,24.59,0.2
195,25.52,24.95,24.59,0.2
196,25.52,24.95,24.59,0.2
197,25.52,24.95,24.59,0.2
198,25.52,24.95,24.59,0.2
199,25.52,24.95,24.59,0.2
200,25.52,24.95,24.59,0.2
201,25.52,25.04,24.68,0.2
202,25.52,25.04,24.68,0.2
203,25.52,25.04,24.68,0.2
204,25.61,25.04,24.59,0.2
205,25.61,25.04,24.68,0.2
206,25.61,25.04,24.68,0.2
207,25.61,25.04,24.68,0.2
208,25.61,25.04,24.68,0.2
209,25.61,25.04,24.68,0.2
210,25.61,25.04,24.68,0.2
211,25.61,25.04,24.68,0.2
212,25.61,25.04,24.68,0.2
213,25.61,25.04,24.68,0.2
214,25.61,25.04,24.68,0.2
215,25.61,25.04,24.68,0.2
216,25.61,25.04,24.68,0.2
217,25.61,25.04,24.68,0.2
218,25.61,25.04,24.68,0.2
219,25.61,25.04,24.68,0.2
220,25.61,25.04,24.68,0.2
221,25.61,25.04,24.68,0.2
222,25.61,25.04,24.68,0.2
223,25.61,25.04,24.68,0.2
224,25.61,25.04,24.68,0.2
225,25.61,25.04,24.68,0.2
226,25.61,25.04,24.68,0.2
227,25.61,25.04,24.68,0.2
228,25.61,25.04,24.68,0.2
229,25.61,25.13,24.68,0.2
230,25.61,25.04,24.68,0.2
231,25.61,25.04,24.68,0.2
232,25.61,25.04,24.68,0.2
233,25.61,25.04,24.68,0.2
234,25.61,25.13,24.68,0.2
235,25.61,25.13,24.77,0.2
236,25.61,25.13,24.68,0.2
237,25.61,25.13,24.77,0.2
238,25.61,25.13,24.77,0.2
239,25.61,25.13,24.77,0.2
240,25.61,25.13,24.77,0.2
241,25.7,25.13,24.77,0.2
242,25.7,25.13,24.77,0.2
243,25.7,25.13,24.77,0.2
244,25.7,25.13,24.77,0.2
245,25.7,25.13,24.77,0.2
246,25.7,25.13,24.77,0.2
247,25.7,25.13,24.77,0.2
248,25.7,25.13,24.77,0.2
249,25.7,25.13,24.77,0.2
250,25.7,25.13,24.77,0.2
251,25.7,25.13,24.77,0.2
252,25.7,25.13,24.77,0.2
253,25.7,25.13,24.86,0.2
254,25.7,25.13,24.86,0.2
255,25.7,25.13,24.86,0.2
256,25.7,25.13,24.86,0.2
257,25.7,25.22,24.86,0.2
258,25.7,25.13,24.86,0.2
259,25.7,25.22,24.86,0.2
260,25.79,25.22,24.86,0.2
261,25.79,25.22,24.86,0.2
262,25.7,25.22,24.86,0.2
263,25.79,25.22,24.86,0.2
