Temps (s),T1 (�C),T2 (�C),T3 (�C)  courant tec = 500mA, perturbation à 50secondes
Temps (s), T1 (�C), T2 (�C), T3 (�C)
0,28.61,27.72,26.98  
1,28.63,27.74,26.96  
2,28.61,27.72,27.00
3,28.63,27.74,27.00
4,28.61,27.76,27.00
5,28.63,27.76,27.00
6,28.63,27.76,27.00
7,28.65,27.76,27.02
8,28.65,27.76,27.02
9,28.67,27.74,27.02
10,28.67,27.76,27.02
11,28.67,27.78,27.02
12,28.67,27.76,27.04
13,28.65,27.76,27.02
14,28.67,27.76,27.04
15,28.67,27.80,27.02
16,28.67,27.76,27.02
17,28.67,27.76,27.02
18,28.65,27.76,27.02
19,28.67,27.78,27.02
20,28.67,27.76,27.00
21,28.67,27.78,26.98
22,28.67,27.76,26.98
23,28.65,27.76,27.00
24,28.61,27.74,26.98
25,28.61,27.74,26.96
26,28.63,27.74,26.98
27,28.61,27.74,26.98
28,28.61,27.72,26.96
29,28.61,27.72,26.96
30,28.59,27.72,26.96
31,28.63,27.72,26.96
32,28.63,27.74,26.98
33,28.63,27.76,26.98
34,28.63,27.76,26.98
35,28.61,27.74,26.98
36,28.65,27.72,26.96
37,28.65,27.74,26.96
38,28.63,27.74,26.96
39,28.63,27.72,26.96
40,28.63,27.74,26.96
41,28.63,27.72,26.91
42,28.61,27.72,26.96
43,28.63,27.72,26.96
44,28.63,27.74,26.96
45,28.63,27.72,26.96
46,28.63,27.74,26.94
47,28.61,27.74,26.94
48,28.65,27.70,26.96
49,28.63,27.74,26.96
50,28.67,27.74,26.96
51,28.65,27.76,26.98
52,28.67,27.74,26.98
53,28.67,27.76,27.02
54,28.67,27.78,27.00
55,28.69,27.78,26.98
56,28.69,27.78,26.98
57,28.69,27.80,27.00
58,28.72,27.78,26.98
59,28.76,27.82,26.98
60,28.78,27.84,26.98
61,28.82,27.89,26.98
62,28.87,27.91,26.98
63,28.95,27.97,26.98
64,28.95,27.97,27.00
65,28.99,28.01,27.00
66,29.02,28.06,27.00
67,29.06,28.08,27.04
68,29.10,28.12,27.04
69,29.14,28.16,27.04
70,29.17,28.16,27.06
71,29.21,28.18,27.06
72,29.25,28.23,27.08
73,29.27,28.23,27.08
74,29.32,28.27,27.10
75,29.32,28.29,27.10
76,29.38,28.31,27.10
77,29.40,28.35,27.15
78,29.42,28.35,27.17
79,29.42,28.40,27.17
80,29.47,28.44,27.19
81,29.51,28.46,27.21
82,29.55,28.44,27.21
83,29.55,28.48,27.23
84,29.60,28.50,27.23
85,29.60,28.52,27.23
86,29.64,28.52,27.25
87,29.66,28.57,27.27
88,29.70,28.61,27.27
89,29.75,28.63,27.31
90,29.79,28.65,27.34
91,29.79,28.69,27.34
92,29.83,28.67,27.38
93,29.88,28.72,27.38
94,29.92,28.72,27.40
95,29.90,28.76,27.38
96,29.92,28.78,27.42
97,29.96,28.78,27.44
98,29.94,28.82,27.48
99,30.01,28.82,27.50
100,30.03,28.89,27.48
101,30.03,28.91,27.53
102,30.07,28.91,27.53
103,30.07,28.95,27.59
104,30.07,28.95,27.55
105,30.05,28.93,27.59
106,30.05,28.95,27.61
107,30.09,28.97,27.61
108,30.14,28.97,27.63
109,30.18,29.02,27.67
110,30.20,29.04,27.67
111,30.22,29.08,27.70
112,30.27,29.10,27.74
113,30.29,29.14,27.76
114,30.31,29.17,27.78
115,30.37,29.17,27.82
116,30.40,29.23,27.86
117,30.42,29.25,27.89
118,30.46,29.29,27.91
119,30.46,29.29,27.93
120,30.46,29.36,27.97
121,30.46,29.38,27.99
122,30.50,29.42,28.01
123,30.53,29.49,28.06
124,30.53,29.47,28.08
125,30.53,29.51,28.08
126,30.55,29.49,28.12
127,30.57,29.53,28.12
128,30.59,29.53,28.14
129,30.57,29.55,28.16
130,30.61,29.55,28.18
131,30.59,29.55,28.23
132,30.61,29.55,28.25
133,30.68,29.57,28.23
134,30.66,29.60,28.27
135,30.66,29.60,28.29
136,30.66,29.64,28.31
137,30.68,29.64,28.33
138,30.70,29.64,28.33
139,30.70,29.66,28.35
140,30.72,29.68,28.37
141,30.74,29.70,28.35
142,30.77,29.72,28.35
143,30.79,29.72,28.40
144,30.81,29.75,28.42
145,30.81,29.79,28.48
146,30.83,29.81,28.48
147,30.87,29.83,28.50
148,30.87,29.85,28.52
149,30.90,29.85,28.55
150,30.87,29.85,28.55
151,30.87,29.85,28.57
152,30.90,29.92,28.59
153,30.90,29.94,28.61
154,30.92,29.94,28.59
155,30.94,29.94,28.63
156,30.96,29.98,28.65
157,30.96,30.01,28.67
158,30.98,30.01,28.67
159,30.96,30.01,28.72
160,30.96,30.05,28.72
161,30.98,30.05,28.72
162,31.03,30.05,28.76
