Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
0,22.88,23.60,23.33,22.97
1,22.88,23.60,23.24,22.97
2,22.88,23.60,23.33,22.97
3,22.88,23.60,23.33,22.97
4,22.97,23.60,23.33,22.97
5,22.88,23.60,23.24,22.97
6,22.88,23.60,23.33,22.97
7,22.88,23.60,23.33,23.06
8,22.88,23.60,23.24,22.97
9,22.88,23.60,23.33,22.97
10,22.97,23.51,23.33,22.97
11,22.88,23.51,23.24,22.97
12,22.88,23.51,23.24,22.97
13,22.88,23.51,23.24,22.97
14,22.79,23.51,23.24,22.97
15,22.88,23.51,23.24,22.97
16,22.88,23.51,23.24,22.97
17,22.88,23.51,23.24,22.97
18,22.88,23.51,23.24,22.97
19,22.79,23.51,23.24,22.97
20,22.88,23.51,23.24,23.06
21,22.79,23.51,23.24,23.06
22,22.79,23.51,23.24,22.97
23,22.79,23.51,23.24,22.97
24,22.88,23.51,23.15,22.97
25,22.79,23.51,23.15,22.97
26,22.79,23.51,23.15,22.97
27,22.61,23.51,23.15,23.06
28,22.26,23.42,23.15,22.97
29,21.81,23.42,23.15,23.06
30,21.36,23.42,23.15,23.06
31,21.01,23.42,23.15,23.15
32,20.65,23.42,23.15,23.24
33,20.29,23.33,23.15,23.24
34,19.94,23.33,23.15,23.33
35,19.58,23.24,23.15,23.42
36,19.32,23.24,23.15,23.51
37,19.05,23.15,23.15,23.51
38,18.87,23.15,23.15,23.60
39,18.60,22.97,23.15,23.69
40,18.34,22.97,23.06,23.60
41,18.16,22.79,23.06,23.69
42,17.98,22.70,23.06,23.87
43,17.80,22.70,22.97,23.87
44,17.62,22.61,22.97,23.87
45,17.36,22.43,22.97,23.96
46,17.27,22.35,22.97,23.96
47,17.09,22.26,22.88,23.96
48,16.91,22.17,22.88,24.14
49,16.73,22.08,22.88,24.14
50,16.64,21.99,22.79,24.14
51,16.46,21.90,22.70,24.14
52,16.29,21.90,22.70,24.23
53,16.20,21.72,22.70,24.23
54,16.02,21.63,22.61,24.32
55,15.93,21.54,22.52,24.32
56,15.84,21.45,22.52,24.41
57,15.75,21.36,22.43,24.41
58,15.66,21.27,22.35,24.41
59,15.57,21.18,22.35,24.50
60,15.39,21.10,22.26,24.59
61,15.39,21.01,22.26,24.50
62,15.21,21.01,22.17,24.50
63,15.12,20.83,22.08,24.59
64,14.94,20.74,22.08,24.68
65,14.85,20.65,21.99,24.68
66,14.85,20.65,21.90,24.68
67,14.76,20.56,21.90,24.68
68,14.67,20.38,21.81,24.77
69,14.49,20.38,21.72,24.77
70,14.49,20.29,21.63,24.77
71,14.40,20.21,21.54,24.86
72,14.40,20.12,21.54,24.86
73,14.31,20.03,21.45,24.86
74,14.31,19.94,21.45,24.95
75,14.22,19.94,21.36,24.95
76,14.13,19.76,21.27,24.95
77,14.04,19.76,21.18,24.95
78,13.95,19.67,21.18,25.04
79,13.86,19.58,21.10,25.04
80,13.77,19.49,21.01,25.04
81,13.77,19.49,21.01,25.04
82,13.59,19.40,20.92,25.13
83,13.59,19.32,20.83,25.13
84,13.59,19.23,20.74,25.13
85,13.41,19.14,20.74,25.13
86,13.41,19.14,20.65,25.22
87,13.32,19.05,20.56,25.22
88,13.32,18.96,20.56,25.22
89,13.23,18.87,20.38,25.31
90,13.14,18.87,20.38,25.31
91,13.05,18.78,20.29,25.31
92,13.05,18.69,20.21,25.40
93,12.96,18.60,20.21,25.31
94,12.86,18.60,20.12,25.31
95,12.77,18.51,20.03,25.40
96,12.77,18.51,20.03,25.40
97,12.68,18.43,19.94,25.40
98,12.59,18.34,19.85,25.40
99,12.59,18.25,19.76,25.40
100,12.50,18.16,19.76,25.40
101,12.50,18.07,19.67,25.49
102,12.41,18.07,19.58,25.49
103,12.41,17.98,19.58,25.49
104,12.32,17.98,19.49,25.49
105,12.32,17.89,19.40,25.49
106,12.23,17.89,19.40,25.58
107,12.23,17.80,19.32,25.58
108,12.23,17.71,19.23,25.58
109,12.14,17.62,19.23,25.58
110,11.95,17.62,19.23,25.58
111,11.95,17.54,19.14,25.58
112,11.95,17.54,19.05,25.58
113,11.86,17.45,18.96,25.67
114,11.86,17.36,18.96,25.67
115,11.77,17.36,18.87,25.67
116,11.77,17.27,18.78,25.67
117,11.77,17.27,18.78,25.67
118,11.68,17.18,18.69,25.67
119,11.59,17.18,18.69,25.67
120,11.59,17.00,18.60,25.77
121,11.49,17.00,18.51,25.67
122,11.49,17.00,18.51,25.77
123,11.40,16.91,18.43,25.77
124,11.40,16.91,18.43,25.77
125,11.40,16.82,18.34,25.77
126,11.31,16.82,18.34,25.77
127,11.31,16.73,18.25,25.77
128,11.22,16.64,18.25,25.77
129,11.22,16.64,18.16,25.77
130,11.22,16.55,18.07,25.77
131,11.13,16.55,18.07,25.86
132,11.03,16.46,17.98,25.77
133,11.03,16.46,17.89,25.86
134,11.03,16.38,17.89,25.86
135,10.94,16.38,17.89,25.86
136,10.94,16.29,17.80,25.86
137,10.94,16.29,17.80,25.86
138,10.94,16.20,17.71,25.86
139,10.94,16.20,17.71,25.86
140,10.85,16.11,17.62,25.86
141,10.76,16.11,17.62,25.86
