Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
0,24.32,24.68,24.23,24.23
1,24.23,24.68,24.23,24.23
2,24.32,24.68,24.23,24.23
3,24.23,24.68,24.23,24.32
4,24.23,24.68,24.23,24.32
5,24.23,24.68,24.23,24.23
6,24.23,24.68,24.23,24.23
7,24.23,24.68,24.23,24.32
8,24.23,24.68,24.23,24.32
9,24.23,24.68,24.23,24.23
10,24.23,24.68,24.23,24.32
11,24.23,24.68,24.23,24.32
12,24.23,24.59,24.23,24.32
13,24.23,24.59,24.32,24.23
14,24.23,24.68,24.23,24.23
15,24.23,24.68,24.23,24.32
16,24.23,24.68,24.23,24.32
17,24.23,24.68,24.23,24.23
18,24.32,24.68,24.23,24.23
19,24.23,24.68,24.23,24.32
20,24.23,24.68,24.32,24.32
21,24.23,24.68,24.32,24.32
22,24.23,24.68,24.32,24.23
23,24.23,24.68,24.23,24.23
24,24.23,24.68,24.32,24.23
25,24.23,24.68,24.32,24.32
26,24.23,24.68,24.32,24.32
27,24.23,24.59,24.23,24.32
28,24.23,24.68,24.23,24.32
29,24.23,24.77,24.32,24.32
30,24.14,24.59,24.32,24.32
31,24.14,24.59,24.32,24.32
32,24.23,24.68,24.23,24.32
33,24.23,24.68,24.32,24.32
34,24.23,24.68,24.32,24.32
35,24.14,24.59,24.32,24.32
36,24.23,24.68,24.32,24.32
37,24.32,24.68,24.32,24.32
38,24.59,24.68,24.32,24.32
39,24.86,24.68,24.32,24.23
40,25.04,24.68,24.23,24.23
41,25.13,24.68,24.32,24.23
42,25.31,24.68,24.32,24.23
43,25.49,24.68,24.32,24.14
44,25.67,24.77,24.32,24.23
45,25.77,24.68,24.32,24.14
46,25.86,24.77,24.32,24.14
47,25.95,24.77,24.32,24.14
48,26.13,24.86,24.32,24.05
49,26.22,24.86,24.32,24.14
50,26.31,24.95,24.32,24.05
51,26.40,24.95,24.32,24.05
52,26.49,24.95,24.32,24.05
53,26.49,25.04,24.32,24.05
54,26.59,25.04,24.32,23.96
55,26.68,25.13,24.41,23.96
56,26.77,25.13,24.41,23.96
57,26.86,25.22,24.32,23.96
58,26.86,25.22,24.41,23.96
59,26.95,25.40,24.41,23.96
60,27.04,25.40,24.41,23.96
61,27.13,25.31,24.41,23.96
