Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
0,22.61,23.24,22.88,22.88
1,22.52,23.24,22.97,22.88
2,22.52,23.24,22.88,22.88
3,22.52,23.24,22.97,22.97
4,22.61,23.15,22.97,22.88
5,22.52,23.24,22.88,22.88
6,22.52,23.24,22.88,22.97
7,22.52,23.15,22.88,22.97
8,22.52,23.24,22.88,22.88
9,22.52,23.15,22.88,22.88
10,22.52,23.24,22.97,22.88
11,22.52,23.15,22.88,22.88
12,22.52,23.15,22.88,22.88
13,22.52,23.15,22.88,22.88
14,22.52,23.15,22.88,22.88
15,22.52,23.24,22.88,22.88
16,22.52,23.15,22.79,22.88
17,22.52,23.15,22.88,22.97
18,22.52,23.15,22.88,22.88
19,22.61,23.15,22.88,22.88
20,22.52,23.15,22.88,22.88
21,22.52,23.15,22.88,22.88
22,22.52,23.15,22.88,22.88
23,22.43,23.15,22.88,22.88
24,22.52,23.15,22.88,22.79
25,22.52,23.15,22.88,22.79
26,22.52,23.15,22.79,22.88
27,22.43,23.15,22.88,22.88
28,22.35,23.15,22.79,22.88
29,22.17,23.15,22.88,22.88
30,21.99,23.15,22.79,22.97
31,21.81,23.06,22.79,22.97
32,21.63,23.06,22.79,22.88
33,21.54,23.06,22.79,22.88
34,21.36,23.06,22.79,22.97
35,21.27,23.06,22.88,22.97
36,21.18,23.06,22.79,22.97
37,21.10,23.06,22.79,22.97
38,20.92,22.97,22.79,23.06
39,20.83,22.97,22.79,23.06
40,20.74,22.88,22.79,23.06
41,20.56,22.88,22.79,23.06
42,20.56,22.88,22.79,23.06
43,20.47,22.79,22.79,23.15
44,20.38,22.79,22.88,23.15
45,20.38,22.70,22.70,23.06
46,20.29,22.70,22.70,23.06
47,20.21,22.61,22.70,23.06
48,20.12,22.61,22.70,23.24
49,20.12,22.61,22.70,23.15
50,20.03,22.52,22.70,23.15
51,19.94,22.52,22.70,23.15
52,19.94,22.52,22.61,23.24
53,19.85,22.43,22.61,23.24
54,19.85,22.35,22.61,23.24
55,19.76,22.35,22.61,23.24
56,19.67,22.35,22.52,23.33
57,19.58,22.26,22.52,23.24
58,19.67,22.26,22.52,23.24
59,19.58,22.26,22.52,23.33
60,19.49,22.17,22.52,23.24
61,19.49,22.17,22.43,23.24
62,19.49,22.17,22.43,23.33
63,19.40,22.08,22.43,23.33
64,19.32,22.08,22.35,23.24
65,19.32,21.99,22.35,23.33
66,19.32,21.99,22.35,23.33
67,19.32,21.90,22.35,23.33
68,19.23,21.90,22.26,23.33
69,19.14,21.90,22.26,23.33
70,19.05,21.90,22.26,23.33
71,19.14,21.81,22.17,23.33
72,19.05,21.81,22.17,23.33
73,19.05,21.81,22.17,23.42
74,18.96,21.72,22.08,23.42
75,18.96,21.72,22.08,23.42
76,18.87,21.63,22.08,23.42
77,18.87,21.63,22.08,23.42
78,18.87,21.63,22.08,23.42
79,18.78,21.54,21.99,23.42
80,18.78,21.54,21.99,23.42
81,18.87,21.45,21.90,23.42
82,18.78,21.45,21.90,23.42
83,18.78,21.45,21.90,23.51
84,18.69,21.45,21.90,23.42
85,18.69,21.45,21.90,23.42
86,18.60,21.36,21.81,23.51
87,18.60,21.36,21.81,23.51
88,18.60,21.36,21.72,23.42
89,18.60,21.36,21.72,23.51
90,18.60,21.27,21.72,23.51
91,18.51,21.18,21.72,23.42
92,18.43,21.18,21.63,23.60
93,18.51,21.18,21.63,23.51
94,18.43,21.18,21.63,23.51
95,18.43,21.10,21.54,23.51
96,18.43,21.10,21.54,23.60
97,18.34,21.10,21.54,23.51
98,18.34,21.10,21.54,23.51
99,18.34,21.01,21.45,23.51
100,18.34,21.01,21.54,23.51
101,18.34,21.01,21.45,23.51
102,18.34,20.92,21.45,23.51
103,18.25,20.92,21.36,23.51
104,18.25,20.92,21.36,23.60
105,18.25,20.92,21.36,23.60
106,18.16,20.92,21.36,23.60
107,18.25,20.83,21.27,23.60
108,18.16,20.83,21.27,23.60
109,18.16,20.83,21.27,23.51
110,18.16,20.83,21.18,23.60
111,18.07,20.74,21.18,23.60
112,18.07,20.74,21.18,23.60
113,18.07,20.74,21.10,23.51
114,17.98,20.65,21.18,23.60
115,18.07,20.65,21.10,23.60
116,17.98,20.65,21.01,23.60
117,17.98,20.65,21.10,23.69
118,17.98,20.56,21.01,23.60
119,17.89,20.56,21.01,23.69
120,17.89,20.56,21.01,23.60
121,17.89,20.56,21.01,23.60
122,17.80,20.47,20.92,23.60
123,17.80,20.47,20.92,23.60
124,17.80,20.47,20.92,23.69
125,17.80,20.56,20.83,23.69
126,17.89,20.47,20.92,23.60
127,17.80,20.38,20.83,23.60
128,17.71,20.38,20.83,23.60
129,17.80,20.29,20.83,23.60
130,17.80,20.38,20.74,23.69
131,17.71,20.29,20.83,23.69
132,17.71,20.29,20.74,23.69
133,17.71,20.29,20.74,23.60
134,17.71,20.21,20.74,23.69
135,17.62,20.21,20.74,23.69
136,17.62,20.21,20.65,23.69
137,17.62,20.21,20.65,23.69
138,17.62,20.21,20.65,23.69
139,17.54,20.21,20.65,23.69
140,17.62,20.12,20.65,23.69
141,17.62,20.12,20.56,23.69
142,17.54,20.12,20.56,23.69
143,17.45,20.12,20.56,23.69
144,17.54,20.12,20.47,23.69
145,17.45,20.03,20.56,23.69
146,17.45,20.03,20.47,23.69
147,17.45,20.03,20.47,23.69
148,17.45,20.03,20.56,23.69
149,17.45,20.03,20.47,23.78
150,17.54,19.94,20.47,23.69
151,17.45,19.94,20.47,23.69
152,17.45,19.94,20.38,23.69
153,17.36,19.94,20.38,23.69
154,17.36,19.94,20.38,23.69
155,17.45,19.85,20.38,23.69
156,17.36,19.94,20.29,23.78
157,17.36,19.85,20.29,23.69
158,17.36,19.85,20.29,23.78
159,17.36,19.76,20.29,23.69
160,17.27,19.85,20.29,23.78
161,17.27,19.85,20.29,23.78
162,17.27,19.85,20.21,23.78
163,17.36,19.85,20.21,23.69
164,17.18,19.76,20.21,23.78
165,17.18,19.76,20.21,23.69
166,17.18,19.76,20.21,23.78
167,17.18,19.76,20.12,23.78
168,17.18,19.67,20.12,23.69
169,17.09,19.67,20.12,23.78
170,17.18,19.67,20.12,23.78
171,17.18,19.58,20.12,23.69
172,17.18,19.58,20.12,23.87
173,17.09,19.58,20.03,23.78
174,17.09,19.58,20.03,23.78
175,17.18,19.58,20.03,23.78
176,17.09,19.58,20.03,23.78
177,17.00,19.58,20.03,23.69
178,17.18,19.58,19.94,23.78
179,17.09,19.58,19.94,23.78
180,17.09,19.49,19.94,23.69
181,17.00,19.49,19.94,23.78
182,17.00,19.49,19.94,23.78
183,17.00,19.49,19.94,23.78
184,17.00,19.49,19.85,23.78
185,17.00,19.49,19.85,23.78
186,17.00,19.40,19.85,23.78
187,17.00,19.49,19.85,23.78
188,16.91,19.32,19.85,23.78
189,16.91,19.40,19.85,23.78
190,17.00,19.40,19.76,23.69
191,16.91,19.40,19.85,23.78
192,16.91,19.40,19.76,23.87
193,16.91,19.40,19.76,23.87
194,16.82,19.32,19.76,23.78
195,17.00,19.32,19.76,23.78
196,16.91,19.32,19.76,23.78
197,16.91,19.32,19.76,23.78
198,16.82,19.32,19.76,23.78
199,16.82,19.32,19.67,23.78
200,16.82,19.32,19.76,23.78
201,16.82,19.32,19.67,23.87
202,16.82,19.23,19.67,23.78
204,16.91,19.23,19.67,23.78
205,16.82,19.32,19.67,23.78
206,16.82,19.23,19.67,23.78
207,16.82,19.23,19.67,23.78
208,16.73,19.23,19.58,23.78
209,16.73,19.23,19.58,23.87
210,16.73,19.14,19.58,23.78
211,16.73,19.14,19.58,23.78
212,16.73,19.14,19.58,23.78
213,16.73,19.14,19.58,23.78
214,16.82,19.14,19.58,23.78
215,16.73,19.14,19.58,23.78
216,16.73,19.14,19.58,23.87
217,16.82,19.14,19.49,23.87
218,16.73,19.14,19.49,23.78
219,16.73,19.14,19.49,23.87
220,16.73,19.05,19.49,23.78
221,16.73,19.14,19.49,23.87
222,16.73,19.14,19.58,23.78
223,16.64,19.05,19.49,23.87
224,16.73,19.05,19.49,23.78
225,16.64,18.96,19.49,23.78
226,16.64,19.14,19.49,23.78
227,16.73,19.05,19.49,23.78
228,16.64,19.05,19.49,23.78
229,16.64,19.05,19.49,23.87
230,16.64,19.05,19.49,23.78
231,16.55,19.05,19.40,23.87
232,16.55,18.96,19.40,23.87
233,16.64,18.96,19.40,23.78
234,16.64,19.05,19.40,23.78
235,16.55,18.96,19.40,23.87
236,16.55,19.05,19.32,23.87
237,16.73,18.96,19.32,23.87
238,16.55,18.96,19.32,23.87
239,16.55,18.96,19.32,23.87
240,16.64,18.87,19.32,23.78
241,16.55,18.96,19.32,23.78
242,16.64,18.87,19.32,23.78
243,16.55,18.96,19.32,23.87
244,16.64,18.87,19.32,23.78
245,16.55,18.87,19.32,23.78
246,16.55,18.87,19.23,23.87
247,16.55,18.87,19.32,23.87
248,16.55,18.87,19.32,23.87
249,16.55,18.87,19.23,23.87
250,16.55,18.87,19.23,23.87
251,16.55,18.87,19.23,23.78
252,16.64,18.87,19.23,23.78
253,16.46,18.87,19.23,23.78
254,16.46,18.87,19.32,23.87
255,16.46,18.87,19.23,23.78
256,16.46,18.87,19.23,23.87
257,16.55,18.87,19.32,23.78
258,16.55,18.87,19.23,23.78
259,16.46,18.87,19.23,23.78
260,16.46,18.78,19.23,23.87
261,16.46,18.78,19.23,23.87
262,16.55,18.87,19.23,23.87
263,16.55,18.87,19.23,23.78
264,16.55,18.87,19.23,23.87
265,16.46,18.78,19.23,23.87
266,16.55,18.87,19.23,23.87
267,16.46,18.87,19.23,23.78
268,16.46,18.87,19.23,23.87
269,16.46,18.78,19.23,23.87
