Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
0,24.05,24.23,24.14,0.0
1,24.05,24.23,24.14,0.0
2,24.05,24.23,24.14,0.0
3,24.05,24.23,24.14,0.0
4,24.05,24.32,24.14,0.0
5,24.05,24.23,24.14,0.0
6,24.05,24.23,24.14,0.0
7,24.05,24.23,24.14,0.0
8,24.05,24.23,24.05,0.0
9,24.05,24.23,24.14,0.0
10,24.05,24.32,24.14,0.0
11,23.96,24.32,24.14,-1.0
12,23.78,24.23,24.14,-1.0
13,23.51,24.23,24.14,-1.0
14,23.33,24.23,24.14,-1.0
15,23.15,24.23,24.14,-1.0
16,22.97,24.23,24.14,-1.0
17,22.79,24.23,24.14,-1.0
18,22.7,24.23,24.14,-1.0
19,22.52,24.23,24.14,-1.0
20,22.43,24.23,24.14,-1.0
21,22.35,24.14,24.14,-1.0
22,22.26,24.14,24.14,-1.0
23,22.08,24.14,24.14,-1.0
24,21.99,24.05,24.14,-1.0
25,21.9,24.05,24.14,-1.0
26,21.81,23.96,24.14,-1.0
27,21.72,23.96,24.05,-1.0
28,21.63,23.87,24.05,-1.0
29,21.54,23.87,24.05,-1.0
30,21.45,23.78,24.05,-1.0
31,21.45,23.78,24.05,-1.0
32,21.36,23.69,24.05,-1.0
33,21.27,23.69,24.05,-1.0
34,21.18,23.6,23.96,-1.0
35,21.18,23.6,23.96,-1.0
36,21.1,23.51,23.96,-1.0
37,21.01,23.51,23.96,-1.0
38,21.01,23.51,23.87,-1.0
39,20.92,23.42,23.87,-1.0
40,20.83,23.42,23.87,-1.0
41,20.83,23.33,23.87,-1.0
42,20.74,23.33,23.87,-1.0
43,20.74,23.24,23.78,-1.0
44,20.65,23.24,23.78,-1.0
45,20.65,23.15,23.78,-1.0
46,20.56,23.15,23.69,-1.0
47,20.56,23.06,23.69,-1.0
48,20.56,23.06,23.69,-1.0
49,20.47,23.06,23.6,-1.0
50,20.38,22.97,23.6,-1.0
51,20.38,22.97,23.6,-1.0
52,20.29,22.88,23.51,-1.0
53,20.29,22.88,23.51,-1.0
54,20.21,22.88,23.51,-1.0
55,20.21,22.79,23.42,-1.0
56,20.21,22.79,23.42,-1.0
57,20.12,22.7,23.42,-1.0
58,20.03,22.7,23.33,-1.0
59,20.03,22.7,23.33,-1.0
60,19.94,22.61,23.33,-1.0
61,19.94,22.61,23.33,-1.0
62,19.85,22.52,23.24,-1.0
63,19.85,22.52,23.24,-1.0
64,19.85,22.43,23.24,-1.0
65,19.76,22.43,23.15,-1.0
66,19.76,22.43,23.15,-1.0
67,19.67,22.35,23.06,-1.0
68,19.67,22.35,23.06,-1.0
69,19.58,22.35,23.06,-1.0
70,19.58,22.26,22.97,-1.0
71,19.58,22.26,22.97,-1.0
72,19.58,22.26,22.97,-1.0
73,19.58,22.17,22.97,-1.0
74,19.58,22.17,22.88,-1.0
75,19.58,22.17,22.88,-1.0
76,19.49,22.08,22.79,-1.0
77,19.49,22.08,22.79,-1.0
78,19.49,21.99,22.79,-1.0
79,19.4,21.99,22.79,-1.0
80,19.4,21.99,22.7,-1.0
81,19.32,21.99,22.7,-1.0
82,19.32,21.9,22.7,-1.0
83,19.23,21.9,22.61,-1.0
84,19.23,21.9,22.61,-1.0
85,19.23,21.9,22.61,-1.0
86,19.14,21.81,22.52,-1.0
87,19.14,21.81,22.61,-1.0
88,19.14,21.81,22.52,-1.0
89,19.14,21.72,22.52,-1.0
90,19.05,21.72,22.52,-1.0
91,19.05,21.72,22.43,-1.0
92,19.05,21.63,22.43,-1.0
93,19.05,21.63,22.43,-1.0
94,19.05,21.63,22.35,-1.0
95,19.05,21.63,22.35,-1.0
96,19.05,21.54,22.35,-1.0
97,18.96,21.54,22.35,-1.0
98,18.96,21.54,22.26,-1.0
99,18.96,21.45,22.26,-1.0
100,18.87,21.45,22.26,-1.0
101,18.87,21.45,22.17,-1.0
102,18.87,21.36,22.17,-1.0
103,18.87,21.36,22.17,-1.0
104,18.78,21.36,22.08,-1.0
105,18.78,21.36,22.08,-1.0
106,18.69,21.36,22.08,-1.0
107,18.69,21.27,22.08,-1.0
108,18.69,21.27,22.08,-1.0
109,18.69,21.27,21.99,-1.0
110,18.69,21.18,21.99,-1.0
111,18.69,21.18,21.99,-1.0
112,18.69,21.18,21.9,-1.0
113,18.69,21.1,21.9,-1.0
114,18.6,21.18,21.9,-1.0
115,18.6,21.1,21.9,-1.0
116,18.6,21.1,21.9,-1.0
117,18.51,21.1,21.81,-1.0
118,18.51,21.1,21.81,-1.0
119,18.51,21.01,21.72,-1.0
120,18.43,21.01,21.72,-1.0
121,18.43,21.01,21.72,-1.0
122,18.43,20.92,21.72,-1.0
123,18.43,20.92,21.63,-1.0
124,18.34,20.92,21.63,-1.0
125,18.34,20.92,21.63,-1.0
126,18.34,20.83,21.63,-1.0
127,18.34,20.83,21.54,-1.0
128,18.34,20.83,21.54,-1.0
129,18.34,20.74,21.54,-1.0
130,18.34,20.74,21.54,-1.0
131,18.34,20.74,21.54,-1.0
132,18.25,20.74,21.45,-1.0
133,18.25,20.65,21.45,-1.0
134,18.25,20.65,21.45,-1.0
135,18.25,20.65,21.45,-1.0
136,18.25,20.65,21.36,-1.0
137,18.16,20.65,21.36,-1.0
138,18.16,20.65,21.36,-1.0
139,18.16,20.56,21.36,-1.0
140,18.16,20.56,21.36,-1.0
141,18.07,20.56,21.36,-1.0
142,18.07,20.56,21.36,-1.0
143,18.07,20.56,21.27,-1.0
144,18.07,20.56,21.27,-1.0
145,18.07,20.47,21.27,-1.0
146,17.98,20.47,21.27,-1.0
147,17.98,20.47,21.18,-1.0
148,17.98,20.47,21.18,-1.0
149,17.98,20.47,21.18,-1.0
150,17.98,20.38,21.18,-1.0
151,17.98,20.38,21.18,-1.0
152,17.98,20.38,21.1,-1.0
153,17.98,20.38,21.1,-1.0
154,17.98,20.38,21.1,-1.0
155,17.89,20.38,21.1,-1.0
156,17.89,20.29,21.1,-1.0
157,17.89,20.29,21.1,-1.0
158,17.89,20.29,21.1,-1.0
159,17.8,20.29,21.01,-1.0
160,17.8,20.29,21.01,-1.0
161,17.8,20.21,21.01,-1.0
162,17.8,20.21,21.01,-1.0
163,17.8,20.21,20.92,-1.0
164,17.89,20.21,20.92,-1.0
165,17.89,20.21,20.92,-1.0
166,17.89,20.21,20.92,-1.0
167,17.8,20.21,20.92,-1.0
168,17.8,20.12,20.92,-1.0
169,17.8,20.12,20.92,-1.0
170,17.8,20.12,20.83,-1.0
171,17.71,20.12,20.83,-1.0
172,17.71,20.12,20.83,-1.0
173,17.71,20.03,20.83,-1.0
174,17.62,20.03,20.83,-1.0
175,17.62,20.03,20.83,-1.0
176,17.62,20.03,20.74,-1.0
177,17.62,20.03,20.74,-1.0
178,17.62,20.03,20.74,-1.0
179,17.62,19.94,20.74,-1.0
180,17.54,19.94,20.74,-1.0
181,17.54,19.94,20.74,-1.0
182,17.54,19.94,20.74,-1.0
183,17.54,19.94,20.65,-1.0
184,17.54,19.94,20.65,-1.0
185,17.54,19.94,20.65,-1.0
186,17.45,19.94,20.65,-1.0
187,17.45,19.94,20.65,-1.0
188,17.45,19.85,20.65,-1.0
189,17.45,19.85,20.56,-1.0
190,17.45,19.85,20.56,-1.0
191,17.45,19.85,20.56,-1.0
192,17.45,19.85,20.56,-1.0
193,17.36,19.76,20.56,-1.0
194,17.45,19.76,20.56,-1.0
195,17.45,19.76,20.56,-1.0
196,17.45,19.76,20.47,-1.0
197,17.45,19.76,20.47,-1.0
198,17.45,19.76,20.47,-1.0
199,17.45,19.67,20.47,-1.0
200,17.45,19.67,20.47,-1.0
201,17.45,19.67,20.47,-1.0
202,17.45,19.67,20.47,-1.0
203,17.36,19.67,20.47,-1.0
204,17.36,19.67,20.38,-1.0
205,17.45,19.67,20.38,-1.0
206,17.45,19.67,20.38,-1.0
207,17.45,19.58,20.38,-1.0
208,17.45,19.58,20.38,-1.0
209,17.45,19.58,20.38,-1.0
210,17.45,19.58,20.38,-1.0
211,17.45,19.58,20.29,-1.0
212,17.36,19.58,20.29,-1.0
213,17.36,19.58,20.29,-1.0
214,17.36,19.58,20.29,-1.0
215,17.45,19.58,20.29,-1.0
216,17.45,19.49,20.29,-1.0
217,17.45,19.49,20.29,-1.0
218,17.45,19.49,20.29,-1.0
219,17.45,19.49,20.29,-1.0
220,17.36,19.49,20.21,-1.0
221,17.36,19.49,20.21,-1.0
222,17.27,19.49,20.21,-1.0
223,17.27,19.49,20.21,-1.0
224,17.27,19.49,20.21,-1.0
225,17.27,19.4,20.21,-1.0
226,17.27,19.4,20.21,-1.0
227,17.27,19.4,20.21,-1.0
228,17.27,19.4,20.12,-1.0
229,17.27,19.4,20.12,-1.0
230,17.27,19.4,20.12,-1.0
231,17.27,19.4,20.12,-1.0
232,17.18,19.4,20.12,-1.0
233,17.18,19.4,20.12,-1.0
234,17.18,19.4,20.12,-1.0
235,17.18,19.4,20.12,-1.0
236,17.18,19.4,20.12,-1.0
237,17.18,19.4,20.12,-1.0
238,17.18,19.32,20.03,-1.0
239,17.18,19.32,20.03,-1.0
240,17.18,19.32,20.03,-1.0
241,17.09,19.32,20.03,-1.0
242,17.09,19.32,20.03,-1.0
243,17.09,19.32,20.03,-1.0
244,17.09,19.32,20.03,-1.0
245,17.18,19.32,20.03,-1.0
246,17.18,19.23,20.03,-1.0
247,17.09,19.23,20.03,-1.0
248,17.09,19.32,20.03,-1.0
249,17.09,19.23,20.03,-1.0
250,17.09,19.32,20.03,-1.0
251,17.09,19.23,20.03,-1.0
252,17.09,19.23,20.03,-1.0
253,17.09,19.23,20.03,-1.0
254,17.09,19.23,19.94,-1.0
255,17.09,19.23,19.94,-1.0
256,17.09,19.23,19.94,-1.0
257,17.09,19.23,19.94,-1.0
258,17.09,19.23,19.94,-1.0
259,17.09,19.23,19.94,-1.0
260,17.09,19.23,19.94,-1.0
261,17.09,19.23,19.94,-1.0
262,17.09,19.23,19.94,-1.0
263,17.09,19.23,19.94,-1.0
264,17.09,19.23,19.94,-1.0
265,17.09,19.23,19.94,-1.0
266,17.09,19.23,19.94,-1.0
267,17.09,19.23,19.94,-1.0
268,17.0,19.23,19.94,-1.0
270,17.0,19.23,19.94,-1.0
271,17.0,19.23,19.94,-1.0
272,17.0,19.23,19.94,-1.0
273,17.0,19.23,19.94,-1.0
274,17.0,19.23,19.94,-1.0
275,17.0,19.14,19.85,-1.0
276,17.0,19.14,19.85,-1.0
277,17.0,19.14,19.85,-1.0
278,17.0,19.14,19.85,-1.0
279,17.0,19.14,19.85,-1.0
280,17.0,19.14,19.85,-1.0
281,17.0,19.14,19.85,-1.0
282,17.0,19.14,19.85,-1.0
283,17.09,19.05,19.85,-1.0
284,17.09,19.14,19.85,-1.0
285,17.09,19.05,19.85,-1.0
286,17.0,19.05,19.85,-1.0
287,17.0,19.05,19.85,-1.0
288,17.0,19.14,19.85,-1.0
289,17.0,19.05,19.85,-1.0
290,16.91,19.14,19.85,-1.0
291,16.91,19.05,19.85,-1.0
292,16.91,19.14,19.85,-1.0
293,16.91,19.05,19.76,-1.0
294,16.91,19.05,19.76,-1.0
295,16.91,19.05,19.76,-1.0
296,16.91,19.05,19.76,-1.0
297,16.91,19.05,19.76,-1.0
298,16.91,19.05,19.76,-1.0
299,16.91,19.05,19.76,-1.0
300,16.91,19.05,19.76,-1.0
301,16.91,19.05,19.76,-1.0
302,16.91,19.05,19.76,-1.0
303,16.91,19.05,19.76,-1.0
304,16.91,19.05,19.76,-1.0
305,16.91,19.05,19.76,-1.0
306,16.82,19.05,19.76,-1.0
307,16.82,19.05,19.76,-1.0
308,16.82,19.05,19.76,-1.0
309,16.82,19.05,19.76,-1.0
310,16.82,19.05,19.76,-1.0
311,16.82,19.05,19.76,-1.0
312,16.82,19.05,19.76,-1.0
313,16.82,19.05,19.76,-1.0
314,16.82,19.05,19.76,-1.0
315,16.82,19.05,19.76,-1.0
316,16.82,19.05,19.76,-1.0
317,16.82,19.05,19.76,-1.0
318,16.82,19.05,19.76,-1.0
319,16.73,19.05,19.76,-1.0
320,16.73,19.05,19.76,-1.0
321,16.73,19.05,19.76,-1.0
322,16.73,19.05,19.76,-1.0
323,16.73,19.05,19.76,-1.0
324,16.73,18.96,19.67,-1.0
325,16.73,18.96,19.67,-1.0
326,16.73,18.96,19.67,-1.0
327,16.73,18.96,19.67,-1.0
328,16.73,18.96,19.67,-1.0
329,16.73,18.96,19.67,-1.0
330,16.73,18.96,19.67,-1.0
331,16.73,18.96,19.67,-1.0
332,16.73,18.96,19.67,-1.0
333,16.73,18.96,19.67,-1.0
334,16.73,18.96,19.67,-1.0
335,16.73,18.96,19.67,-1.0
336,16.73,18.96,19.67,-1.0
337,16.73,18.96,19.67,-1.0
338,16.73,18.96,19.67,-1.0
339,16.73,18.87,19.67,-1.0
340,16.64,18.96,19.67,-1.0
341,16.73,18.87,19.58,-1.0
342,16.73,18.87,19.58,-1.0
343,16.73,18.87,19.58,-1.0
344,16.73,18.87,19.58,-1.0
345,16.73,18.87,19.58,-1.0
346,16.73,18.87,19.58,-1.0
347,16.73,18.87,19.58,-1.0
348,16.73,18.87,19.58,-1.0
349,16.64,18.87,19.58,-1.0
350,16.64,18.87,19.58,-1.0
351,16.64,18.87,19.58,-1.0
352,16.64,18.87,19.58,-1.0
353,16.64,18.87,19.58,-1.0
354,16.64,18.87,19.58,-1.0
355,16.64,18.87,19.58,-1.0
356,16.64,18.87,19.58,-1.0
357,16.55,18.87,19.58,-1.0
358,16.55,18.87,19.58,-1.0
359,16.55,18.87,19.58,-1.0
360,16.55,18.87,19.58,-1.0
361,16.55,18.78,19.58,-1.0
362,16.55,18.78,19.49,-1.0
363,16.55,18.78,19.58,-1.0
364,16.55,18.78,19.58,-1.0
365,16.64,18.78,19.49,-1.0
366,16.64,18.78,19.49,-1.0
367,16.64,18.78,19.49,-1.0
368,16.64,18.78,19.49,-1.0
369,16.55,18.78,19.49,-1.0
370,16.55,18.78,19.49,-1.0
371,16.55,18.78,19.49,-1.0
372,16.55,18.78,19.49,-1.0
373,16.55,18.69,19.49,-1.0
374,16.55,18.69,19.49,-1.0
375,16.55,18.78,19.49,-1.0
376,16.55,18.78,19.49,-1.0
377,16.55,18.78,19.49,-1.0
378,16.55,18.69,19.49,-1.0
379,16.55,18.69,19.49,-1.0
380,16.55,18.69,19.49,-1.0
381,16.55,18.69,19.49,-1.0
382,16.55,18.69,19.49,-1.0
383,16.46,18.78,19.4,-1.0
384,16.55,18.69,19.49,-1.0
385,16.55,18.69,19.4,-1.0
386,16.55,18.69,19.49,-1.0
387,16.64,18.69,19.4,-1.0
388,16.64,18.69,19.4,-1.0
