Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
0,23.69,23.96,23.87,0.0
1,23.69,24.05,23.87,0.0
2,23.69,24.05,23.87,0.0
3,23.69,24.05,23.87,0.0
4,23.69,24.05,23.87,0.0
5,23.69,24.05,23.87,0.0
6,23.69,24.05,23.87,0.0
7,23.69,24.05,23.87,0.0
8,23.69,24.05,23.87,0.0
9,23.69,24.05,23.87,0.0
10,23.69,24.05,23.87,0.0
11,23.69,24.05,23.87,0.0
12,23.69,24.05,23.87,0.0
13,23.69,24.05,23.87,0.0
14,23.69,24.05,23.87,0.0
15,23.69,24.05,23.87,0.0
16,23.69,24.05,23.87,0.0
17,23.69,24.05,23.87,0.0
18,23.69,23.96,23.87,0.0
19,23.69,24.05,23.87,0.0
20,23.69,24.05,23.87,0.0
21,23.69,24.05,23.87,0.0
22,23.69,24.05,23.87,0.0
23,23.69,24.05,23.87,0.0
24,23.69,24.05,23.87,0.0
25,23.69,24.05,23.87,0.0
26,23.69,24.05,23.87,0.0
27,23.69,24.05,23.87,0.0
28,23.69,23.96,23.87,0.0
29,23.69,24.05,23.87,0.0
30,23.69,24.05,23.87,0.0
31,23.69,24.05,23.87,0.0
32,23.69,23.96,23.87,0.0
33,23.69,24.05,23.87,0.0
34,23.69,24.05,23.87,0.0
35,23.69,24.05,23.87,0.0
36,23.6,23.96,23.87,0.0
37,23.6,24.05,23.87,0.0
38,23.69,24.05,23.87,0.0
39,23.69,24.05,23.87,0.0
40,23.6,24.05,23.87,0.0
41,23.69,24.05,23.87,0.0
42,23.6,24.05,23.87,-0.2
43,23.6,24.05,23.87,-0.2
44,23.6,23.96,23.87,-0.2
45,23.6,24.05,23.87,-0.2
46,23.6,24.05,23.87,-0.2
47,23.51,24.05,23.87,-0.2
48,23.51,24.05,23.87,-0.2
49,23.51,24.05,23.87,-0.2
50,23.42,23.96,23.87,-0.2
51,23.42,23.96,23.87,-0.2
52,23.42,23.96,23.87,-0.2
53,23.42,23.96,23.87,-0.2
54,23.33,23.96,23.87,-0.2
55,23.33,23.96,23.87,-0.2
56,23.33,23.96,23.87,-0.2
57,23.33,23.96,23.87,-0.2
58,23.33,23.96,23.87,-0.2
59,23.24,23.96,23.87,-0.2
60,23.24,23.96,23.87,-0.2
61,23.24,23.96,23.87,-0.2
62,23.24,23.96,23.87,-0.2
63,23.24,23.96,23.87,-0.2
64,23.24,23.96,23.87,-0.2
65,23.24,23.96,23.96,-0.2
66,23.24,23.96,23.96,-0.2
67,23.24,23.96,23.96,-0.2
68,23.24,23.96,23.96,-0.2
69,23.24,23.96,23.96,-0.2
70,23.24,23.96,23.96,-0.2
71,23.24,23.96,23.96,-0.2
72,23.24,23.96,23.96,-0.2
73,23.24,23.96,23.96,-0.2
74,23.24,23.96,23.96,-0.2
75,23.24,23.96,23.96,-0.2
76,23.24,23.96,23.96,-0.2
77,23.24,23.96,23.96,-0.2
78,23.24,23.96,23.96,-0.2
79,23.24,23.96,23.96,-0.2
80,23.24,23.96,23.96,-0.2
81,23.24,23.96,23.96,-0.2
82,23.24,23.96,23.96,-0.2
83,23.15,23.87,23.96,-0.2
84,23.15,23.87,23.96,-0.2
85,23.15,23.87,23.96,-0.2
86,23.15,23.87,23.87,-0.2
87,23.15,23.87,23.87,-0.2
88,23.15,23.87,23.87,-0.2
89,23.15,23.87,23.87,-0.2
90,23.15,23.87,23.87,-0.2
91,23.06,23.87,23.87,-0.2
92,23.06,23.87,23.87,-0.2
93,23.06,23.87,23.87,-0.2
94,23.06,23.78,23.87,-0.2
95,23.06,23.87,23.87,-0.2
96,23.06,23.78,23.87,-0.2
97,22.97,23.78,23.87,-0.2
98,22.97,23.78,23.87,-0.2
99,22.97,23.78,23.87,-0.2
100,22.97,23.78,23.87,-0.2
101,22.97,23.78,23.78,-0.2
102,22.97,23.78,23.78,-0.2
103,22.97,23.78,23.78,-0.2
104,22.97,23.78,23.78,-0.2
105,22.97,23.78,23.78,-0.2
106,22.97,23.78,23.78,-0.2
107,22.97,23.69,23.78,-0.2
108,22.97,23.69,23.78,-0.2
109,22.97,23.69,23.78,-0.2
110,22.88,23.69,23.78,-0.2
111,22.97,23.69,23.78,-0.2
112,22.97,23.69,23.78,-0.2
113,22.97,23.69,23.78,-0.2
114,22.88,23.69,23.78,-0.2
115,22.88,23.69,23.78,-0.2
116,22.88,23.69,23.78,-0.2
117,22.88,23.69,23.78,-0.2
118,22.88,23.69,23.69,-0.2
119,22.88,23.69,23.78,-0.2
120,22.88,23.69,23.69,-0.2
121,22.88,23.69,23.69,-0.2
122,22.88,23.69,23.69,-0.2
123,22.88,23.69,23.69,-0.2
124,22.88,23.6,23.69,-0.2
125,22.88,23.6,23.69,-0.2
126,22.88,23.69,23.69,-0.2
127,22.88,23.6,23.69,-0.2
128,22.88,23.6,23.69,-0.2
129,22.79,23.6,23.69,-0.2
130,22.88,23.6,23.69,-0.2
131,22.88,23.6,23.69,-0.2
132,22.79,23.6,23.69,-0.2
133,22.88,23.6,23.6,-0.2
134,22.79,23.6,23.69,-0.2
135,22.79,23.6,23.69,-0.2
136,22.79,23.6,23.6,-0.2
137,22.79,23.6,23.6,-0.2
138,22.79,23.6,23.6,-0.2
139,22.79,23.6,23.6,-0.2
140,22.79,23.6,23.6,-0.2
141,22.79,23.6,23.6,-0.2
142,22.79,23.6,23.6,-0.2
143,22.79,23.51,23.6,-0.2
144,22.79,23.51,23.6,-0.2
145,22.79,23.51,23.6,-0.2
146,22.79,23.51,23.6,-0.2
147,22.79,23.51,23.6,-0.2
148,22.79,23.51,23.6,-0.2
149,22.79,23.51,23.6,-0.2
150,22.79,23.51,23.6,-0.2
151,22.7,23.51,23.6,-0.2
152,22.79,23.51,23.6,-0.2
153,22.7,23.51,23.6,-0.2
154,22.7,23.51,23.6,-0.2
155,22.79,23.51,23.6,-0.2
156,22.7,23.51,23.6,-0.2
157,22.7,23.51,23.6,-0.2
158,22.7,23.51,23.51,-0.2
159,22.7,23.51,23.51,-0.2
160,22.7,23.51,23.51,-0.2
161,22.7,23.51,23.51,-0.2
162,22.7,23.51,23.51,-0.2
163,22.7,23.51,23.51,-0.2
164,22.7,23.51,23.51,-0.2
165,22.7,23.51,23.51,-0.2
166,22.7,23.51,23.51,-0.2
167,22.7,23.51,23.51,-0.2
168,22.7,23.51,23.51,-0.2
169,22.7,23.42,23.51,-0.2
170,22.7,23.42,23.51,-0.2
171,22.7,23.42,23.51,-0.2
172,22.7,23.42,23.51,-0.2
173,22.7,23.42,23.51,-0.2
174,22.7,23.42,23.51,-0.2
175,22.7,23.42,23.51,-0.2
176,22.7,23.42,23.51,-0.2
177,22.7,23.42,23.51,-0.2
178,22.7,23.42,23.51,-0.2
179,22.7,23.42,23.51,-0.2
180,22.7,23.42,23.51,-0.2
181,22.7,23.42,23.51,-0.2
182,22.7,23.42,23.42,-0.2
183,22.61,23.42,23.51,-0.2
184,22.61,23.42,23.51,-0.2
185,22.61,23.42,23.51,-0.2
186,22.61,23.42,23.42,-0.2
187,22.61,23.42,23.42,-0.2
188,22.61,23.42,23.42,-0.2
189,22.61,23.42,23.42,-0.2
190,22.61,23.42,23.42,-0.2
191,22.61,23.33,23.42,-0.2
192,22.61,23.42,23.42,-0.2
193,22.61,23.33,23.42,-0.2
194,22.61,23.33,23.42,-0.2
195,22.61,23.33,23.42,-0.2
196,22.61,23.33,23.42,-0.2
197,22.61,23.33,23.42,-0.2
