Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
0,23.51,24.05,23.78,23.69
1,23.60,24.05,23.78,23.78
2,23.51,24.14,23.78,23.69
3,23.51,24.14,23.69,23.69
4,23.60,24.05,23.69,23.69
5,23.60,24.14,23.78,23.69
6,23.51,24.14,23.78,23.69
7,23.60,24.14,23.78,23.69
8,23.60,24.05,23.78,23.69
9,23.60,24.14,23.78,23.69
10,23.60,24.05,23.78,23.69
11,23.60,24.05,23.78,23.69
12,23.60,24.14,23.78,23.69
13,23.60,24.14,23.78,23.69
14,23.60,24.05,23.78,23.69
15,23.60,24.14,23.78,23.60
16,23.60,24.14,23.78,23.69
17,23.60,24.05,23.69,23.69
18,23.60,24.05,23.69,23.69
19,23.60,24.05,23.78,23.69
20,23.60,24.05,23.78,23.69
21,23.51,24.05,23.69,23.69
22,23.60,24.05,23.78,23.69
23,23.60,24.05,23.69,23.69
24,23.60,24.05,23.78,23.69
25,23.60,24.14,23.78,23.69
26,23.60,24.05,23.78,23.69
27,23.60,24.05,23.69,23.69
28,23.60,24.05,23.78,23.69
29,23.78,24.14,23.69,23.69
30,24.05,24.14,23.69,23.69
31,24.59,24.05,23.78,23.60
32,25.13,24.14,23.69,23.60
33,25.67,24.14,23.78,23.60
34,26.22,24.14,23.78,23.51
35,26.68,24.14,23.69,23.51
36,27.23,24.23,23.78,23.51
37,27.69,24.23,23.69,23.42
38,28.15,24.32,23.69,23.42
39,28.52,24.41,23.78,23.33
40,28.89,24.50,23.69,23.33
41,29.35,24.59,23.78,23.24
42,29.73,24.77,23.78,23.24
43,30.01,24.77,23.78,23.15
44,30.39,24.95,23.78,23.15
45,30.76,25.04,23.78,23.15
46,31.05,25.22,23.87,23.06
47,31.33,25.31,23.87,23.06
48,31.72,25.49,23.87,23.06
49,31.91,25.58,23.96,22.97
50,32.20,25.77,23.96,22.97
51,32.49,25.86,24.05,22.97
52,32.68,25.95,24.05,22.88
53,32.87,26.13,24.14,22.88
54,33.07,26.31,24.14,22.88
55,33.36,26.40,24.23,22.79
56,33.46,26.59,24.32,22.79
57,33.75,26.68,24.41,22.79
58,33.95,26.86,24.41,22.79
59,34.24,26.95,24.50,22.70
60,34.44,27.13,24.59,22.70
61,34.54,27.23,24.68,22.70
62,34.74,27.32,24.77,22.70
63,34.94,27.50,24.86,22.61
64,35.04,27.69,24.95,22.61
65,35.24,27.78,24.95,22.61
66,35.34,27.96,25.13,22.70
67,35.54,28.05,25.22,22.61
68,35.74,28.15,25.31,22.61
69,35.84,28.33,25.40,22.52
70,36.04,28.42,25.49,22.61
71,36.24,28.52,25.58,22.52
