Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
0,23.06,23.69,23.33,23.15
1,22.97,23.69,23.33,23.15
2,22.97,23.69,23.42,23.06
3,22.97,23.69,23.33,23.15
4,22.97,23.69,23.42,23.15
5,23.06,23.69,23.33,23.06
6,23.06,23.69,23.33,23.15
7,22.97,23.69,23.33,23.15
8,22.88,23.60,23.33,23.06
9,22.97,23.69,23.33,23.15
10,22.97,23.69,23.33,23.06
11,22.97,23.60,23.33,23.06
12,22.97,23.60,23.33,23.06
13,22.88,23.60,23.33,23.06
14,22.97,23.60,23.33,23.15
15,22.88,23.69,23.33,23.15
16,22.97,23.60,23.24,23.15
17,22.97,23.60,23.33,23.15
18,22.88,23.60,23.24,23.06
19,22.88,23.60,23.24,23.06
20,22.88,23.60,23.24,23.06
21,22.97,23.60,23.24,23.06
22,22.88,23.60,23.24,23.15
23,22.97,23.51,23.24,23.15
24,22.88,23.51,23.24,23.06
25,22.97,23.60,23.24,23.15
26,22.88,23.60,23.24,23.15
27,22.88,23.51,23.24,23.06
28,21.36,22.35,23.60,23.42
29,22.88,23.51,23.24,23.06
30,22.88,23.51,23.24,23.06
31,22.88,23.51,23.24,23.06
32,22.88,23.51,23.15,23.06
33,22.88,23.51,23.24,23.15
34,22.88,23.51,23.24,23.06
35,22.79,23.51,23.15,23.06
36,22.79,23.51,23.15,23.06
37,22.79,23.51,23.24,23.06
38,22.79,23.51,23.24,23.06
39,22.79,23.51,23.15,23.15
40,22.52,23.51,23.24,23.06
41,22.17,23.51,23.15,23.06
42,21.90,23.42,23.15,23.15
43,21.54,23.42,23.15,23.15
44,21.27,23.42,23.15,23.15
45,21.01,23.42,23.15,23.15
46,20.83,23.42,23.15,23.24
47,20.56,23.33,23.15,23.33
48,20.29,23.33,23.15,23.33
49,20.12,23.33,23.15,23.33
50,19.94,23.24,23.15,23.51
51,19.76,23.15,23.15,23.42
52,19.58,23.06,23.15,23.51
53,19.40,23.15,23.15,23.60
54,19.32,22.97,23.15,23.60
55,19.05,22.88,23.06,23.60
56,18.96,22.88,23.06,23.60
57,18.87,22.79,23.06,23.69
58,18.69,22.70,23.06,23.69
59,18.60,22.61,22.97,23.69
60,18.51,22.52,22.97,23.78
61,18.34,22.52,22.97,23.78
62,18.25,22.43,22.88,23.78
63,18.16,22.35,22.88,23.87
64,18.07,22.26,22.88,23.87
65,17.98,22.26,22.88,23.87
66,17.80,22.17,22.79,23.87
67,17.80,22.08,22.79,23.96
68,17.62,21.99,22.70,23.96
69,17.62,21.90,22.70,23.96
70,17.54,21.90,22.61,24.05
71,17.36,21.81,22.61,23.96
72,17.36,21.81,22.52,24.05
73,17.27,21.72,22.43,24.05
74,17.18,21.63,22.43,24.05
75,17.09,21.63,22.35,24.14
76,17.09,21.54,22.35,24.14
77,17.00,21.45,22.35,24.14
78,16.91,21.36,22.26,24.14
79,16.82,21.36,22.26,24.14
80,16.73,21.18,22.17,24.14
81,16.64,21.18,22.17,24.23
82,16.64,21.10,22.08,24.23
83,16.64,21.10,22.08,24.23
84,16.46,21.01,21.99,24.23
85,16.46,20.92,21.90,24.23
86,16.46,20.92,21.90,24.32
87,16.29,20.83,21.81,24.32
88,16.29,20.74,21.81,24.32
89,16.20,20.74,21.72,24.32
90,16.11,20.65,21.63,24.32
91,16.11,20.56,21.63,24.32
92,16.02,20.47,21.54,24.32
93,15.93,20.47,21.54,24.32
94,15.93,20.38,21.45,24.41
95,15.84,20.38,21.45,24.32
96,15.84,20.29,21.36,24.41
97,15.75,20.38,21.27,24.41
98,15.75,20.21,21.27,24.41
99,15.75,20.12,21.27,24.41
100,15.57,20.12,21.18,24.41
101,15.57,20.03,21.10,24.41
102,15.48,19.94,21.01,24.41
103,15.48,19.94,21.01,24.50
104,15.39,19.85,20.92,24.41
105,15.39,19.85,20.92,24.41
106,15.39,19.76,20.92,24.41
107,15.30,19.76,20.83,24.50
108,15.21,19.76,20.74,24.50
109,15.21,19.58,20.74,24.50
110,15.21,19.58,20.65,24.50
111,15.21,19.49,20.65,24.50
112,15.12,19.49,20.56,24.50
113,15.03,19.40,20.47,24.50
114,15.03,19.40,20.47,24.50
115,14.94,19.32,20.38,24.50
116,14.94,19.32,20.38,24.50
117,14.85,19.32,20.29,24.50
118,14.85,19.14,20.29,24.50
119,14.76,19.14,20.21,24.59
120,14.76,19.05,20.21,24.59
121,14.67,19.05,20.21,24.59
122,14.67,19.05,20.12,24.50
123,14.67,18.96,20.03,24.59
124,14.58,18.87,20.03,24.59
125,14.58,18.87,19.94,24.59
126,14.58,18.87,19.94,24.59
127,14.58,18.78,19.94,24.68
128,14.49,18.78,19.85,24.59
129,14.40,18.69,19.85,24.59
130,14.40,18.69,19.76,24.59
131,14.40,18.60,19.76,24.59
132,14.31,18.60,19.67,24.59
133,14.31,18.60,19.67,24.68
