Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,24.05,24.23,24.14
1,24.05,24.23,24.14
2,24.05,24.23,24.14
3,24.05,24.23,24.14
4,24.05,24.32,24.14
5,24.05,24.23,24.14
6,24.05,24.23,24.14
7,24.05,24.23,24.14
8,24.05,24.23,24.05
9,24.05,24.23,24.14
10,24.05,24.32,24.14
11,23.96,24.32,24.14
12,23.78,24.23,24.14
13,23.51,24.23,24.14
14,23.33,24.23,24.14
15,23.15,24.23,24.14
16,22.97,24.23,24.14
17,22.79,24.23,24.14
18,22.70,24.23,24.14
19,22.52,24.23,24.14
20,22.43,24.23,24.14
21,22.35,24.14,24.14
22,22.26,24.14,24.14
23,22.08,24.14,24.14
24,21.99,24.05,24.14
25,21.90,24.05,24.14
26,21.81,23.96,24.14
27,21.72,23.96,24.05
28,21.63,23.87,24.05
29,21.54,23.87,24.05
30,21.45,23.78,24.05
31,21.45,23.78,24.05
32,21.36,23.69,24.05
33,21.27,23.69,24.05
34,21.18,23.60,23.96
35,21.18,23.60,23.96
36,21.10,23.51,23.96
37,21.01,23.51,23.96
38,21.01,23.51,23.87
39,20.92,23.42,23.87
40,20.83,23.42,23.87
41,20.83,23.33,23.87
42,20.74,23.33,23.87
43,20.74,23.24,23.78
44,20.65,23.24,23.78
45,20.65,23.15,23.78
46,20.56,23.15,23.69
47,20.56,23.06,23.69
48,20.56,23.06,23.69
49,20.47,23.06,23.60
50,20.38,22.97,23.60
51,20.38,22.97,23.60
52,20.29,22.88,23.51
53,20.29,22.88,23.51
54,20.21,22.88,23.51
55,20.21,22.79,23.42
56,20.21,22.79,23.42
57,20.12,22.70,23.42
58,20.03,22.70,23.33
59,20.03,22.70,23.33
60,19.94,22.61,23.33
61,19.94,22.61,23.33
62,19.85,22.52,23.24
63,19.85,22.52,23.24
64,19.85,22.43,23.24
65,19.76,22.43,23.15
66,19.76,22.43,23.15
67,19.67,22.35,23.06
68,19.67,22.35,23.06
69,19.58,22.35,23.06
70,19.58,22.26,22.97
71,19.58,22.26,22.97
72,19.58,22.26,22.97
73,19.58,22.17,22.97
74,19.58,22.17,22.88
75,19.58,22.17,22.88
76,19.49,22.08,22.79
77,19.49,22.08,22.79
78,19.49,21.99,22.79
79,19.40,21.99,22.79
80,19.40,21.99,22.70
81,19.32,21.99,22.70
82,19.32,21.90,22.70
83,19.23,21.90,22.61
84,19.23,21.90,22.61
85,19.23,21.90,22.61
86,19.14,21.81,22.52
87,19.14,21.81,22.61
88,19.14,21.81,22.52
89,19.14,21.72,22.52
90,19.05,21.72,22.52
91,19.05,21.72,22.43
92,19.05,21.63,22.43
93,19.05,21.63,22.43
94,19.05,21.63,22.35
95,19.05,21.63,22.35
96,19.05,21.54,22.35
97,18.96,21.54,22.35
98,18.96,21.54,22.26
99,18.96,21.45,22.26
100,18.87,21.45,22.26
101,18.87,21.45,22.17
102,18.87,21.36,22.17
103,18.87,21.36,22.17
104,18.78,21.36,22.08
105,18.78,21.36,22.08
106,18.69,21.36,22.08
107,18.69,21.27,22.08
108,18.69,21.27,22.08
109,18.69,21.27,21.99
110,18.69,21.18,21.99
111,18.69,21.18,21.99
112,18.69,21.18,21.90
113,18.69,21.10,21.90
114,18.60,21.18,21.90
115,18.60,21.10,21.90
116,18.60,21.10,21.90
117,18.51,21.10,21.81
118,18.51,21.10,21.81
119,18.51,21.01,21.72
120,18.43,21.01,21.72
121,18.43,21.01,21.72
122,18.43,20.92,21.72
123,18.43,20.92,21.63
124,18.34,20.92,21.63
125,18.34,20.92,21.63
126,18.34,20.83,21.63
127,18.34,20.83,21.54
128,18.34,20.83,21.54
129,18.34,20.74,21.54
130,18.34,20.74,21.54
131,18.34,20.74,21.54
132,18.25,20.74,21.45
133,18.25,20.65,21.45
134,18.25,20.65,21.45
135,18.25,20.65,21.45
136,18.25,20.65,21.36
137,18.16,20.65,21.36
138,18.16,20.65,21.36
139,18.16,20.56,21.36
140,18.16,20.56,21.36
141,18.07,20.56,21.36
142,18.07,20.56,21.36
143,18.07,20.56,21.27
144,18.07,20.56,21.27
145,18.07,20.47,21.27
146,17.98,20.47,21.27
147,17.98,20.47,21.18
148,17.98,20.47,21.18
149,17.98,20.47,21.18
150,17.98,20.38,21.18
151,17.98,20.38,21.18
152,17.98,20.38,21.10
153,17.98,20.38,21.10
154,17.98,20.38,21.10
155,17.89,20.38,21.10
156,17.89,20.29,21.10
157,17.89,20.29,21.10
158,17.89,20.29,21.10
159,17.80,20.29,21.01
160,17.80,20.29,21.01
161,17.80,20.21,21.01
162,17.80,20.21,21.01
163,17.80,20.21,20.92
164,17.89,20.21,20.92
165,17.89,20.21,20.92
166,17.89,20.21,20.92
167,17.80,20.21,20.92
168,17.80,20.12,20.92
169,17.80,20.12,20.92
170,17.80,20.12,20.83
171,17.71,20.12,20.83
172,17.71,20.12,20.83
173,17.71,20.03,20.83
174,17.62,20.03,20.83
175,17.62,20.03,20.83
176,17.62,20.03,20.74
177,17.62,20.03,20.74
178,17.62,20.03,20.74
179,17.62,19.94,20.74
180,17.54,19.94,20.74
181,17.54,19.94,20.74
182,17.54,19.94,20.74
183,17.54,19.94,20.65
184,17.54,19.94,20.65
185,17.54,19.94,20.65
186,17.45,19.94,20.65
187,17.45,19.94,20.65
188,17.45,19.85,20.65
189,17.45,19.85,20.56
190,17.45,19.85,20.56
191,17.45,19.85,20.56
192,17.45,19.85,20.56
193,17.36,19.76,20.56
194,17.45,19.76,20.56
195,17.45,19.76,20.56
196,17.45,19.76,20.47
197,17.45,19.76,20.47
198,17.45,19.76,20.47
199,17.45,19.67,20.47
200,17.45,19.67,20.47
201,17.45,19.67,20.47
202,17.45,19.67,20.47
203,17.36,19.67,20.47
204,17.36,19.67,20.38
205,17.45,19.67,20.38
206,17.45,19.67,20.38
207,17.45,19.58,20.38
208,17.45,19.58,20.38
209,17.45,19.58,20.38
210,17.45,19.58,20.38
211,17.45,19.58,20.29
212,17.36,19.58,20.29
213,17.36,19.58,20.29
214,17.36,19.58,20.29
