Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.69,23.96,23.87
1,23.69,24.05,23.87
2,23.69,24.05,23.87
3,23.69,24.05,23.87
4,23.69,24.05,23.87
5,23.69,24.05,23.87
6,23.69,24.05,23.87
7,23.69,24.05,23.87
8,23.69,24.05,23.87
9,23.69,24.05,23.87
10,23.69,24.05,23.87
11,23.69,24.05,23.87
12,23.69,24.05,23.87
13,23.69,24.05,23.87
14,23.69,24.05,23.87
15,23.69,24.05,23.87
16,23.69,24.05,23.87
17,23.69,24.05,23.87
18,23.69,23.96,23.87
19,23.69,24.05,23.87
20,23.69,24.05,23.87
21,23.69,24.05,23.87
22,23.69,24.05,23.87
23,23.69,24.05,23.87
24,23.69,24.05,23.87
25,23.69,24.05,23.87
26,23.69,24.05,23.87
27,23.69,24.05,23.87
28,23.69,23.96,23.87
29,23.69,24.05,23.87
30,23.69,24.05,23.87
31,23.69,24.05,23.87
32,23.69,23.96,23.87
33,23.69,24.05,23.87
34,23.69,24.05,23.87
35,23.69,24.05,23.87
36,23.60,23.96,23.87
37,23.60,24.05,23.87
38,23.69,24.05,23.87
39,23.69,24.05,23.87
40,23.60,24.05,23.87
41,23.69,24.05,23.87
42,23.60,24.05,23.87
43,23.60,24.05,23.87
44,23.60,23.96,23.87
45,23.60,24.05,23.87
46,23.60,24.05,23.87
47,23.51,24.05,23.87
48,23.51,24.05,23.87
49,23.51,24.05,23.87
50,23.42,23.96,23.87
51,23.42,23.96,23.87
52,23.42,23.96,23.87
53,23.42,23.96,23.87
54,23.33,23.96,23.87
55,23.33,23.96,23.87
56,23.33,23.96,23.87
57,23.33,23.96,23.87
58,23.33,23.96,23.87
59,23.24,23.96,23.87
60,23.24,23.96,23.87
61,23.24,23.96,23.87
62,23.24,23.96,23.87
63,23.24,23.96,23.87
64,23.24,23.96,23.87
65,23.24,23.96,23.96
66,23.24,23.96,23.96
67,23.24,23.96,23.96
68,23.24,23.96,23.96
69,23.24,23.96,23.96
70,23.24,23.96,23.96
71,23.24,23.96,23.96
72,23.24,23.96,23.96
73,23.24,23.96,23.96
74,23.24,23.96,23.96
75,23.24,23.96,23.96
76,23.24,23.96,23.96
77,23.24,23.96,23.96
78,23.24,23.96,23.96
79,23.24,23.96,23.96
80,23.24,23.96,23.96
81,23.24,23.96,23.96
82,23.24,23.96,23.96
83,23.15,23.87,23.96
84,23.15,23.87,23.96
85,23.15,23.87,23.96
86,23.15,23.87,23.87
87,23.15,23.87,23.87
88,23.15,23.87,23.87
89,23.15,23.87,23.87
90,23.15,23.87,23.87
91,23.06,23.87,23.87
92,23.06,23.87,23.87
93,23.06,23.87,23.87
94,23.06,23.78,23.87
95,23.06,23.87,23.87
96,23.06,23.78,23.87
97,22.97,23.78,23.87
98,22.97,23.78,23.87
99,22.97,23.78,23.87
100,22.97,23.78,23.87
101,22.97,23.78,23.78
102,22.97,23.78,23.78
103,22.97,23.78,23.78
104,22.97,23.78,23.78
105,22.97,23.78,23.78
106,22.97,23.78,23.78
107,22.97,23.69,23.78
108,22.97,23.69,23.78
109,22.97,23.69,23.78
110,22.88,23.69,23.78
111,22.97,23.69,23.78
112,22.97,23.69,23.78
113,22.97,23.69,23.78
114,22.88,23.69,23.78
115,22.88,23.69,23.78
116,22.88,23.69,23.78
117,22.88,23.69,23.78
118,22.88,23.69,23.69
119,22.88,23.69,23.78
120,22.88,23.69,23.69
121,22.88,23.69,23.69
122,22.88,23.69,23.69
123,22.88,23.69,23.69
124,22.88,23.60,23.69
125,22.88,23.60,23.69
126,22.88,23.69,23.69
127,22.88,23.60,23.69
128,22.88,23.60,23.69
129,22.79,23.60,23.69
130,22.88,23.60,23.69
131,22.88,23.60,23.69
132,22.79,23.60,23.69
133,22.88,23.60,23.60
134,22.79,23.60,23.69
135,22.79,23.60,23.69
136,22.79,23.60,23.60
137,22.79,23.60,23.60
138,22.79,23.60,23.60
139,22.79,23.60,23.60
140,22.79,23.60,23.60
141,22.79,23.60,23.60
142,22.79,23.60,23.60
143,22.79,23.51,23.60
144,22.79,23.51,23.60
145,22.79,23.51,23.60
146,22.79,23.51,23.60
147,22.79,23.51,23.60
148,22.79,23.51,23.60
149,22.79,23.51,23.60
150,22.79,23.51,23.60
151,22.70,23.51,23.60
152,22.79,23.51,23.60
153,22.70,23.51,23.60
154,22.70,23.51,23.60
155,22.79,23.51,23.60
156,22.70,23.51,23.60
157,22.70,23.51,23.60
158,22.70,23.51,23.51
159,22.70,23.51,23.51
160,22.70,23.51,23.51
161,22.70,23.51,23.51
162,22.70,23.51,23.51
163,22.70,23.51,23.51
164,22.70,23.51,23.51
165,22.70,23.51,23.51
166,22.70,23.51,23.51
167,22.70,23.51,23.51
168,22.70,23.51,23.51
169,22.70,23.42,23.51
170,22.70,23.42,23.51
171,22.70,23.42,23.51
172,22.70,23.42,23.51
173,22.70,23.42,23.51
174,22.70,23.42,23.51
175,22.70,23.42,23.51
176,22.70,23.42,23.51
177,22.70,23.42,23.51
178,22.70,23.42,23.51
179,22.70,23.42,23.51
180,22.70,23.42,23.51
181,22.70,23.42,23.51
182,22.70,23.42,23.42
183,22.61,23.42,23.51
184,22.61,23.42,23.51
185,22.61,23.42,23.51
186,22.61,23.42,23.42
187,22.61,23.42,23.42
188,22.61,23.42,23.42
189,22.61,23.42,23.42
190,22.61,23.42,23.42
191,22.61,23.33,23.42
192,22.61,23.42,23.42
193,22.61,23.33,23.42
194,22.61,23.33,23.42
195,22.61,23.33,23.42
196,22.61,23.33,23.42
197,22.61,23.33,23.42
198,22.61,23.33,23.42
199,22.61,23.33,23.42
200,22.61,23.33,23.42
201,22.61,23.33,23.42
202,22.61,23.33,23.42
203,22.61,23.33,23.42
204,22.61,23.33,23.42
205,22.61,23.33,23.42
206,22.61,23.33,23.42
207,22.61,23.33,23.42
208,22.61,23.33,23.42
209,22.61,23.33,23.42
210,22.61,23.33,23.33
211,22.61,23.33,23.42
212,22.61,23.33,23.33
213,22.61,23.33,23.33
214,22.61,23.33,23.33
215,22.61,23.33,23.33
216,22.61,23.33,23.33
217,22.61,23.33,23.33
218,22.61,23.33,23.33
219,22.61,23.33,23.33
220,22.61,23.33,23.33
221,22.61,23.33,23.33
222,22.61,23.33,23.33
223,22.61,23.33,23.33
224,22.61,23.33,23.33
225,22.61,23.33,23.33
226,22.61,23.33,23.33
227,22.61,23.33,23.33
228,22.52,23.33,23.33
229,22.61,23.33,23.33
230,22.52,23.33,23.33
231,22.52,23.33,23.33
232,22.52,23.24,23.33
233,22.52,23.24,23.33
234,22.52,23.24,23.33
235,22.52,23.24,23.33
236,22.52,23.24,23.33
237,22.52,23.24,23.33
238,22.52,23.24,23.33
239,22.52,23.24,23.33
240,22.52,23.24,23.33
241,22.52,23.24,23.33
242,22.52,23.24,23.24
243,22.52,23.24,23.33
244,22.52,23.24,23.33
245,22.52,23.24,23.33
246,22.52,23.24,23.33
247,22.52,23.24,23.33
248,22.52,23.24,23.33
249,22.52,23.24,23.33
250,22.52,23.24,23.33
251,22.52,23.24,23.33
252,22.52,23.24,23.24
253,22.52,23.24,23.33
254,22.43,23.24,23.33
255,22.52,23.24,23.33
256,22.52,23.24,23.24
257,22.52,23.24,23.24
258,22.43,23.24,23.24
259,22.52,23.24,23.24
260,22.52,23.15,23.24
261,22.43,23.24,23.33
262,22.52,23.24,23.24
263,22.52,23.15,23.24
264,22.43,23.24,23.24
265,22.43,23.15,23.24
266,22.43,23.24,23.24
268,22.43,23.15,23.24
269,22.43,23.24,23.24
270,22.43,23.15,23.24
271,22.43,23.15,23.24
272,22.43,23.15,23.24
273,22.43,23.15,23.24
274,22.43,23.15,23.24
275,22.43,23.15,23.24
276,22.43,23.15,23.24
277,22.43,23.15,23.24
278,22.43,23.15,23.24
279,22.43,23.15,23.24
280,22.43,23.15,23.24
281,22.43,23.15,23.24
282,22.43,23.15,23.24
283,22.43,23.15,23.24
284,22.43,23.15,23.24
285,22.43,23.15,23.24
286,22.43,23.15,23.24
287,22.43,23.15,23.24
288,22.43,23.15,23.24
289,22.43,23.15,23.24
290,22.43,23.15,23.24
291,22.43,23.15,23.15
292,22.43,23.15,23.15
