Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,32.39,30.95,30.01
1,32.39,30.95,30.01
2,32.39,30.86,30.01
3,32.39,30.95,30.01
4,32.39,30.95,30.01
5,32.29,30.95,30.01
6,32.29,30.86,30.01
7,32.39,30.95,30.01
8,32.39,30.95,30.01
9,32.39,30.95,30.01
10,32.39,30.86,30.01
11,32.39,30.86,30.01
12,32.39,30.86,30.01
13,32.39,30.86,30.01
14,32.39,30.95,30.01
15,32.39,30.86,30.01
16,32.39,30.95,30.01
17,32.39,30.95,30.01
18,32.39,30.86,30.01
19,32.49,30.95,30.01
20,32.49,30.95,30.01
21,32.49,30.86,30.01
22,32.49,30.86,30.01
23,32.49,30.86,30.01
24,32.58,30.95,30.01
25,32.49,30.86,30.01
26,32.49,30.95,30.01
27,32.29,30.95,30.01
28,32.29,30.95,30.01
29,32.20,30.95,30.01
30,32.10,30.95,30.01
31,32.00,30.95,30.01
32,32.00,30.95,30.01
33,31.91,30.95,30.01
34,31.91,30.95,30.01
35,31.81,30.95,30.01
36,31.72,30.95,30.01
37,31.72,30.86,30.01
38,31.72,30.86,30.01
39,31.62,30.86,30.01
40,31.62,30.86,30.10
41,31.62,30.86,30.10
42,31.52,30.86,30.10
43,31.52,30.76,30.10
44,31.43,30.76,30.10
45,31.43,30.76,30.01
46,31.33,30.76,30.01
47,31.33,30.76,30.01
48,31.33,30.67,30.01
49,31.33,30.67,30.01
50,31.33,30.67,30.01
51,31.33,30.67,29.92
52,31.24,30.57,29.92
53,31.24,30.57,29.92
54,31.14,30.57,29.92
55,31.14,30.57,29.92
56,31.14,30.57,29.92
57,31.14,30.57,29.92
58,31.14,30.57,29.82
59,31.14,30.57,29.92
60,31.14,30.48,29.82
61,31.05,30.48,29.82
62,31.05,30.48,29.82
63,31.05,30.48,29.82
64,31.05,30.48,29.82
65,31.05,30.48,29.82
66,30.95,30.48,29.82
67,30.95,30.48,29.82
68,30.95,30.39,29.82
69,30.95,30.39,29.82
70,30.95,30.39,29.82
71,30.95,30.39,29.82
72,30.95,30.39,29.73
73,30.95,30.39,29.73
74,30.86,30.39,29.73
75,30.86,30.29,29.73
76,30.86,30.29,29.73
77,30.86,30.29,29.73
78,30.86,30.29,29.73
79,30.86,30.29,29.73
80,30.76,30.20,29.63
81,30.76,30.29,29.63
82,30.76,30.20,29.63
83,30.76,30.20,29.63
84,30.76,30.20,29.63
85,30.76,30.20,29.63
86,30.76,30.20,29.63
87,30.76,30.20,29.63
88,30.76,30.10,29.54
89,30.76,30.10,29.54
90,30.67,30.10,29.54
91,30.67,30.10,29.54
92,30.67,30.10,29.54
93,30.67,30.10,29.54
94,30.57,30.10,29.45
95,30.57,30.10,29.45
96,30.57,30.10,29.45
97,30.57,30.10,29.45
98,30.57,30.01,29.45
99,30.57,30.01,29.45
100,30.57,30.01,29.45
101,30.57,30.01,29.45
102,30.57,30.01,29.45
103,30.57,30.01,29.35
104,30.57,30.01,29.35
105,30.48,29.92,29.35
106,30.57,29.92,29.35
107,30.48,29.92,29.35
108,30.48,29.92,29.35
109,30.48,29.92,29.35
110,30.48,29.92,29.26
111,30.48,29.92,29.26
112,30.48,29.92,29.26
113,30.48,29.82,29.26
114,30.48,29.82,29.26
115,30.48,29.82,29.26
116,30.48,29.82,29.26
117,30.48,29.82,29.26
118,30.39,29.82,29.26
119,30.39,29.82,29.26
120,30.39,29.82,29.26
121,30.39,29.82,29.17
122,30.39,29.82,29.17
123,30.39,29.82,29.17
124,30.39,29.82,29.17
125,30.39,29.82,29.17
126,30.39,29.82,29.17
127,30.29,29.82,29.17
128,30.39,29.73,29.17
129,30.39,29.73,29.17
130,30.29,29.73,29.07
131,30.29,29.73,29.07
132,30.29,29.73,29.07
133,30.29,29.73,29.07
134,30.29,29.73,29.07
135,30.29,29.73,29.07
136,30.29,29.73,29.07
137,30.29,29.63,29.07
138,30.29,29.63,29.07
139,30.29,29.63,29.07
140,30.29,29.63,29.07
141,30.29,29.63,29.07
142,30.20,29.63,28.98
143,30.20,29.63,28.98
144,30.20,29.63,28.98
145,30.20,29.63,28.98
146,30.20,29.63,28.98
147,30.20,29.63,28.98
148,30.20,29.54,28.98
149,30.10,29.63,28.98
150,30.10,29.54,28.98
151,30.10,29.54,28.98
152,30.10,29.54,28.98
153,30.10,29.54,28.89
154,30.10,29.54,28.98
155,30.10,29.54,28.89
156,30.10,29.54,28.89
157,30.01,29.54,28.89
158,30.01,29.54,28.89
159,30.01,29.45,28.89
160,30.01,29.45,28.89
161,30.01,29.45,28.89
162,30.01,29.45,28.89
163,30.01,29.45,28.89
164,30.01,29.45,28.89
165,30.01,29.45,28.79
166,30.01,29.45,28.79
167,30.01,29.45,28.79
168,30.01,29.45,28.79
169,30.01,29.45,28.79
170,30.01,29.35,28.79
171,30.01,29.35,28.79
172,30.01,29.35,28.79
173,29.92,29.35,28.79
174,29.92,29.35,28.79
175,29.92,29.35,28.79
176,29.92,29.35,28.79
177,29.92,29.35,28.79
178,29.92,29.35,28.70
179,29.92,29.35,28.70
180,29.92,29.35,28.70
181,29.92,29.35,28.70
182,29.92,29.35,28.70
183,29.92,29.26,28.70
184,29.92,29.26,28.70
185,29.92,29.26,28.70
186,29.92,29.26,28.70
187,29.92,29.26,28.61
188,29.92,29.26,28.70
189,29.92,29.26,28.61
190,29.92,29.26,28.61
191,29.92,29.26,28.61
192,29.92,29.26,28.61
193,29.92,29.26,28.61
194,29.92,29.26,28.61
195,29.92,29.26,28.61
196,29.82,29.26,28.61
197,29.82,29.26,28.61
198,29.82,29.17,28.61
199,29.82,29.17,28.61
200,29.82,29.17,28.61
201,29.82,29.17,28.61
202,29.82,29.17,28.61
203,29.82,29.17,28.61
204,29.82,29.17,28.61
205,29.82,29.17,28.61
206,29.82,29.17,28.61
207,29.82,29.17,28.61
208,29.73,29.17,28.61
209,29.73,29.17,28.52
210,29.73,29.17,28.52
211,29.73,29.17,28.52
212,29.73,29.17,28.52
213,29.73,29.17,28.52
214,29.73,29.17,28.52
215,29.73,29.07,28.52
216,29.73,29.17,28.52
217,29.73,29.07,28.52
218,29.73,29.07,28.52
219,29.73,29.07,28.52
220,29.73,29.07,28.52
221,29.73,29.07,28.52
222,29.73,29.07,28.52
223,29.73,29.07,28.52
224,29.73,29.07,28.42
225,29.73,29.07,28.52
226,29.73,29.07,28.52
227,29.73,29.07,28.52
228,29.73,29.07,28.52
229,29.63,29.07,28.52
230,29.63,28.98,28.42
231,29.63,29.07,28.52
232,29.63,28.98,28.52
233,29.63,28.98,28.42
234,29.73,28.98,28.42
235,29.73,28.98,28.42
236,29.73,28.98,28.42
237,29.63,28.98,28.42
238,29.63,28.98,28.42
239,29.63,28.98,28.42
240,29.63,28.98,28.42
241,29.63,28.98,28.42
242,29.63,28.98,28.42
243,29.63,28.98,28.42
244,29.63,28.98,28.42
245,29.63,28.98,28.42
246,29.63,28.98,28.42
247,29.54,28.98,28.42
248,29.63,28.98,28.42
249,29.63,28.98,28.42
250,29.63,28.98,28.42
251,29.54,28.98,28.42
252,29.54,28.98,28.42
253,29.54,28.98,28.42
254,29.54,28.98,28.42
255,29.54,28.98,28.33
256,29.54,28.98,28.33
257,29.54,28.98,28.33
258,29.54,28.98,28.33
259,29.54,28.98,28.33
260,29.54,28.89,28.33
261,29.54,28.89,28.33
262,29.54,28.89,28.33
263,29.54,28.89,28.33
264,29.54,28.89,28.33
265,29.54,28.89,28.33
266,29.54,28.89,28.33
267,29.45,28.89,28.33
269,29.45,28.89,28.33
270,29.45,28.89,28.33
271,29.45,28.89,28.33
272,29.45,28.89,28.33
273,29.45,28.89,28.33
274,29.45,28.89,28.33
275,29.45,28.89,28.33
276,29.45,28.89,28.33
277,29.45,28.79,28.33
278,29.45,28.79,28.33
279,29.45,28.79,28.33
280,29.45,28.89,28.24
281,29.45,28.79,28.24
282,29.45,28.79,28.24
283,29.45,28.79,28.24
284,29.45,28.79,28.24
285,29.45,28.79,28.24
286,29.45,28.79,28.24
287,29.45,28.79,28.24
288,29.45,28.79,28.24
289,29.45,28.79,28.24
290,29.45,28.79,28.24
291,29.45,28.79,28.24
292,29.45,28.79,28.24
293,29.45,28.79,28.15
294,29.45,28.79,28.24
295,29.45,28.79,28.24
296,29.54,28.79,28.15
297,29.45,28.79,28.15
298,29.45,28.79,28.15
299,29.45,28.79,28.15
300,29.54,28.79,28.15
301,29.45,28.70,28.15
302,29.45,28.70,28.15
303,29.45,28.70,28.15
304,29.45,28.70,28.15
305,29.45,28.70,28.15
306,29.45,28.70,28.15
307,29.45,28.70,28.15
308,29.45,28.70,28.15
309,29.45,28.70,28.15
310,29.45,28.70,28.15
311,29.45,28.70,28.15
312,29.45,28.70,28.15
313,29.45,28.70,28.15
314,29.45,28.70,28.15
315,29.35,28.70,28.15
316,29.35,28.70,28.15
317,29.35,28.70,28.15
318,29.35,28.70,28.15
319,29.35,28.70,28.15
320,29.35,28.70,28.15
321,29.35,28.70,28.05
322,29.35,28.70,28.05
323,29.35,28.70,28.05
324,29.35,28.70,28.05
325,29.35,28.70,28.05
326,29.35,28.70,28.05
327,29.35,28.70,28.05
328,29.35,28.70,28.05
329,29.35,28.70,28.05
330,29.35,28.70,28.05
331,29.35,28.61,28.05
332,29.35,28.61,28.05
333,29.35,28.61,28.05
334,29.35,28.61,28.05
335,29.35,28.61,28.05
336,29.35,28.61,28.05
337,29.35,28.61,28.05
338,29.35,28.61,28.05
339,29.35,28.61,28.05
340,29.35,28.61,28.05
341,29.35,28.61,28.05
342,29.35,28.61,28.05
343,29.35,28.61,28.05
344,29.35,28.61,28.05
345,29.35,28.61,27.96
346,29.35,28.61,27.96
347,29.35,28.61,28.05
348,29.35,28.61,27.96
349,29.35,28.61,27.96
350,29.35,28.61,27.96
351,29.26,28.61,27.96
352,29.26,28.61,27.96
353,29.26,28.61,27.96
354,29.26,28.61,27.96
355,29.26,28.61,27.96
