Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.17,23.69,23.52
1,23.25,23.67,23.48
2,23.21,23.71,23.50
3,23.21,23.69,23.50
4,23.23,23.65,23.50
5,23.21,23.69,23.44
6,23.13,23.69,23.48
7,23.21,23.69,23.44
8,23.19,23.69,23.50
9,23.17,23.69,23.52
10,23.19,23.69,23.48
11,23.21,23.67,23.46
12,23.23,23.67,23.52
13,23.21,23.67,23.52
14,23.15,23.67,23.48
15,23.25,23.67,23.52
16,23.27,23.65,23.52
17,23.30,23.71,23.54
18,23.34,23.71,23.46
19,23.36,23.71,23.52
20,23.40,23.71,23.50
21,23.44,23.75,23.52
22,23.50,23.67,23.48
23,23.52,23.71,23.50
24,23.50,23.69,23.50
25,23.52,23.73,23.46
26,23.54,23.73,23.50
27,23.54,23.75,23.46
28,23.54,23.71,23.48
29,23.60,23.75,23.48
30,23.60,23.77,23.46
31,23.63,23.75,23.50
32,23.69,23.71,23.50
33,23.69,23.77,23.52
34,23.65,23.77,23.52
35,23.69,23.79,23.54
36,23.73,23.79,23.46
37,23.73,23.77,23.54
38,23.75,23.75,23.54
39,23.75,23.81,23.54
40,23.77,23.79,23.54
41,23.75,23.83,23.52
42,23.77,23.83,23.56
43,23.79,23.81,23.56
44,23.79,23.87,23.54
45,23.83,23.87,23.56
46,23.87,23.87,23.52
47,23.83,23.85,23.56
48,23.81,23.85,23.58
49,23.85,23.89,23.54
50,23.87,23.89,23.50
51,23.89,23.85,23.56
52,23.89,23.89,23.56
53,23.89,23.85,23.60
54,23.85,23.87,23.58
55,23.91,23.93,23.60
56,23.91,23.89,23.58
57,23.91,23.96,23.60
58,23.91,23.89,23.63
59,23.91,23.96,23.56
60,23.93,23.93,23.65
61,23.91,23.96,23.63
62,23.91,23.98,23.63
63,23.91,23.96,23.63
64,23.96,23.89,23.65
65,24.00,23.96,23.60
66,23.93,23.93,23.65
67,23.98,23.98,23.56
68,23.98,23.98,23.60
69,23.93,24.02,23.63
70,23.98,23.96,23.65
71,23.98,24.00,23.63
72,23.96,24.02,23.67
73,24.00,23.93,23.67
74,24.00,23.98,23.67
75,24.00,23.98,23.67
76,24.00,24.00,23.67
77,24.02,24.00,23.67
78,24.00,24.00,23.69
79,23.96,24.04,23.71
80,24.04,24.02,23.71
81,24.04,24.04,23.71
82,24.04,24.02,23.69
83,24.04,24.06,23.71
84,24.00,24.06,23.73
85,24.08,24.06,23.67
86,24.06,24.06,23.71
87,24.04,24.08,23.67
88,24.04,24.06,23.75
89,24.08,24.06,23.71
90,24.00,24.08,23.75
91,24.08,24.08,23.71
92,24.06,24.10,23.71
93,24.10,24.10,23.71
94,24.10,24.14,23.69
95,24.10,24.08,23.75
96,24.12,24.12,23.77
97,24.12,24.10,23.79
98,24.12,24.14,23.79
99,24.10,24.16,23.77
100,24.12,24.12,23.77
101,24.08,24.12,23.77
102,24.16,24.16,23.79
103,24.16,24.18,23.81
104,24.10,24.14,23.83
105,24.16,24.18,23.81
106,24.16,24.18,23.73
107,24.14,24.16,23.83
108,24.16,24.18,23.85
109,24.14,24.20,23.79
110,24.20,24.20,23.83
111,24.18,24.14,23.87
112,24.20,24.18,23.87
113,24.20,24.20,23.87
114,24.24,24.18,23.89
115,24.18,24.24,23.89
116,24.27,24.18,23.91
117,24.24,24.27,23.83
118,24.22,24.29,23.85
119,24.29,24.27,23.93
120,24.29,24.24,23.96
121,24.27,24.29,23.96
122,24.33,24.31,23.89
123,24.29,24.31,23.98
124,24.33,24.33,23.96
125,24.35,24.33,23.96
126,24.29,24.33,23.96
127,24.35,24.35,23.98
128,24.35,24.37,23.96
129,24.33,24.35,23.96
130,24.35,24.35,23.96
131,24.33,24.33,23.93
132,24.35,24.35,24.00
133,24.33,24.33,23.98
134,24.31,24.37,23.96
135,24.31,24.37,24.02
136,24.29,24.35,24.00
137,24.29,24.35,24.00
138,24.31,24.33,24.00
139,24.29,24.35,24.00
140,24.35,24.33,23.98
141,24.33,24.37,24.00
142,24.29,24.37,24.00
143,24.37,24.31,24.00
144,24.29,24.35,24.00
145,24.33,24.39,24.02
146,24.35,24.39,23.96
147,24.33,24.37,24.00
148,24.33,24.39,23.96
149,24.33,24.35,24.00
150,24.31,24.37,24.02
151,24.35,24.37,24.02
152,24.33,24.39,23.98
153,24.31,24.37,24.00
154,24.35,24.31,24.02
155,24.35,24.37,24.04
156,24.35,24.29,24.04
157,24.31,24.37,24.04
158,24.33,24.39,24.06
159,24.35,24.37,24.04
160,24.27,24.39,24.06
161,24.33,24.39,24.04
162,24.33,24.39,24.06
163,24.35,24.33,24.04
164,24.33,24.39,24.02
165,24.33,24.37,24.04
166,24.33,24.35,24.06
167,24.37,24.39,24.06
168,24.37,24.41,23.98
169,24.33,24.37,24.06
170,24.33,24.41,24.08
171,24.37,24.37,24.06
172,24.37,24.39,24.04
173,24.35,24.41,24.06
174,24.35,24.37,24.08
175,24.39,24.39,24.08
176,24.33,24.43,24.06
177,24.35,24.37,24.10
178,24.33,24.43,24.04
179,24.35,24.41,24.08
180,24.37,24.43,24.02
181,24.35,24.39,24.08
182,24.35,24.43,24.06
183,24.37,24.43,24.02
184,24.31,24.41,24.10
185,24.35,24.39,24.08
186,24.35,24.41,24.10
187,24.29,24.43,24.06
188,24.37,24.37,24.10
189,24.35,24.43,24.08
190,24.39,24.43,24.08
191,24.33,24.41,24.12
192,24.35,24.43,24.12
193,24.37,24.39,24.10
194,24.37,24.37,24.08
195,24.39,24.41,24.06
196,24.35,24.43,24.10
197,24.31,24.47,24.12
198,24.37,24.43,24.08
199,24.41,24.39,24.10
200,24.39,24.47,24.12
201,24.39,24.45,24.06
202,24.37,24.39,24.12
203,24.33,24.45,24.08
204,24.39,24.49,24.10
205,24.43,24.49,24.08
206,24.41,24.43,24.12
207,24.37,24.47,24.12
208,24.39,24.49,24.06
209,24.43,24.41,24.12
210,24.43,24.49,24.14
211,24.41,24.43,24.14
212,24.37,24.49,24.04
213,24.43,24.45,24.14
214,24.41,24.47,24.14
215,24.35,24.47,24.12
216,24.39,24.47,24.08
217,24.39,24.47,24.12
218,24.39,24.49,24.12
219,24.41,24.41,24.12
220,24.41,24.45,24.12
221,24.41,24.39,24.14
222,24.39,24.45,24.14
223,24.35,24.49,24.14
224,24.39,24.47,24.14
225,24.33,24.47,24.10
226,24.37,24.47,24.06
227,24.41,24.45,24.12
228,24.31,24.47,24.12
229,24.43,24.47,24.08
230,24.41,24.41,24.12
231,24.37,24.45,24.16
232,24.35,24.49,24.14
233,24.37,24.49,24.08
234,24.37,24.45,24.14
235,24.43,24.41,24.14
236,24.41,24.47,24.14
237,24.41,24.51,24.12
238,24.41,24.49,24.14
239,24.39,24.43,24.16
240,24.37,24.51,24.18
241,24.43,24.45,24.14
242,24.35,24.49,24.16
243,24.41,24.43,24.14
244,24.41,24.51,24.14
245,24.39,24.49,24.16
246,24.41,24.49,24.10
247,24.37,24.47,24.16
248,24.41,24.47,24.12
249,24.39,24.49,24.12
250,24.29,24.49,24.16
251,24.39,24.43,24.14
252,24.35,24.47,24.14
253,24.33,24.47,24.14
255,24.39,24.51,24.10
256,24.39,24.47,24.16
257,24.39,24.47,24.16
258,24.41,24.45,24.14
259,24.35,24.49,24.16
260,24.41,24.47,24.08
261,24.41,24.49,24.10
262,24.43,24.49,24.14
263,24.37,24.49,24.10
264,24.41,24.49,24.16
265,24.33,24.49,24.14
266,24.41,24.51,24.14
267,24.39,24.49,24.12
268,24.39,24.49,24.16
269,24.41,24.49,24.14
270,24.35,24.51,24.14
271,24.41,24.51,24.16
272,24.41,24.51,24.08
273,24.43,24.45,24.14
274,24.41,24.51,24.12
275,24.37,24.49,24.14
276,24.43,24.51,24.16
277,24.41,24.49,24.16
278,24.35,24.49,24.18
279,24.43,24.49,24.12
280,24.39,24.49,24.18
281,24.37,24.49,24.16
282,24.39,24.51,24.08
283,24.43,24.47,24.16
284,24.41,24.49,24.08
285,24.41,24.49,24.12
286,24.43,24.51,24.06
287,24.41,24.49,24.16
288,24.41,24.51,24.12
289,24.41,24.51,24.08
290,24.41,24.45,24.16
291,24.41,24.51,24.16
292,24.39,24.51,24.16
293,24.43,24.49,24.18
294,24.37,24.51,24.12
295,24.37,24.49,24.16
296,24.43,24.43,24.16
297,24.39,24.51,24.18
298,24.41,24.49,24.18
299,24.41,24.51,24.10
300,24.35,24.49,24.16
301,24.43,24.53,24.18
302,24.41,24.56,24.14
303,24.41,24.51,24.18
304,24.43,24.47,24.16
305,24.41,24.53,24.18
306,24.41,24.51,24.18
307,24.35,24.51,24.16
308,24.41,24.49,24.20
309,24.35,24.51,24.20
310,24.43,24.53,24.14
311,24.43,24.53,24.20
312,24.41,24.51,24.18
313,24.43,24.49,24.18
314,24.45,24.49,24.20
315,24.39,24.56,24.18
316,24.37,24.53,24.20
317,24.41,24.53,24.20
318,24.45,24.51,24.22
319,24.47,24.53,24.22
320,24.47,24.53,24.18
321,24.45,24.56,24.12
322,24.49,24.56,24.20
323,24.45,24.51,24.20
324,24.47,24.53,24.22
325,24.45,24.53,24.18
326,24.45,24.49,24.20
327,24.43,24.53,24.20
328,24.45,24.51,24.18
329,24.39,24.56,24.20
330,24.39,24.51,24.18
331,24.45,24.56,24.20
332,24.45,24.49,24.18
333,24.45,24.53,24.22
334,24.45,24.53,24.16
335,24.45,24.53,24.18
336,24.45,24.56,24.18
337,24.43,24.56,24.16
338,24.41,24.53,24.20
339,24.45,24.53,24.16
340,24.41,24.53,24.18
341,24.45,24.51,24.18
342,24.41,24.53,24.18
343,24.45,24.56,24.20
344,24.39,24.53,24.16
345,24.45,24.56,24.18
346,24.45,24.51,24.22
347,24.43,24.53,24.14
348,24.45,24.53,24.20
349,24.45,24.53,24.20
350,24.45,24.53,24.20
351,24.43,24.56,24.18
352,24.43,24.51,24.20
353,24.47,24.45,24.18
354,24.37,24.53,24.18
355,24.45,24.56,24.12
356,24.43,24.53,24.20
357,24.45,24.53,24.20
358,24.41,24.51,24.18
359,24.43,24.53,24.14
360,24.39,24.53,24.20
361,24.43,24.51,24.20
362,24.43,24.53,24.20
363,24.41,24.51,24.20
364,24.45,24.51,24.16
365,24.41,24.51,24.20
366,24.43,24.53,24.16
367,24.45,24.43,24.18
368,24.41,24.51,24.14
369,24.43,24.53,24.20
370,24.39,24.53,24.20
371,24.43,24.45,24.20
372,24.43,24.53,24.22
373,24.43,24.47,24.20
374,24.41,24.53,24.20
375,24.43,24.49,24.20
376,24.43,24.47,24.22
377,24.39,24.53,24.16
378,24.43,24.56,24.18
379,24.43,24.49,24.20
380,24.43,24.49,24.18
381,24.41,24.53,24.22
382,24.37,24.51,24.18
383,24.43,24.56,24.22
384,24.39,24.49,24.22
385,24.45,24.56,24.20
386,24.47,24.53,24.18
387,24.45,24.51,24.20
388,24.41,24.53,24.14
389,24.41,24.51,24.22
390,24.43,24.58,24.20
391,24.43,24.56,24.18
392,24.43,24.53,24.20
393,24.45,24.58,24.14
394,24.45,24.51,24.22
395,24.45,24.53,24.20
396,24.45,24.49,24.20
397,24.47,24.56,24.22
398,24.43,24.47,24.22
399,24.45,24.47,24.22
400,24.43,24.56,24.22
401,24.41,24.56,24.24
402,24.45,24.56,24.22
403,24.43,24.51,24.24
404,24.45,24.58,24.24
405,24.43,24.56,24.22
406,24.45,24.53,24.24
407,24.43,24.56,24.16
408,24.41,24.56,24.22
409,24.41,24.56,24.14
410,24.39,24.56,24.24
411,24.43,24.53,24.24
412,24.35,24.56,24.22
413,24.43,24.56,24.22
414,24.43,24.58,24.16
415,24.45,24.47,24.22
416,24.45,24.58,24.20
417,24.43,24.51,24.22
418,24.47,24.56,24.22
419,24.45,24.51,24.20
420,24.41,24.56,24.18
421,24.47,24.49,24.20
422,24.43,24.51,24.24
423,24.43,24.56,24.20
424,24.47,24.56,24.22
425,24.45,24.51,24.20
426,24.41,24.58,24.16
427,24.45,24.51,24.20
428,24.45,24.53,24.20
429,24.43,24.58,24.20
430,24.43,24.49,24.22
431,24.45,24.53,24.20
432,24.45,24.58,24.18
433,24.45,24.53,24.20
434,24.45,24.56,24.22
435,24.45,24.58,24.20
436,24.45,24.56,24.22
437,24.43,24.58,24.24
438,24.47,24.58,24.22
439,24.47,24.56,24.22
440,24.49,24.58,24.22
441,24.47,24.56,24.20
442,24.49,24.56,24.22
443,24.41,24.56,24.24
444,24.43,24.58,24.16
445,24.45,24.58,24.18
446,24.43,24.56,24.16
447,24.47,24.47,24.22
448,24.45,24.58,24.18
449,24.49,24.53,24.18
450,24.45,24.56,24.20
451,24.45,24.56,24.22
452,24.39,24.53,24.22
453,24.47,24.53,24.22
454,24.45,24.56,24.22
455,24.43,24.51,24.22
456,24.43,24.58,24.18
457,24.45,24.51,24.22
458,24.45,24.53,24.22
459,24.45,24.58,24.22
460,24.45,24.56,24.24
461,24.47,24.53,24.22
462,24.39,24.56,24.20
463,24.45,24.60,24.18
464,24.37,24.58,24.22
465,24.47,24.53,24.20
466,24.45,24.58,24.22
467,24.47,24.56,24.22
468,24.45,24.53,24.24
469,24.41,24.58,24.22
470,24.37,24.56,24.22
471,24.45,24.56,24.24
472,24.43,24.53,24.20
473,24.37,24.58,24.20
474,24.43,24.58,24.20
475,24.45,24.56,24.24
476,24.47,24.53,24.20
477,24.47,24.58,24.18
478,24.41,24.53,24.22
479,24.47,24.49,24.20
480,24.45,24.56,24.18
481,24.47,24.56,24.20
482,24.43,24.58,24.14
483,24.37,24.53,24.20
484,24.41,24.56,24.22
485,24.47,24.49,24.20
486,24.45,24.47,24.20
487,24.45,24.49,24.22
488,24.47,24.51,24.22
489,24.39,24.58,24.22
490,24.47,24.58,24.16
491,24.45,24.49,24.22
492,24.45,24.56,24.22
493,24.47,24.58,24.18
494,24.41,24.58,24.20
495,24.47,24.56,24.24
496,24.45,24.56,24.16
497,24.49,24.47,24.22
498,24.49,24.53,24.18
499,24.47,24.53,24.22
500,24.45,24.60,24.14
501,24.47,24.58,24.22
502,24.45,24.49,24.22
503,24.49,24.53,24.20
504,24.45,24.56,24.16
505,24.45,24.58,24.20
506,24.49,24.60,24.22
508,24.45,24.58,24.20
509,24.41,24.56,24.20
510,24.47,24.56,24.22
511,24.41,24.56,24.22
512,24.45,24.53,24.22
513,24.47,24.58,24.18
514,24.47,24.53,24.22
515,24.49,24.53,24.20
516,24.47,24.56,24.22
517,24.41,24.58,24.22
518,24.45,24.58,24.24
519,24.47,24.58,24.24
520,24.49,24.51,24.22
521,24.47,24.60,24.22
522,24.47,24.51,24.22
523,24.49,24.49,24.22
524,24.47,24.60,24.16
525,24.45,24.58,24.24
526,24.45,24.58,24.16
527,24.49,24.60,24.22
528,24.45,24.58,24.24
529,24.45,24.49,24.22
530,24.47,24.56,24.24
531,24.43,24.58,24.20
532,24.45,24.58,24.22
533,24.47,24.49,24.22
