Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,32.84,31.09,29.98
1,32.84,31.12,29.96
2,32.88,31.09,29.96
3,32.86,31.09,29.96
4,32.86,31.07,29.94
5,32.86,31.07,29.96
6,32.84,31.12,29.96
7,32.88,31.12,29.94
8,32.91,31.12,29.98
9,32.91,31.12,30.01
10,32.93,31.14,30.01
11,32.93,31.12,30.01
12,32.91,31.12,30.01
13,32.95,31.12,29.98
14,32.93,31.14,29.98
15,32.95,31.14,29.98
16,32.93,31.16,30.01
17,32.93,31.14,30.01
18,32.88,31.16,30.03
19,32.93,31.16,30.03
20,32.93,31.16,30.03
21,32.93,31.18,30.03
22,32.93,31.16,30.03
23,32.93,31.14,30.01
24,32.95,31.18,30.01
25,32.95,31.16,30.01
26,32.93,31.16,30.01
27,32.97,31.18,30.01
28,32.95,31.20,30.03
29,32.95,31.20,29.98
30,32.97,31.18,30.03
31,32.95,31.16,30.01
32,32.97,31.18,29.98
33,32.97,31.16,29.98
34,32.95,31.18,30.01
35,32.97,31.18,29.98
36,32.95,31.18,30.05
37,32.97,31.18,30.01
38,32.95,31.18,30.03
39,32.93,31.18,30.01
40,32.93,31.16,30.03
41,32.93,31.16,30.01
42,32.93,31.18,30.03
43,32.91,31.18,30.03
44,32.93,31.20,30.01
45,32.95,31.22,30.03
46,33.00,31.20,30.01
47,33.00,31.20,30.03
48,33.00,31.18,30.03
49,33.00,31.20,30.01
50,33.00,31.16,30.05
51,33.00,31.18,30.05
52,33.00,31.20,30.05
53,33.00,31.22,30.03
54,32.95,31.22,30.07
55,33.00,31.20,30.09
56,33.02,31.22,30.09
57,33.00,31.22,30.09
58,33.02,31.22,30.09
59,33.00,31.22,30.11
60,33.00,31.22,30.09
61,33.00,31.22,30.11
62,32.97,31.20,30.14
63,33.02,31.20,30.14
64,33.00,31.20,30.16
65,32.97,31.22,30.16
66,33.00,31.25,30.14
67,32.97,31.25,30.11
68,32.97,31.25,30.14
69,32.97,31.25,30.14
70,32.97,31.22,30.14
71,32.97,31.25,30.14
72,32.97,31.22,30.11
73,33.00,31.25,30.14
74,33.00,31.25,30.16
75,32.95,31.25,30.16
76,33.00,31.25,30.16
77,32.97,31.25,30.16
78,33.02,31.25,30.18
79,33.02,31.27,30.16
80,33.04,31.29,30.16
81,33.02,31.29,30.16
82,33.00,31.29,30.16
83,33.00,31.27,30.16
84,33.02,31.25,30.14
85,33.00,31.27,30.16
86,33.00,31.27,30.14
87,33.04,31.27,30.14
88,33.06,31.27,30.18
89,33.04,31.27,30.18
90,33.02,31.27,30.18
91,33.02,31.27,30.18
92,33.00,31.29,30.18
93,32.97,31.27,30.14
94,32.97,31.25,30.16
95,32.97,31.27,30.11
96,33.00,31.25,30.14
97,33.00,31.29,30.14
98,33.00,31.29,30.18
99,33.00,31.29,30.18
100,33.02,31.25,30.20
101,33.00,31.29,30.20
102,32.97,31.29,30.20
103,32.97,31.31,30.20
104,32.95,31.29,30.20
105,32.97,31.29,30.18
106,32.95,31.29,30.20
107,32.97,31.29,30.20
108,32.93,31.27,30.20
109,32.93,31.25,30.20
110,32.95,31.27,30.18
111,32.97,31.27,30.18
112,32.97,31.27,30.20
113,32.95,31.27,30.20
114,33.00,31.29,30.20
115,33.00,31.27,30.20
116,33.02,31.29,30.18
117,33.02,31.25,30.18
118,33.02,31.29,30.18
119,33.02,31.27,30.20
120,33.00,31.29,30.20
121,33.02,31.29,30.18
122,33.04,31.29,30.16
123,33.04,31.27,30.18
124,33.02,31.29,30.16
125,33.02,31.27,30.16
126,32.97,31.29,30.16
127,33.00,31.29,30.18
128,33.00,31.25,30.14
129,32.97,31.25,30.14
130,32.97,31.25,30.11
131,32.95,31.25,30.14
132,32.97,31.22,30.14
133,32.97,31.25,30.16
134,32.97,31.25,30.14
135,33.00,31.27,30.11
136,32.97,31.27,30.16
137,33.02,31.29,30.11
138,33.04,31.29,30.16
139,33.04,31.29,30.16
140,33.00,31.29,30.18
141,33.02,31.31,30.20
142,33.00,31.31,30.22
143,33.00,31.33,30.22
144,32.97,31.33,30.24
145,33.00,31.31,30.22
146,32.97,31.33,30.22
147,32.97,31.31,30.22
148,33.00,31.29,30.22
149,33.00,31.29,30.22
150,33.00,31.29,30.22
151,33.00,31.27,30.22
152,33.02,31.27,30.22
153,33.04,31.27,30.22
154,33.02,31.29,30.22
155,33.04,31.29,30.18
156,33.04,31.29,30.20
157,33.04,31.29,30.20
158,33.04,31.27,30.20
159,33.02,31.29,30.20
160,33.04,31.27,30.20
161,33.04,31.27,30.22
162,33.06,31.25,30.20
163,33.06,31.29,30.18
164,33.02,31.25,30.22
165,32.97,31.27,30.20
166,32.95,31.27,30.18
167,32.91,31.25,30.22
168,32.91,31.20,30.20
169,32.91,31.27,30.18
170,32.91,31.27,30.22
171,32.88,31.25,30.22
172,32.88,31.27,30.22
173,32.84,31.27,30.22
174,32.86,31.25,30.22
175,32.88,31.27,30.24
176,32.88,31.25,30.24
177,32.91,31.25,30.24
178,32.91,31.25,30.24
179,32.95,31.25,30.24
180,32.95,31.27,30.20
181,32.97,31.27,30.24
182,33.00,31.29,30.27
183,33.00,31.25,30.24
184,32.97,31.27,30.24
185,32.93,31.27,30.22
186,32.93,31.20,30.24
187,32.91,31.25,30.22
188,32.91,31.25,30.24
189,32.91,31.20,30.22
190,32.86,31.22,30.22
191,32.86,31.25,30.22
192,32.86,31.22,30.20
193,32.86,31.22,30.22
194,32.86,31.25,30.22
195,32.86,31.27,30.22
196,32.91,31.29,30.20
197,32.91,31.29,30.22
198,32.91,31.29,30.22
199,32.91,31.29,30.20
200,32.93,31.29,30.20
201,32.93,31.29,30.20
202,32.93,31.29,30.20
203,32.93,31.27,30.24
204,32.91,31.29,30.24
205,32.91,31.31,30.22
206,32.91,31.31,30.24
207,32.91,31.31,30.20
208,32.88,31.29,30.20
209,32.93,31.25,30.22
210,32.91,31.25,30.22
211,32.95,31.22,30.22
212,32.95,31.25,30.18
213,32.97,31.27,30.20
214,33.00,31.29,30.18
215,33.00,31.29,30.20
216,32.97,31.29,30.22
217,33.00,31.29,30.20
218,32.97,31.27,30.22
219,32.93,31.25,30.22
220,32.86,31.27,30.20
221,32.84,31.25,30.18
222,32.77,31.22,30.22
223,32.71,31.27,30.22
224,32.64,31.25,30.22
225,32.59,31.22,30.24
226,32.55,31.22,30.22
227,32.53,31.25,30.27
228,32.55,31.25,30.24
229,32.55,31.22,30.24
230,32.53,31.25,30.24
231,32.53,31.22,30.22
232,32.55,31.25,30.20
233,32.51,31.22,30.22
234,32.48,31.20,30.22
235,32.46,31.22,30.24
236,32.44,31.18,30.24
237,32.39,31.18,30.22
238,32.28,31.20,30.22
239,32.31,31.18,30.18
240,32.28,31.18,30.20
241,32.26,31.16,30.18
242,32.31,31.12,30.18
243,32.31,31.16,30.14
244,32.35,31.14,30.18
245,32.31,31.14,30.16
246,32.31,31.14,30.16
247,32.35,31.12,30.11
248,32.33,31.09,30.14
249,32.26,31.12,30.14
250,32.28,31.05,30.09
251,32.26,31.05,30.07
252,32.24,31.03,30.07
253,32.22,31.05,30.03
255,32.24,31.01,30.05
256,32.26,31.01,30.05
257,32.24,30.98,30.03
258,32.24,30.98,30.03
259,32.24,30.96,30.01
260,32.24,30.96,30.03
261,32.24,30.98,29.98
262,32.22,31.01,30.01
263,32.19,30.98,29.98
264,32.19,30.94,29.98
265,32.19,30.92,29.94
266,32.19,30.94,29.92
267,32.17,30.92,29.94
268,32.19,30.94,29.92
269,32.13,30.94,29.92
270,32.11,30.94,29.94
271,32.08,30.94,29.92
272,32.11,30.90,29.92
273,32.15,30.94,29.88
274,32.13,30.92,29.90
275,32.06,30.90,29.90
276,32.11,30.87,29.90
277,32.08,30.87,29.90
278,32.11,30.87,29.88
279,32.13,30.85,29.88
280,32.13,30.85,29.88
281,32.11,30.85,29.85
282,32.11,30.83,29.85
283,32.13,30.79,29.83
284,32.13,30.81,29.83
285,32.11,30.81,29.83
286,32.11,30.83,29.81
287,32.08,30.81,29.81
288,32.08,30.81,29.83
289,32.11,30.81,29.77
290,32.11,30.81,29.81
291,32.08,30.81,29.77
292,32.06,30.79,29.81
293,32.04,30.81,29.79
294,32.06,30.74,29.79
295,32.04,30.74,29.77
296,32.04,30.74,29.79
297,32.04,30.72,29.77
298,32.04,30.74,29.77
299,32.00,30.74,29.77
300,32.04,30.74,29.72
301,32.02,30.74,29.72
302,32.04,30.74,29.79
303,32.04,30.72,29.79
304,32.06,30.74,29.79
305,32.00,30.74,29.79
306,32.04,30.74,29.79
307,32.02,30.74,29.77
308,32.02,30.72,29.81
309,32.02,30.74,29.79
310,32.00,30.74,29.79
311,31.97,30.70,29.79
312,31.97,30.70,29.77
313,31.97,30.68,29.77
314,31.95,30.70,29.77
315,31.97,30.68,29.75
316,31.95,30.66,29.75
317,31.95,30.68,29.72
318,31.93,30.66,29.72
319,31.95,30.66,29.70
320,31.93,30.66,29.70
321,31.91,30.64,29.66
322,31.93,30.64,29.70
323,31.93,30.61,29.68
324,31.91,30.59,29.70
325,31.91,30.59,29.70
326,31.93,30.61,29.68
327,31.91,30.59,29.70
328,31.91,30.59,29.70
329,31.86,30.61,29.70
330,31.91,30.57,29.70
331,31.86,30.57,29.66
332,31.84,30.59,29.68
333,31.86,30.59,29.66
334,31.86,30.57,29.66
335,31.86,30.59,29.66
336,31.86,30.57,29.66
337,31.86,30.57,29.62
338,31.86,30.59,29.66
339,31.86,30.59,29.64
340,31.84,30.57,29.64
341,31.86,30.59,29.64
342,31.86,30.57,29.62
343,31.84,30.57,29.62
344,31.84,30.55,29.57
345,31.77,30.55,29.62
346,31.82,30.57,29.62
347,31.77,30.55,29.64
348,31.82,30.50,29.60
349,31.82,30.53,29.64
350,31.82,30.53,29.60
351,31.77,30.53,29.62
352,31.77,30.48,29.57
353,31.71,30.48,29.60
354,31.69,30.48,29.57
355,31.64,30.48,29.60
356,31.66,30.48,29.60
357,31.69,30.50,29.57
358,31.69,30.50,29.62
359,31.69,30.48,29.60
360,31.69,30.46,29.57
361,31.69,30.44,29.53
