Temps (s), T1 (°C), T2 (°C), T3 (°C), Ampérage (A)
0,22.49,22.92,22.68,0.0
1,22.47,22.95,22.72,0.0
2,22.47,22.92,22.72,0.0
3,22.51,22.92,22.7,0.0
4,22.56,22.95,22.7,0.0
5,22.49,22.92,22.72,0.0
6,22.51,22.95,22.74,0.0
7,22.49,22.95,22.76,0.0
8,22.51,22.92,22.74,0.0
9,22.56,22.92,22.74,0.0
10,22.53,22.95,22.72,0.0
11,22.53,22.95,22.72,0.0
12,22.53,22.95,22.7,0.0
13,22.51,22.95,22.74,0.0
14,22.56,22.99,22.74,0.0
15,22.53,22.95,22.74,0.0
16,22.51,22.92,22.74,0.0
17,22.53,22.92,22.74,0.0
18,22.56,22.95,22.72,0.0
19,22.56,22.95,22.74,0.0
20,22.58,22.95,22.72,0.0
21,22.53,22.95,22.72,0.0
22,22.53,22.95,22.68,0.0
23,22.49,22.95,22.76,0.0
24,22.56,22.97,22.76,0.0
25,22.53,22.95,22.72,0.0
26,22.58,22.97,22.76,0.12
27,22.58,22.97,22.76,0.12
28,22.62,22.97,22.76,0.12
29,22.68,22.97,22.78,0.12
30,22.74,22.97,22.78,0.12
31,22.78,22.92,22.76,0.12
32,22.82,22.95,22.74,0.12
33,22.86,22.97,22.76,0.12
34,22.9,22.95,22.76,0.12
35,22.95,22.97,22.74,0.12
36,22.97,22.99,22.76,0.12
37,23.01,22.97,22.76,0.12
38,23.03,23.01,22.74,0.12
39,23.05,23.03,22.76,0.12
40,23.09,23.03,22.76,0.12
41,23.11,23.03,22.78,0.12
42,23.15,23.01,22.78,0.12
43,23.19,23.07,22.76,0.12
44,23.19,23.03,22.78,0.12
45,23.19,23.07,22.8,0.12
46,23.21,23.09,22.8,0.12
47,23.23,23.09,22.8,0.12
48,23.23,23.11,22.78,0.12
49,23.3,23.11,22.8,0.12
50,23.3,23.11,22.8,0.12
51,23.32,23.11,22.82,0.12
52,23.32,23.11,22.82,0.12
53,23.34,23.17,22.82,0.12
54,23.32,23.17,22.82,0.12
55,23.38,23.17,22.84,0.12
56,23.4,23.19,22.84,0.12
57,23.4,23.21,22.84,0.12
58,23.38,23.23,22.86,0.12
59,23.42,23.23,22.86,0.12
60,23.42,23.23,22.88,0.12
61,23.42,23.25,22.88,0.12
62,23.42,23.25,22.88,0.12
63,23.48,23.25,22.9,0.12
64,23.46,23.27,22.92,0.12
65,23.5,23.32,22.88,0.12
66,23.5,23.27,22.92,0.12
67,23.5,23.32,22.92,0.12
68,23.48,23.34,22.92,0.12
69,23.52,23.34,22.92,0.12
70,23.54,23.34,22.97,0.12
71,23.56,23.34,22.95,0.12
72,23.56,23.36,22.97,0.12
73,23.58,23.38,22.99,0.12
74,23.56,23.4,22.97,0.12
75,23.58,23.4,22.97,0.12
76,23.63,23.4,22.99,0.12
77,23.63,23.4,23.01,0.12
78,23.6,23.44,23.03,0.12
79,23.65,23.44,23.01,0.12
80,23.65,23.4,23.03,0.12
81,23.65,23.4,23.05,0.12
82,23.67,23.42,23.05,0.12
83,23.67,23.48,23.03,0.12
84,23.69,23.44,23.07,0.12
85,23.69,23.5,23.07,0.12
86,23.69,23.5,23.09,0.12
87,23.69,23.52,23.07,0.12
88,23.71,23.5,23.09,0.12
89,23.73,23.52,23.11,0.12
90,23.73,23.54,23.09,0.12
91,23.71,23.54,23.17,0.12
92,23.73,23.54,23.13,0.12
93,23.73,23.56,23.11,0.12
94,23.75,23.54,23.15,0.12
95,23.77,23.54,23.15,0.12
96,23.77,23.56,23.15,0.12
97,23.77,23.58,23.19,0.12
98,23.79,23.6,23.19,0.12
99,23.79,23.6,23.15,0.12
100,23.81,23.6,23.21,0.12
101,23.79,23.6,23.21,0.12
102,23.81,23.63,23.21,0.12
103,23.83,23.65,23.23,0.12
104,23.83,23.65,23.19,0.12
105,23.83,23.63,23.23,0.12
106,23.81,23.65,23.25,0.12
107,23.85,23.67,23.23,0.12
108,23.87,23.65,23.25,0.12
109,23.85,23.69,23.25,0.12
110,23.87,23.69,23.27,0.12
111,23.87,23.71,23.27,0.12
112,23.87,23.69,23.27,0.12
113,23.91,23.69,23.3,0.12
114,23.89,23.71,23.32,0.12
115,23.91,23.73,23.3,0.12
116,23.91,23.73,23.34,0.12
117,23.91,23.77,23.34,0.12
118,23.87,23.75,23.32,0.12
119,23.91,23.75,23.36,0.12
120,23.91,23.75,23.34,0.12
121,23.91,23.77,23.36,0.12
122,23.91,23.77,23.36,0.12
123,23.93,23.77,23.36,0.12
124,23.96,23.77,23.34,0.12
125,23.93,23.79,23.38,0.12
126,23.98,23.81,23.36,0.12
127,23.98,23.81,23.4,0.12
128,23.96,23.81,23.4,0.12
129,23.98,23.81,23.4,0.12
130,24.0,23.81,23.4,0.12
131,24.0,23.83,23.38,0.12
132,24.0,23.85,23.4,0.12
133,24.02,23.85,23.4,0.12
134,24.06,23.85,23.4,0.12
135,24.04,23.85,23.42,0.12
136,24.02,23.87,23.44,0.12
137,24.04,23.85,23.46,0.12
138,24.04,23.87,23.44,0.12
139,24.06,23.85,23.48,0.12
140,24.06,23.87,23.48,0.12
141,24.04,23.89,23.46,0.12
142,24.08,23.89,23.48,0.12
143,24.06,23.89,23.5,0.12
144,24.06,23.91,23.48,0.12
145,24.06,23.91,23.5,0.12
146,24.06,23.93,23.48,0.12
147,24.1,23.93,23.48,0.12
148,24.06,23.96,23.54,0.12
149,24.06,23.93,23.52,0.12
150,24.08,23.96,23.54,0.12
151,24.1,23.96,23.54,0.12
152,24.1,23.96,23.54,0.12
153,24.1,23.96,23.54,0.12
154,24.12,23.98,23.56,0.12
155,24.1,23.98,23.56,0.12
156,24.12,23.98,23.56,0.12
157,24.14,24.0,23.54,0.12
158,24.14,24.0,23.58,0.12
159,24.14,24.0,23.58,0.12
160,24.14,24.02,23.58,0.12
161,24.14,24.02,23.58,0.12
162,24.16,24.02,23.58,0.12
163,24.18,24.04,23.6,0.12
164,24.18,24.04,23.63,0.12
165,24.14,24.04,23.58,0.12
166,24.2,24.04,23.58,0.12
167,24.2,24.04,23.6,0.12
168,24.22,24.04,23.63,0.12
169,24.14,24.06,23.63,0.12
170,24.2,24.06,23.6,0.12
171,24.2,24.04,23.65,0.12
172,24.18,24.06,23.65,0.12
173,24.22,24.06,23.65,0.12
174,24.22,24.08,23.65,0.12
175,24.2,24.08,23.69,0.12
176,24.22,24.06,23.67,0.12
177,24.24,24.08,23.69,0.12
178,24.22,24.08,23.69,0.12
179,24.22,24.1,23.71,0.12
180,24.24,24.1,23.71,0.12
