Temps (s), T1 (°C), T2 (°C), T3 (°C), Ampérage (A)
0,32.95,31.01,29.94,0.91
1,32.91,31.05,29.96,0.91
2,32.91,31.05,30.01,0.91
3,32.88,31.05,29.98,0.91
4,32.88,31.05,30.03,0.91
5,32.91,31.05,30.03,0.91
6,32.93,31.07,30.03,0.91
7,32.95,31.09,30.01,0.91
8,32.97,31.09,30.05,0.91
9,32.97,31.12,30.03,0.91
10,32.93,31.12,30.03,0.91
11,32.91,31.12,30.01,0.91
12,32.86,31.07,30.03,0.91
13,32.86,31.05,30.03,0.91
14,32.86,31.03,30.03,0.91
15,32.82,31.01,30.03,0.91
16,32.82,30.96,30.01,0.91
17,32.82,30.96,30.01,0.91
18,32.8,31.01,30.01,0.91
19,32.8,30.96,29.98,0.91
20,32.8,31.01,29.94,0.91
21,32.82,30.98,29.94,0.91
22,32.84,30.98,29.94,0.91
23,32.84,30.96,29.9,0.91
24,32.86,30.98,29.88,0.91
25,32.86,30.96,29.88,0.91
26,32.84,30.96,29.85,0.91
27,32.82,30.96,29.85,0.91
28,32.84,30.96,29.88,0.91
29,32.8,31.01,29.88,0.77
30,32.73,30.98,29.88,0.77
31,32.66,31.03,29.9,0.77
32,32.62,30.98,29.9,0.77
33,32.62,30.98,29.92,0.77
34,32.57,30.96,29.92,0.77
35,32.57,30.98,29.92,0.77
36,32.57,30.98,29.92,0.77
37,32.53,30.98,29.94,0.77
38,32.48,30.96,29.94,0.77
39,32.46,30.92,29.94,0.77
40,32.44,30.92,29.94,0.77
41,32.42,30.92,29.94,0.77
42,32.39,30.94,29.94,0.77
43,32.42,30.94,29.96,0.77
44,32.37,30.96,29.96,0.77
45,32.39,30.94,29.98,0.77
46,32.39,30.96,29.98,0.77
47,32.42,30.94,30.01,0.77
48,32.42,30.92,30.01,0.77
49,32.35,30.94,29.98,0.77
50,32.35,30.9,30.01,0.77
51,32.28,30.9,29.98,0.77
52,32.28,30.9,29.98,0.77
53,32.26,30.87,29.98,0.77
54,32.22,30.87,29.98,0.77
55,32.19,30.85,29.98,0.77
56,32.17,30.85,29.96,0.77
57,32.19,30.83,29.96,0.77
58,32.19,30.83,29.94,0.77
59,32.17,30.83,29.94,0.77
60,32.19,30.85,29.94,0.77
61,32.15,30.79,29.92,0.77
62,32.13,30.79,29.92,0.77
63,32.13,30.79,29.88,0.77
64,32.11,30.79,29.88,0.77
65,32.08,30.68,29.85,0.77
66,32.08,30.7,29.85,0.77
67,32.08,30.72,29.85,0.77
68,32.08,30.72,29.85,0.77
69,32.06,30.74,29.81,0.77
70,32.04,30.72,29.83,0.77
71,32.04,30.74,29.77,0.77
72,32.06,30.72,29.77,0.77
73,32.06,30.7,29.77,0.77
74,32.06,30.7,29.75,0.77
75,32.02,30.7,29.72,0.77
76,32.06,30.68,29.72,0.77
77,32.02,30.72,29.7,0.77
78,32.06,30.72,29.7,0.77
79,32.11,30.68,29.7,0.77
80,32.08,30.7,29.68,0.77
81,32.04,30.68,29.68,0.77
82,32.08,30.7,29.68,0.77
83,32.11,30.68,29.66,0.77
84,32.11,30.68,29.68,0.77
85,32.08,30.66,29.62,0.77
86,32.02,30.66,29.64,0.77
87,32.06,30.66,29.62,0.77
88,32.02,30.61,29.6,0.77
89,31.97,30.64,29.57,0.77
90,31.95,30.61,29.6,0.77
91,31.95,30.61,29.57,0.77
92,31.93,30.55,29.57,0.77
93,31.95,30.59,29.57,0.77
94,31.95,30.57,29.55,0.77
95,31.95,30.55,29.55,0.77
96,32.0,30.5,29.53,0.77
97,32.0,30.53,29.55,0.77
98,31.97,30.5,29.53,0.77
99,31.95,30.55,29.51,0.77
100,31.93,30.53,29.53,0.77
101,31.93,30.55,29.49,0.77
102,31.95,30.53,29.51,0.77
103,31.93,30.53,29.49,0.77
104,31.97,30.5,29.47,0.77
105,31.95,30.5,29.47,0.77
106,31.95,30.5,29.47,0.77
107,31.95,30.48,29.44,0.77
108,31.97,30.48,29.42,0.77
109,32.0,30.48,29.4,0.77
110,31.97,30.46,29.42,0.77
111,31.95,30.46,29.4,0.77
112,32.0,30.44,29.42,0.77
113,32.0,30.46,29.4,0.77
114,31.97,30.48,29.38,0.77
115,31.95,30.48,29.42,0.77
116,31.95,30.48,29.42,0.77
117,31.93,30.44,29.42,0.77
118,31.91,30.48,29.44,0.77
119,31.91,30.46,29.42,0.77
120,31.88,30.46,29.42,0.77
121,31.84,30.48,29.42,0.77
122,31.86,30.48,29.44,0.77
123,31.88,30.48,29.4,0.77
124,31.84,30.48,29.4,0.77
125,31.86,30.48,29.38,0.77
126,31.82,30.44,29.42,0.77
127,31.8,30.48,29.4,0.77
128,31.82,30.48,29.38,0.77
129,31.8,30.46,29.38,0.77
130,31.77,30.44,29.42,0.77
131,31.77,30.42,29.42,0.77
132,31.8,30.42,29.42,0.77
133,31.84,30.42,29.4,0.77
134,31.84,30.42,29.4,0.77
135,31.86,30.35,29.38,0.77
136,31.86,30.37,29.4,0.77
137,31.86,30.37,29.36,0.77
138,31.84,30.33,29.36,0.77
139,31.84,30.33,29.34,0.77
140,31.84,30.35,29.34,0.77
141,31.88,30.29,29.32,0.77
142,31.86,30.31,29.34,0.77
143,31.91,30.29,29.32,0.77
144,31.88,30.33,29.32,0.77
145,31.88,30.33,29.29,0.77
146,31.86,30.33,29.27,0.77
147,31.86,30.33,29.29,0.77
148,31.93,30.33,29.29,0.77
149,31.91,30.33,29.25,0.77
150,31.88,30.35,29.29,0.77
151,31.86,30.33,29.27,0.77
152,31.86,30.35,29.25,0.77
153,31.86,30.35,29.25,0.77
154,31.91,30.35,29.27,0.77
155,31.93,30.33,29.27,0.77
156,31.95,30.35,29.27,0.77
157,31.93,30.37,29.25,0.77
158,31.91,30.37,29.29,0.77
159,31.91,30.35,29.27,0.77
160,31.88,30.35,29.25,0.77
161,31.82,30.35,29.27,0.77
162,31.84,30.33,29.23,0.77
163,31.84,30.37,29.25,0.77
164,31.8,30.37,29.25,0.77
165,31.8,30.35,29.27,0.77
166,31.8,30.37,29.25,0.77
167,31.8,30.37,29.25,0.77
168,31.8,30.37,29.27,0.77
169,31.73,30.35,29.25,0.77
170,31.77,30.35,29.23,0.77
171,31.75,30.35,29.25,0.77
172,31.75,30.29,29.25,0.77
173,31.73,30.31,29.23,0.77
174,31.75,30.31,29.23,0.77
175,31.77,30.27,29.23,0.77
176,31.75,30.29,29.23,0.77
177,31.73,30.29,29.21,0.77
178,31.77,30.29,29.21,0.77
179,31.75,30.24,29.21,0.77
180,31.75,30.24,29.21,0.77
181,31.75,30.24,29.21,0.77
182,31.73,30.29,29.21,0.77
183,31.73,30.29,29.19,0.77
184,31.71,30.29,29.21,0.77
185,31.73,30.27,29.21,0.77
186,31.73,30.31,29.21,0.77
187,31.73,30.31,29.17,0.77
188,31.75,30.31,29.19,0.77
189,31.73,30.31,29.21,0.77
190,31.77,30.31,29.19,0.77
191,31.75,30.29,29.19,0.77
192,31.8,30.29,29.19,0.77
193,31.84,30.27,29.21,0.77
194,31.84,30.31,29.17,0.77
195,31.84,30.27,29.19,0.77
196,31.84,30.31,29.17,0.77
197,31.84,30.31,29.19,0.77
198,31.82,30.29,29.19,0.77
199,31.82,30.29,29.17,0.77
200,31.84,30.24,29.19,0.77
201,31.84,30.27,29.17,0.77
202,31.82,30.27,29.17,0.77
203,31.8,30.27,29.17,0.77
204,31.82,30.24,29.19,0.77
205,31.8,30.24,29.17,0.77
206,31.77,30.27,29.19,0.77
207,31.82,30.24,29.17,0.77
208,31.82,30.24,29.17,0.77
209,31.82,30.24,29.17,0.77
210,31.84,30.24,29.12,0.77
211,31.84,30.2,29.17,0.77
212,31.84,30.24,29.17,0.77
213,31.8,30.22,29.14,0.77
214,31.82,30.22,29.14,0.77
215,31.82,30.22,29.12,0.77
216,31.8,30.2,29.12,0.77
217,31.82,30.18,29.12,0.77
218,31.82,30.18,29.12,0.77
219,31.82,30.18,29.12,0.77
220,31.82,30.2,29.1,0.77
221,31.8,30.2,29.12,0.77
222,31.75,30.18,29.14,0.77
223,31.75,30.18,29.1,0.77
224,31.73,30.18,29.08,0.77
225,31.73,30.18,29.1,0.77
226,31.71,30.14,29.12,0.77
227,31.73,30.14,29.14,0.77
228,31.73,30.18,29.12,0.77
229,31.73,30.18,29.14,0.77
230,31.73,30.22,29.12,0.77
231,31.69,30.16,29.14,0.77
232,31.66,30.2,29.12,0.77
233,31.66,30.18,29.12,0.77
234,31.64,30.2,29.12,0.77
235,31.64,30.2,29.1,0.77
236,31.62,30.22,29.14,0.77
237,31.6,30.18,29.14,0.77
238,31.62,30.18,29.17,0.77
239,31.58,30.18,29.14,0.77
240,31.6,30.18,29.17,0.77
241,31.62,30.2,29.14,0.77
242,31.6,30.2,29.14,0.77
243,31.6,30.2,29.14,0.77
244,31.58,30.18,29.17,0.77
245,31.53,30.16,29.17,0.77
246,31.53,30.16,29.14,0.77
247,31.53,30.11,29.12,0.77
248,31.53,30.14,29.14,0.77
249,31.53,30.14,29.14,0.77
250,31.53,30.16,29.14,0.77
251,31.55,30.18,29.14,0.77
252,31.55,30.18,29.14,0.77
253,31.55,30.2,29.14,0.77
255,31.51,30.18,29.17,0.77
256,31.53,30.2,29.17,0.77
257,31.53,30.18,29.17,0.77
258,31.53,30.18,29.14,0.77
259,31.53,30.18,29.12,0.77
260,31.53,30.18,29.17,0.77
261,31.53,30.18,29.12,0.77
262,31.49,30.18,29.14,0.77
263,31.47,30.18,29.14,0.77
264,31.49,30.14,29.14,0.77
265,31.49,30.14,29.12,0.77
266,31.47,30.16,29.12,0.77
267,31.42,30.14,29.1,0.77
268,31.4,30.14,29.1,0.77
269,31.44,30.11,29.12,0.77
270,31.42,30.11,29.14,0.77
271,31.44,30.11,29.14,0.77
272,31.47,30.09,29.12,0.77
273,31.47,30.09,29.14,0.77
274,31.47,30.07,29.14,0.77
275,31.47,30.09,29.17,0.77
276,31.42,30.07,29.14,0.77
277,31.44,30.07,29.12,0.77
278,31.42,30.07,29.08,0.77
279,31.42,30.05,29.12,0.77
280,31.44,30.05,29.08,0.77
281,31.47,30.05,29.06,0.77
282,31.49,30.05,29.1,0.77
283,31.47,30.05,29.08,0.77
284,31.51,30.07,29.04,0.77
285,31.51,30.07,29.06,0.77
