Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.70,24.33,23.88
1,23.79,24.24,23.88
2,23.70,24.33,23.88
3,23.70,24.24,23.79
4,23.70,24.33,23.88
5,23.70,24.24,23.88
6,23.70,24.24,23.88
7,23.79,24.24,23.88
8,23.97,24.24,23.88
9,24.15,24.24,23.88
10,24.24,24.24,23.88
11,24.33,24.24,23.88
12,24.42,24.33,23.88
13,24.51,24.33,23.88
14,24.60,24.33,23.88
15,24.69,24.33,23.88
16,24.69,24.33,23.88
17,24.87,24.42,23.88
18,24.87,24.33,23.88
19,25.06,24.42,23.88
20,24.97,24.42,23.88
21,25.06,24.42,23.88
22,25.15,24.51,23.88
23,25.15,24.51,23.88
24,25.24,24.51,23.88
25,25.33,24.51,23.88
26,25.33,24.60,23.88
27,25.42,24.60,23.88
28,25.42,24.60,23.88
29,25.51,24.60,23.88
30,25.51,24.69,23.88
31,25.60,24.69,23.97
32,25.60,24.69,23.97
33,25.69,24.78,23.97
34,25.69,24.78,23.97
35,25.69,24.78,24.06
36,25.78,24.87,24.06
37,25.78,24.87,24.06
38,25.87,24.97,24.06
39,25.96,24.97,24.15
40,25.96,24.97,24.15
41,25.96,24.97,24.15
42,26.05,25.06,24.15
43,26.05,25.06,24.15
44,26.14,25.06,24.15
45,26.14,25.06,24.24
46,26.14,25.15,24.24
47,26.14,25.15,24.24
48,26.24,25.15,24.24
49,26.24,25.24,24.33
50,26.24,25.24,24.33
51,26.33,25.24,24.33
52,26.33,25.24,24.33
53,26.33,25.33,24.42
54,26.42,25.33,24.42
55,26.42,25.33,24.42
56,26.42,25.33,24.42
57,26.42,25.42,24.51
58,26.42,25.42,24.51
59,26.51,25.42,24.51
60,26.51,25.51,24.51
61,26.60,25.51,24.51
62,26.51,25.51,24.51
63,26.51,25.51,24.60
64,26.60,25.51,24.60
65,26.60,25.60,24.60
66,26.69,25.60,24.69
67,26.60,25.60,24.69
68,26.60,25.60,24.69
69,26.60,25.69,24.69
70,26.69,25.69,24.69
71,26.69,25.69,24.78
72,26.78,25.78,24.78
73,26.78,25.78,24.78
74,26.78,25.78,24.78
75,26.87,25.78,24.87
76,26.78,25.78,24.87
77,26.87,25.87,24.87
78,26.87,25.87,24.87
79,26.97,25.87,24.87
80,26.97,25.96,24.87
81,26.97,25.96,24.97
82,26.97,25.96,24.97
83,26.97,25.96,24.97
84,26.97,26.05,24.97
85,26.97,26.05,25.06
86,27.06,26.05,25.06
87,27.06,26.14,25.06
88,27.06,26.14,25.06
89,27.15,26.05,25.15
90,27.06,26.14,25.15
91,27.06,26.14,25.15
92,27.06,26.14,25.15
93,27.15,26.14,25.15
94,27.15,26.24,25.24
95,27.15,26.24,25.24
96,27.15,26.24,25.24
97,27.15,26.24,25.24
98,27.24,26.24,25.24
99,27.15,26.24,25.24
100,27.24,26.33,25.33
101,27.24,26.33,25.33
102,27.33,26.33,25.33
103,27.24,26.33,25.33
104,27.33,26.33,25.33
105,27.24,26.42,25.42
106,27.33,26.42,25.42
107,27.33,26.42,25.42
108,27.33,26.42,25.42
109,27.33,26.42,25.42
110,27.33,26.42,25.42
111,27.33,26.42,25.42
112,27.33,26.51,25.51
113,27.42,26.51,25.42
114,27.33,26.51,25.51
115,27.33,26.51,25.51
116,27.33,26.51,25.51
117,27.42,26.60,25.51
118,27.42,26.60,25.60
119,27.42,26.60,25.60
120,27.42,26.60,25.60
121,27.52,26.60,25.60
122,27.42,26.60,25.69
123,27.52,26.60,25.69
124,27.52,26.69,25.69
125,27.52,26.69,25.69
126,27.52,26.69,25.69
127,27.52,26.69,25.69
128,27.52,26.69,25.69
129,27.52,26.69,25.78
130,27.52,26.69,25.78
131,27.52,26.69,25.78
132,27.52,26.69,25.78
133,27.61,26.78,25.78
134,27.52,26.78,25.78
135,27.61,26.78,25.78
136,27.61,26.78,25.78
137,27.61,26.78,25.78
138,27.61,26.78,25.87
139,27.61,26.87,25.87
140,27.70,26.87,25.87
141,27.70,26.87,25.87
142,27.70,26.87,25.96
143,27.70,26.87,25.96
144,27.70,26.87,25.96
145,27.70,26.87,25.96
146,27.70,26.97,25.96
147,27.70,26.97,25.96
148,27.79,26.97,25.96
149,27.79,26.97,25.96
150,27.79,26.97,26.05
151,27.79,26.97,26.05
152,27.79,26.97,25.96
153,27.79,26.97,26.05
154,27.79,26.97,26.05
155,27.79,26.97,26.05
156,27.79,26.97,26.05
157,27.79,26.97,26.05
158,27.79,27.06,26.05
159,27.79,27.06,26.05
160,27.79,27.06,26.05
161,27.79,27.06,26.05
162,27.79,27.06,26.05
163,27.88,27.06,26.14
164,27.88,27.06,26.14
165,27.88,27.15,26.14
166,27.88,27.06,26.14
167,27.88,27.06,26.14
168,27.98,27.15,26.14
169,27.98,27.15,26.14
170,27.98,27.15,26.14
171,27.88,27.15,26.14
172,27.98,27.15,26.24
173,27.98,27.15,26.24
174,27.98,27.15,26.24
175,27.98,27.15,26.24
176,27.98,27.24,26.24
177,28.07,27.24,26.24
178,28.07,27.24,26.24
179,28.07,27.24,26.24
180,28.07,27.24,26.24
181,28.07,27.33,26.33
182,28.07,27.33,26.33
183,28.07,27.33,26.33
184,28.07,27.33,26.33
185,28.07,27.33,26.33
186,28.07,27.33,26.33
187,28.07,27.33,26.33
188,28.07,27.33,26.33
189,28.07,27.33,26.33
190,28.07,27.33,26.42
191,28.07,27.33,26.42
192,28.07,27.33,26.42
193,28.07,27.33,26.42
194,28.07,27.33,26.42
195,28.07,27.33,26.42
196,28.16,27.42,26.42
197,28.07,27.33,26.42
198,28.16,27.33,26.42
199,28.07,27.42,26.42
200,28.16,27.42,26.42
201,28.16,27.42,26.51
202,28.07,27.42,26.51
203,28.16,27.42,26.51
204,28.16,27.42,26.51
205,28.16,27.42,26.51
206,28.16,27.42,26.51
207,28.16,27.42,26.51
208,28.16,27.42,26.51
209,28.25,27.52,26.60
210,28.16,27.52,26.51
211,28.25,27.52,26.60
212,28.25,27.52,26.60
213,28.25,27.52,26.60
214,28.25,27.52,26.60
215,28.25,27.52,26.60
216,28.25,27.52,26.60
217,28.25,27.52,26.60
218,28.16,27.52,26.60
219,28.16,27.52,26.60
220,28.25,27.52,26.60
221,28.25,27.52,26.60
222,28.25,27.61,26.60
223,28.25,27.52,26.60
224,28.25,27.52,26.60
225,28.25,27.61,26.60
226,28.25,27.52,26.60
227,28.34,27.61,26.69
228,28.25,27.61,26.69
229,28.25,27.61,26.69
230,28.34,27.61,26.69
231,28.25,27.61,26.69
232,28.34,27.61,26.69
233,28.25,27.61,26.69
234,28.25,27.61,26.69
235,28.25,27.61,26.69
236,28.25,27.61,26.69
237,28.25,27.61,26.69
238,28.25,27.61,26.69
239,28.25,27.61,26.69
240,28.34,27.70,26.69
241,28.34,27.61,26.69
242,28.34,27.61,26.69
243,28.34,27.70,26.78
244,28.34,27.61,26.78
245,28.34,27.70,26.78
246,28.44,27.61,26.69
247,28.34,27.70,26.78
248,28.34,27.61,26.78
249,28.44,27.70,26.78
250,28.34,27.70,26.78
251,28.34,27.70,26.78
252,28.44,27.70,26.78
253,28.34,27.70,26.78
254,28.34,27.70,26.78
255,28.34,27.70,26.78
256,28.44,27.70,26.78
257,28.34,27.70,26.78
258,28.34,27.70,26.78
259,28.44,27.70,26.78
260,28.44,27.70,26.78
261,28.44,27.70,26.87
262,28.44,27.70,26.87
263,28.44,27.70,26.78
264,28.34,27.79,26.87
265,28.34,27.79,26.87
266,28.44,27.79,26.78
268,28.44,27.79,26.78
269,28.44,27.79,26.87
270,28.44,27.70,26.87
271,28.44,27.70,26.87
272,28.34,27.70,26.87
273,28.44,27.79,26.87
274,28.44,27.70,26.78
275,28.44,27.79,26.87
276,28.53,27.79,26.87
277,28.53,27.79,26.87
278,28.44,27.79,26.87
279,28.53,27.79,26.87
280,28.53,27.79,26.87
281,28.53,27.79,26.87
282,28.53,27.79,26.87
283,28.53,27.79,26.87
284,28.53,27.79,26.87
285,28.44,27.79,26.87
286,28.53,27.79,26.97
287,28.53,27.88,26.87
288,28.53,27.88,26.87
289,28.53,27.88,26.87
290,28.53,27.88,26.97
291,28.53,27.88,26.87
292,28.53,27.88,26.97
293,28.53,27.88,26.97
294,28.53,27.88,26.97
295,28.53,27.88,26.97
296,28.53,27.88,26.97
297,28.53,27.88,26.97
298,28.62,27.88,26.97
299,28.62,27.88,26.97
300,28.62,27.88,26.97
301,28.62,27.88,26.97
302,28.62,27.88,26.97
303,28.62,27.88,26.97
304,28.62,27.88,26.97
305,28.62,27.88,26.97
