Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,T1Vmesure_0_5V_,T2Vmesure_0_5V_,T3Vmesure_0_5V_,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_DACSortie,TECSortie,T1R_sistance,T2R_sistance,T3R_sistance
0,23.4841028396258,23.4841028396258,23.4841028396258,-0.8,2.41753594576171,2.41753594576171,2.41753594576171,0,0,23.5,0,0,20,0,0,0,5,-2.52512,10683.2646161957,10683.2646161957,10683.2646161957
0.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00249521930520359,2.41813308134309,2.4175554785854,2.41754205854286,0,0,23.5,2.49220243967124,0,20,0,0,0,5,-0.00787591021494462,10684.8129325168,10683.3152593008,10683.2804648872
1,23.4841028396258,23.4841028396258,23.4841028396258,-0.0031083405757704,2.41823639842223,2.4175778209563,2.4175492913328,0,0,23.5,2.49028643570072,0,20,0,0,0,5,-0.00981116619336169,10685.0808474961,10683.3731870738,10683.2992174723
1.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00371194544489541,2.41833910900243,2.41760257194555,2.4175575462969,0,0,23.5,2.4884001704847,0,20,0,0,0,5,-0.0117163846022679,10685.3471966219,10683.4373601267,10683.3206203083
2,23.4841028396258,23.4841028396258,23.4841028396258,-0.00411993155446083,2.41844121522818,2.41762956894894,2.41756679611005,0,0,23.5,2.48712521389231,0,20,0,0,0,5,-0.0130041519585002,10685.6119853344,10683.5073569801,10683.344602565
2.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.0041811492551173,2.41854271678982,2.41765865929854,2.41757701406241,0,0,23.5,2.48693390857776,0,20,0,0,0,5,-0.0131973795088523,10685.8752127103,10683.5827819161,10683.3710950088
3,23.4841028396258,23.4841028396258,23.4841028396258,-0.00381796968227761,2.41864361243227,2.41768969965928,2.41758817404595,0,0,23.5,2.48806884474288,0,20,0,0,0,0,-0.012051039505141,10686.1368753753,10683.6632634126,10683.4000299674
3.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00321651315179125,2.41874390070021,2.41772255546286,2.41760025054133,0,0,23.5,2.48994839640065,0,20,0,0,0,0,-0.0101526021123139,10686.3969694359,10683.7484526745,10683.431341296
4,23.4841028396258,23.4841028396258,23.4841028396258,-0.00260462283609513,2.41884358347322,2.41775710037527,2.41761321860507,0,0,23.5,2.4918605536372,0,20,0,0,0,0,-0.00822123151985068,10686.6554996484,10683.8380222523,10683.4649643436
4.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00217054294450989,2.41894266555347,2.41779321579721,2.41762705385684,0,0,23.4995661756343,2.49321705329841,0,20,0,0,0,0,-0.00685110175005102,10686.9124783504,10683.9316647462,10683.5008359203
5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00206745459902464,2.41904115417474,2.41783079039444,2.41764173246725,0,0,23.4991467098576,2.49353920437805,0,20,0,0,0,0,-0.00652571369636138,10687.167924188,10684.0290915878,10683.538894265
5.5,23.4841028396258,23.4841028396258,23.4841028396258,-0.00239052973608366,2.41913905771138,2.41786971965695,2.41765723114586,0,0,23.4987411157014,2.49252959457474,0,20,0,0,0,5,-0.00754546805897448,10687.4218587685,10684.1300318972,10683.5790790146
6,23.4841028396258,23.4841028396258,23.4841028396258,-0.00297986306059656,2.41923638477426,2.41790990548451,2.4176735271293,-1.39933956915828,0,23.4983489228957,2.49068792793564,-1.39933956915828,20,0,0,0,5,-0.00940563976446697,10687.6743043155,10684.2342314076,10683.6213311731
6.5,23.4027216305216,23.4841028396258,23.4841028396258,-0.430536554697362,2.43358291463719,2.41820630468832,2.41776992672523,-1.39933956915828,0,23.4979696772939,1.15457326657074,-1.39933956915828,20,0,0,0,0,-1.35894558124675,10724.9536396422,10685.0028097101,10683.8712791776
7,23.3213714327248,23.4841028396258,23.4841028396258,-0.430436789194788,2.44816720060316,2.41901405002039,2.418030032363,-1.39933956915828,0,23.4976013594872,1.15488503376629,-1.39933956915828,20,0,0,0,0,-1.35863068141443,10762.988748489,10687.0976246419,10684.5457196672
7.5,23.2400517133091,23.4841028396258,23.4841028396258,-0.43014086271879,2.46266951273172,2.42029998405661,2.41844962030874,-1.39933956915828,0,23.4972404867785,1.15580980400378,-1.39933956915828,20,0,0,0,0,-1.35769661908559,10800.9487583544,10690.4334545656,10685.6337822549
8,23.1587619399994,23.4569722912994,23.4841028396258,-0.429769223504328,2.47709019251405,2.42203283211044,2.41902451425056,-1.41764458047022,0,23.4968837407165,1.15697117654898,-1.39875349628658,20,0,0,0,0,-1.35652357706906,10838.8329763496,10694.9303221169,10687.1247654664
8.5,23.0775015811526,23.4569722912994,23.4841028396258,-0.435696285209791,2.49163991091719,2.42418700683373,2.41975180502881,-1.41764458047022,0,23.4957881108195,1.1384491087194,-1.39875349628658,20,0,0,0,0,-1.37523175463618,10877.1962988148,10700.5232893385,10689.011296732
9,22.9962701057361,23.4569722912994,23.4841028396258,-0.435462364942864,2.50611179331539,2.42673869177324,2.42062872966618,-1.41764458047022,0,23.4947159635574,1.13918010955355,-1.39875349628658,20,0,0,0,0,-1.37449340870566,10915.4947664473,10707.1522403071,10691.2864232734
9.5,22.9150669833081,23.4298452281856,23.4841028396258,-0.435404725141866,2.5205019382503,2.42966153724415,2.42165132968338,-1.41764458047022,0,23.4936635561392,1.13936023393167,-1.39875349628658,20,0,0,0,0,-1.37431147443779,10953.7165043555,10714.750637591,10693.9401275986
10,22.8338916839971,23.4027216305216,23.4569722912994,-0.435575296712451,2.53481069727418,2.43293080714648,2.42281573635932,-1.43498476612587,0,23.4918875617815,1.13882719777359,-1.39675502471261,20,0,0,0,0,-1.37484986654318,10991.8608375984,10723.2562294357,10696.9626570885
10.5,22.7527436784814,23.3756014785528,23.4569722912994,-0.442285768467143,2.54924935149112,2.43652706245821,2.42411934502098,-1.43498476612587,0,23.489410189341,1.11785697354018,-1.39675502471261,20,0,0,0,5,-1.39603079958969,11030.4924782894,10732.6206038423,10700.3475703695
11,22.6716224379688,23.3756014785528,23.4569722912994,-0.442780996990134,2.56361007553201,2.44043223203566,2.42555968261145,-1.43498476612587,0,23.4862529217477,1.11630938440583,-1.39675502471261,20,0,0,0,5,-1.39759393889966,11069.0569096148,10742.7989569099,10704.0887978025
11.5,22.6175562195061,23.3484847525332,23.4298452281856,-0.443055055505946,2.57788931368339,2.44462536848807,2.42713307752472,-1.43498476612587,0,23.4831760136374,1.11545295154392,-1.39675502471261,20,0,0,0,0,-1.39845897719897,11107.543006756,10753.7389931299,10708.1771828515
12,22.5364784136131,23.3213714327248,23.4298452281856,-0.442999023948946,2.59208741547216,2.44908680574463,2.42883594139745,-1.44973109273945,0,23.4794350159934,1.11562805015954,-1.39177400639735,20,0,0,0,0,-1.39828211919245,11145.9500811496,10765.3917134772,10712.6038060713
12.5,22.4554259650463,23.2942614993979,23.4298452281856,-0.442733247053062,2.60620473157001,2.45379808209506,2.43066476773893,-1.44973109273945,0,23.4750507526376,1.11645860295918,-1.39177400639735,20,0,0,0,0,-1.39744322099829,11184.2774541511,10777.7111960818,10717.3599789768
13,22.3743983467828,23.2671549328306,23.4027216305216,-0.442377363202888,2.62024161512631,2.45874186633618,2.43261613005453,-1.44973109273945,0,23.4700428434098,1.11757073999097,-1.39177400639735,20,0,0,0,0,-1.3963199092136,11222.5244608268,10790.6543891393,10722.4372367681
13.5,22.2933950322341,23.2400517133091,23.4027216305216,-0.442031206120721,2.63419842149666,2.46390188851295,2.43468668001403,-1.44973109273945,0,23.4644302691219,1.11865248087275,-1.39177400639735,20,0,0,0,0,-1.39522729899944,11260.6904494291,10804.180919288,10727.8273313356
14,22.2124154952277,23.2129518211275,23.3756014785528,-0.441776810713366,2.64807550797743,2.46926287496143,2.43687314566371,-1.46128859829048,0,23.4582313930963,1.11944746652073,-1.38329255723854,20,0,0,0,0,-1.39442432533567,11298.7747808707,10818.2529141347,10733.5222245287
14.5,22.1314592099854,23.1858552365878,23.3756014785528,-0.447968963161299,2.66208441506868,2.47481426512733,2.43917350378214,-1.46128859829048,0,23.4514639819649,1.10009699012094,-1.38329255723854,20,0,0,0,0,-1.41396923532232,11337.3595234281,10832.8447745238,10739.517142366
