temps,T3,T2,T1
0,23,23,23
0.5,23.0003207,23.00103078,23.05634809
1,23.00127165,23.00403334,23.11236062
1.5,23.0028364,23.00887913,23.16803959
2,23.00499885,23.01544747,23.22338697
2.5,23.00774328,23.02362502,23.27840475
3,23.01105431,23.03330538,23.33309489
3.5,23.01491693,23.04438861,23.38745934
4,23.01931643,23.05678089,23.44150004
4.5,23.02423847,23.07039413,23.49521891
5,23.029669,23.08514562,23.54861788
5.5,23.03559431,23.10095769,23.60169884
6,23.04200099,23.11775745,23.6544637
6.5,23.04887593,23.13547644,23.70691433
7,23.05620631,23.1540504,23.75905261
7.5,23.06397962,23.17341901,23.81088039
8,23.07218363,23.19352564,23.86239953
8.5,23.08080635,23.21431714,23.91361187
9,23.08983612,23.23574361,23.96451922
9.5,23.09926149,23.25775822,24.01512341
10,23.10907131,23.28031702,24.06542624
10.5,23.11925465,23.30337876,24.11542951
11,23.12980087,23.32690473,24.165135
11.5,23.14069952,23.35085859,24.21454448
12,23.15194043,23.37520626,24.26365972
12.5,23.16351365,23.39991575,24.31248247
13,23.17540945,23.42495706,24.36101447
13.5,23.18761832,23.45030202,24.40925745
14,23.20013097,23.47592424,24.45721314
14.5,23.21293834,23.50179892,24.50488324
15,23.22603155,23.52790285,24.55226945
15.5,23.23940194,23.55421422,24.59937347
16,23.25304104,23.58071261,24.64619698
16.5,23.26694059,23.60737884,24.69274164
17,23.2810925,23.63419496,24.73900912
17.5,23.29548889,23.66114413,24.78500107
18,23.31012202,23.68821055,24.83071913
18.5,23.32498438,23.71537944,24.87616493
19,23.34006859,23.74263693,24.92134009
19.5,23.35536747,23.76997004,24.96624622
20,23.37087399,23.79736659,25.01088492
20.5,23.3865813,23.8248152,25.0552578
21,23.40248268,23.85230519,25.09936642
21.5,23.41857159,23.87982656,25.14321237
22,23.43484163,23.90736997,25.18679721
22.5,23.45128657,23.93492667,25.23012249
23,23.46790029,23.96248846,25.27318976
23.5,23.48467684,23.99004768,25.31600056
24,23.50161041,24.01759718,25.35855641
24.5,23.5186953,24.04513026,25.40085883
25,23.53592597,24.07264065,25.44290933
25.5,23.553297,24.10012251,25.48470941
26,23.57080309,24.12757039,25.52626057
26.5,23.58843909,24.15497918,25.56756428
27,23.60619995,24.18234412,25.60862201
27.5,23.62408073,24.20966079,25.64943524
28,23.64207664,24.23692503,25.69000542
28.5,23.66018296,24.264133,25.730334
29,23.67839513,24.29128111,25.77042241
29.5,23.69670867,24.31836602,25.81027209
30,23.7151192,24.34538461,25.84988445
30.5,23.73362246,24.37233399,25.88926092
31,23.75221429,24.39921149,25.92840289
31.5,23.77089063,24.42601461,25.96731176
32,23.78964751,24.45274105,26.00598892
32.5,23.80848106,24.47938865,26.04443575
33,23.82738751,24.50595545,26.08265362
33.5,23.84636317,24.53243961,26.1206439
34,23.86540445,24.55883944,26.15840794
34.5,23.88450783,24.58515338,26.19594709
35,23.90366988,24.61138,26.23326268
35.5,23.92288728,24.63751799,26.27035605
36,23.94215676,24.66356612,26.30722852
36.5,23.96147515,24.6895233,26.34388141
37,23.98083933,24.71538852,26.38031603
37.5,24.00024629,24.74116084,26.41653367
38,24.01969307,24.76683945,26.45253562
38.5,24.0391768,24.79242357,26.48832318
39,24.05869466,24.81791252,26.52389761
39.5,24.07824393,24.8433057,26.5592602
40,24.09782194,24.86860255,26.59441219
40.5,24.11742607,24.89380258,26.62935484
41,24.1370538,24.91890537,26.6640894
41.5,24.15670265,24.94391054,26.69861712
42,24.17637021,24.96881776,26.73293921
42.5,24.19605413,24.99362676,26.76705691
43,24.21575211,25.01833729,26.80097143
43.5,24.23546193,25.04294917,26.83468398
44,24.25518141,25.06746225,26.86819577
44.5,24.27490842,25.09187639,26.90150798
45,24.29464091,25.11619152,26.93462182
45.5,24.31437686,25.14040759,26.96753846
46,24.3341143,25.16452457,27.00025907
46.5,24.35385133,25.18854247,27.03278483
47,24.37358609,25.21246133,27.06511688
47.5,24.39331677,25.23628118,27.0972564
48,24.41304159,25.26000212,27.12920451
48.5,24.43275885,25.28362424,27.16096237
49,24.45246686,25.30714766,27.19253111
49.5,24.47216401,25.33057253,27.22391184
50,24.4918487,25.35389898,27.2551057
50.5,24.51151939,25.37712721,27.28611379
51,24.53117459,25.40025738,27.31693723
51.5,24.55081282,25.42328971,27.3475771
52,24.57043268,25.4462244,27.37803451
52.5,24.59003276,25.46906169,27.40831053
53,24.60961174,25.4918018,27.43840626
53.5,24.6291683,25.51444498,27.46832276
54,24.64870118,25.5369915,27.4980611
54.5,24.66820912,25.55944162,27.52762235
55,24.68769093,25.58179561,27.55700755
55.5,24.70714545,25.60405375,27.58621776
56,24.72657154,25.62621634,27.61525401
56.5,24.74596808,25.64828367,27.64411735
57,24.76533402,25.67025604,27.6728088
57.5,24.78466831,25.69213376,27.70132939
58,24.80396994,25.71391714,27.72968013
58.5,24.82323792,25.73560651,27.75786203
59,24.84247131,25.75720218,27.78587611
59.5,24.86166917,25.77870448,27.81372336
60,24.88083062,25.80011374,27.84140477
60.5,24.89995478,25.82143029,27.86892134
61,24.9190408,25.84265447,27.89627404
61.5,24.93808786,25.86378663,27.92346384
62,24.95709518,25.88482709,27.95049173
62.5,24.97606198,25.90577621,27.97735866
63,24.99498751,25.92663433,28.00406559
63.5,25.01387105,25.94740181,28.03061348
64,25.03271191,25.96807898,28.05700327
64.5,25.0515094,25.98866619,28.0832359
65,25.07026287,26.00916381,28.10931231
65.5,25.08897168,26.02957219,28.13523344
66,25.10763522,26.04989167,28.16100019
66.5,25.1262529,26.07012262,28.1866135
67,25.14482414,26.09026538,28.21207428
67.5,25.16334838,26.11032032,28.23738343
68,25.18182509,26.13028778,28.26254187
68.5,25.20025376,26.15016813,28.28755048
69,25.21863388,26.16996173,28.31241015
69.5,25.23696497,26.18966892,28.33712179
70,25.25524656,26.20929006,28.36168626
70.5,25.27347821,26.22882552,28.38610444
71,25.29165949,26.24827564,28.41037721
71.5,25.30978998,26.26764078,28.43450543
72,25.32786928,26.2869213,28.45848997
72.5,25.345897,26.30611755,28.48233167
73,25.36387278,26.32522988,28.50603138
73.5,25.38179626,26.34425865,28.52958996
74,25.3996671,26.36320421,28.55300825
74.5,25.41748497,26.38206691,28.57628707
75,25.43524956,26.4008471,28.59942727
75.5,25.45296056,26.41954514,28.62242966
76,25.47061769,26.43816137,28.64529506
76.5,25.48822068,26.45669614,28.6680243
77,25.50576925,26.4751498,28.69061818
77.5,25.52326317,26.4935227,28.71307751
78,25.54070219,26.51181518,28.73540309
78.5,25.55808608,26.53002758,28.75759572
79,25.57541462,26.54816026,28.77965618
79.5,25.59268762,26.56621355,28.80158527
80,25.60990487,26.58418779,28.82338377
80.5,25.62706619,26.60208332,28.84505246
81,25.64417141,26.61990049,28.8665921
81.5,25.66122035,26.63763964,28.88800347
82,25.67821287,26.65530109,28.90928733
82.5,25.69514882,26.67288518,28.93044444
83,25.71202807,26.69039226,28.95147556
83.5,25.72885048,26.70782265,28.97238143
84,25.74561593,26.72517668,28.9931628
84.5,25.76232432,26.7424547,29.01382042
85,25.77897554,26.75965701,29.03435502
85.5,25.7955695,26.77678397,29.05476732
86,25.81210611,26.79383588,29.07505807
86.5,25.8285853,26.81081308,29.09522799
87,25.84500698,26.8277159,29.11527778
87.5,25.86137111,26.84454465,29.13520818
88,25.87767761,26.86129967,29.15501989
88.5,25.89392645,26.87798126,29.17471361
89,25.91011758,26.89458975,29.19429006
89.5,25.92625096,26.91112546,29.21374992
90,25.94232656,26.92758871,29.2330939
90.5,25.95834436,26.9439798,29.25232268
91,25.97430434,26.96029907,29.27143694
91.5,25.99020649,26.97654681,29.29043738
92,26.0060508,26.99272335,29.30932467
92.5,26.02183727,27.00882898,29.32809948
93,26.03756591,27.02486403,29.34676248
93.5,26.05323673,27.0408288,29.36531434
94,26.06884974,27.0567236,29.38375572
94.5,26.08440497,27.07254873,29.40208728
95,26.09990243,27.0883045,29.42030967
95.5,26.11534217,27.10399121,29.43842354
96,26.13072421,27.11960916,29.45642954
96.5,26.1460486,27.13515865,29.47432831
97,26.16131538,27.15063999,29.49212049
97.5,26.17652459,27.16605347,29.50980671
98,26.1916763,27.18139938,29.52738761
98.5,26.20677056,27.19667803,29.54486381
99,26.22180742,27.2118897,29.56223594
99.5,26.23678696,27.2270347,29.57950461
100,26.25170924,27.2421133,29.59667045
100.5,26.26657433,27.25712581,29.61373405
101,26.28138231,27.27207251,29.63069605
101.5,26.29613326,27.28695369,29.64755702
102,26.31082726,27.30176964,29.66431759
102.5,26.32546439,27.31652064,29.68097835
103,26.34004476,27.33120698,29.69753989
103.5,26.35456843,27.34582894,29.7140028
104,26.36903552,27.3603868,29.73036767
104.5,26.38344612,27.37488084,29.74663508
105,26.39780033,27.38931134,29.76280562
105.5,26.41209826,27.40367858,29.77887986
106,26.42634,27.41798285,29.79485837
106.5,26.44052567,27.4322244,29.81074173
107,26.45465538,27.44640352,29.8265305
107.5,26.46872925,27.46052049,29.84222525
108,26.48274738,27.47457556,29.85782653
108.5,26.4967099,27.48856903,29.8733349
109,26.51061692,27.50250114,29.88875092
109.5,26.52446858,27.51637218,29.90407513
110,26.53826499,27.53018242,29.91930808
110.5,26.55200628,27.54393211,29.93445032
111,26.56569258,27.55762152,29.94950238
111.5,26.57932401,27.57125092,29.9644648
112,26.59290072,27.58482057,29.97933812
112.5,26.60642284,27.59833073,29.99412287
113,26.61989049,27.61178166,30.00881957
113.5,26.63330383,27.62517363,30.02342875
114,26.64666298,27.63850689,30.03795092
114.5,26.65996809,27.65178169,30.05238662
115,26.6732193,27.6649983,30.06673635
115.5,26.68641675,27.67815697,30.08100062
116,26.69956058,27.69125795,30.09517994
116.5,26.71265095,27.7043015,30.10927483
117,26.72568801,27.71728786,30.12328577
117.5,26.73867189,27.7302173,30.13721328
118,26.75160275,27.74309005,30.15105785
118.5,26.76448073,27.75590636,30.16481997
119,26.777306,27.76866649,30.17850014
119.5,26.79007871,27.78137068,30.19209883
120,26.802799,27.79401918,30.20561655
120.5,26.81546704,27.80661222,30.21905376
121,26.82808297,27.81915006,30.23241095
121.5,26.84064697,27.83163293,30.2456886
122,26.85315917,27.84406108,30.25888717
122.5,26.86561975,27.85643474,30.27200715
123,26.87802886,27.86875416,30.28504899
123.5,26.89038666,27.88101956,30.29801317
124,26.90269331,27.8932312,30.31090014
124.5,26.91494897,27.9053893,30.32371037
125,26.92715381,27.9174941,30.33644431
125.5,26.93930799,27.92954583,30.34910242
126,26.95141167,27.94154472,30.36168514
126.5,26.96346501,27.95349102,30.37419294
127,26.97546819,27.96538494,30.38662624
127.5,26.98742135,27.97722671,30.39898551
128,26.99932468,27.98901658,30.41127117
128.5,27.01117833,28.00075475,30.42348367
129,27.02298247,28.01244147,30.43562344
129.5,27.03473727,28.02407695,30.44769091
130,27.0464429,28.03566142,30.45968653
130.5,27.05809951,28.0471951,30.4716107
131,27.06970728,28.05867822,30.48346387
