temps,T3,T2,T1
0,23,23,23
0.5,22.99976369,22.99924047,22.95848035
1,22.99906299,22.99702807,22.91720796
1.5,22.99791002,22.99345749,22.87618136
2,22.99631664,22.98861766,22.83539907
2.5,22.99429443,22.98259209,22.79485966
3,22.99185472,22.9754592,22.75456166
3.5,22.98900858,22.9672926,22.71450364
4,22.98576684,22.95816145,22.67468418
4.5,22.98214008,22.94813064,22.63510186
5,22.97813863,22.93726112,22.59575525
5.5,22.97377261,22.92561012,22.55664296
6,22.9690519,22.91323135,22.51776359
6.5,22.96398616,22.90017526,22.47911576
7,22.95858482,22.88648918,22.44069808
7.5,22.95285712,22.87221757,22.40250918
8,22.94681207,22.85740216,22.36454771
8.5,22.94045848,22.84208211,22.32681231
9,22.93380497,22.82629418,22.28930163
9.5,22.92685996,22.81007289,22.25201433
10,22.91963167,22.79345061,22.21494908
10.5,22.91212815,22.77645775,22.17810457
11,22.90435726,22.75912283,22.14147947
11.5,22.89632667,22.74147262,22.10507249
12,22.88804389,22.72353223,22.06888231
12.5,22.87951626,22.70532523,22.03290765
13,22.87075093,22.68687375,21.99714723
13.5,22.86175493,22.66819851,21.96159977
14,22.85253507,22.64931898,21.926264
14.5,22.84309807,22.63025342,21.89113867
15,22.83345044,22.61101895,21.85622251
15.5,22.82359857,22.59163163,21.82151428
16,22.81354871,22.5721065,21.78701275
16.5,22.80330693,22.5524577,21.75271668
17,22.79287921,22.53269845,21.71862486
17.5,22.78227135,22.51284117,21.68473605
18,22.77148904,22.49289749,21.65104906
18.5,22.76053783,22.47287831,21.61756269
19,22.74942314,22.45279384,21.58427573
19.5,22.73815028,22.43265366,21.551187
20,22.72672442,22.41246672,21.51829532
20.5,22.71515062,22.39224143,21.48559952
21,22.70343382,22.37198565,21.45309843
21.5,22.69157883,22.35170675,21.42079088
22,22.67959037,22.3314116,21.38867574
22.5,22.66747305,22.31110667,21.35675185
23,22.65523136,22.29079798,21.32501807
23.5,22.6428697,22.27049118,21.29347327
24,22.63039233,22.25019155,21.26211633
24.5,22.61780347,22.22990402,21.23094613
25,22.60510718,22.20963321,21.19996155
25.5,22.59230748,22.18938341,21.16916149
26,22.57940825,22.16915866,21.13854485
26.5,22.5664133,22.14896271,21.10811053
27,22.55332635,22.12879907,21.07785746
27.5,22.54015104,22.108671,21.04778456
28,22.5268909,22.08858156,21.01789074
28.5,22.5135494,22.06853358,20.98817495
29,22.5001299,22.04852971,20.95863612
29.5,22.48663572,22.02857241,20.9292732
30,22.47307007,22.00866397,20.90008514
30.5,22.45943608,21.98880653,20.8710709
31,22.44573684,21.96900206,20.84222945
31.5,22.43197533,21.94925239,20.81355976
32,22.41815447,21.92955923,20.7850608
32.5,22.40427711,21.90992415,20.75673155
33,22.39034604,21.89034862,20.72857101
33.5,22.37636398,21.87083397,20.70057818
34,22.36233357,21.85138147,20.67275204
34.5,22.34825739,21.83199225,20.64509162
35,22.33413798,21.81266737,20.61759592
35.5,22.31997779,21.7934078,20.59026396
36,22.30577923,21.77421444,20.56309477
36.5,22.29154463,21.75508809,20.53608738
37,22.27727628,21.73602951,20.50924082
37.5,22.26297642,21.71703938,20.48255414
38,22.24864721,21.6981183,20.45602638
38.5,22.23429078,21.67926685,20.42965661
39,22.2199092,21.66048551,20.40344386
39.5,22.20550447,21.64177475,20.37738722
40,22.19107857,21.62313496,20.35148576
40.5,22.17663342,21.60456652,20.32573854
41,22.16217088,21.58606972,20.30014465
41.5,22.14769278,21.56764486,20.27470318
42,22.1332009,21.54929217,20.24941322
42.5,22.11869696,21.53101186,20.22427386
43,22.10418266,21.5128041,20.19928421
43.5,22.08965963,21.49466903,20.17444338
44,22.07512949,21.47660677,20.14975049
44.5,22.06059379,21.4586174,20.12520464
45,22.04605407,21.44070098,20.10080497
45.5,22.03151179,21.42285756,20.07655061
46,22.01696841,21.40508716,20.05244068
46.5,22.00242533,21.38738976,20.02847434
47,21.98788393,21.36976534,20.00465072
47.5,21.97334554,21.35221387,19.98096897
48,21.95881146,21.33473528,19.95742825
48.5,21.94428296,21.31732951,19.93402773
49,21.92976126,21.29999646,19.91076655
49.5,21.91524757,21.28273603,19.8876439
50,21.90074306,21.26554812,19.86465896
50.5,21.88624887,21.24843258,19.84181089
51,21.87176609,21.2313893,19.81909889
51.5,21.85729581,21.21441811,19.79652214
52,21.84283908,21.19751886,19.77407984
52.5,21.82839691,21.18069139,19.75177119
53,21.81397029,21.16393552,19.72959539
53.5,21.7995602,21.14725106,19.70755165
54,21.78516756,21.13063784,19.68563919
54.5,21.77079328,21.11409565,19.66385722
55,21.75643826,21.09762429,19.64220496
55.5,21.74210335,21.08122355,19.62068165
56,21.72778939,21.06489322,19.59928652
56.5,21.7134972,21.04863309,19.5780188
57,21.69922756,21.03244292,19.55687773
57.5,21.68498124,21.0163225,19.53586256
58,21.67075899,21.00027158,19.51497254
58.5,21.65656153,20.98428994,19.49420692
59,21.64238956,20.96837734,19.47356497
59.5,21.62824377,20.95253354,19.45304594
60,21.61412481,20.9367583,19.43264911
60.5,21.60003332,20.92105137,19.41237375
61,21.58596994,20.90541249,19.39221913
61.5,21.57193526,20.88984143,19.37218454
62,21.55792987,20.87433793,19.35226925
62.5,21.54395433,20.85890174,19.33247257
63,21.5300092,20.8435326,19.31279377
63.5,21.51609501,20.82823025,19.29323217
64,21.50221228,20.81299444,19.27378706
64.5,21.48836149,20.79782491,19.25445776
65,21.47454315,20.7827214,19.23524356
65.5,21.46075771,20.76768365,19.21614378
66,21.44700562,20.7527114,19.19715775
66.5,21.43328734,20.73780439,19.17828479
67,21.41960327,20.72296235,19.15952421
67.5,21.40595382,20.70818503,19.14087536
68,21.3923394,20.69347216,19.12233757
68.5,21.37876039,20.67882348,19.10391018
69,21.36521714,20.66423873,19.08559252
69.5,21.35171003,20.64971764,19.06738395
70,21.33823938,20.63525995,19.04928381
70.5,21.32480553,20.62086541,19.03129146
71,21.3114088,20.60653374,19.01340626
71.5,21.29804949,20.59226469,18.99562757
72,21.2847279,20.57805799,18.97795476
72.5,21.27144431,20.56391339,18.96038719
73,21.258199,20.54983062,18.94292424
73.5,21.24499223,20.53580942,18.92556529
74,21.23182424,20.52184953,18.90830971
74.5,21.21869529,20.5079507,18.89115689
75,21.20560559,20.49411266,18.87410622
75.5,21.19255538,20.48033516,18.8571571
76,21.17954486,20.46661794,18.8403089
76.5,21.16657424,20.45296074,18.82356104
77,21.15364371,20.4393633,18.80691292
77.5,21.14075345,20.42582538,18.79036394
78,21.12790365,20.41234671,18.77391351
78.5,21.11509447,20.39892704,18.75756105
79,21.10232607,20.38556613,18.74130597
79.5,21.0895986,20.3722637,18.72514769
80,21.0769122,20.35901952,18.70908564
80.5,21.06426702,20.34583334,18.69311924
81,21.05166318,20.3327049,18.67724793
81.5,21.03910079,20.31963395,18.66147113
82,21.02657999,20.30662025,18.64578828
82.5,21.01410087,20.29366355,18.63019883
83,21.00166353,20.2807636,18.61470222
83.5,20.98926807,20.26792015,18.59929789
84,20.97691458,20.25513297,18.5839853
84.5,20.96460313,20.2424018,18.5687639
85,20.95233381,20.22972641,18.55363315
85.5,20.94010669,20.21710655,18.5385925
86,20.92792181,20.20454198,18.52364142
86.5,20.91577926,20.19203246,18.50877938
87,20.90367907,20.17957776,18.49400584
87.5,20.89162129,20.16717762,18.47932029
88,20.87960597,20.15483183,18.46472219
88.5,20.86763314,20.14254013,18.45021102
89,20.85570284,20.13030229,18.43578627
89.5,20.84381508,20.11811808,18.42144743
90,20.8319699,20.10598727,18.40719397
90.5,20.82016731,20.09390962,18.3930254
91,20.80840733,20.0818849,18.3789412
91.5,20.79668996,20.06991288,18.36494088
92,20.7850152,20.05799332,18.35102393
92.5,20.77338306,20.04612601,18.33718986
93,20.76179354,20.03431071,18.32343817
93.5,20.75024662,20.0225472,18.30976838
94,20.7387423,20.01083524,18.29618
94.5,20.72728055,19.99917462,18.28267253
95,20.71586137,19.98756511,18.26924551
95.5,20.70448472,19.97600648,18.25589844
96,20.69315058,19.96449851,18.24263087
96.5,20.68185893,19.95304099,18.2294423
97,20.67060972,19.94163369,18.21633227
97.5,20.65940293,19.93027639,18.20330032
98,20.64823851,19.91896888,18.19034597
98.5,20.63711643,19.90771093,18.17746877
99,20.62603664,19.89650233,18.16466825
99.5,20.61499908,19.88534286,18.15194397
100,20.60400372,19.8742323,18.13929546
100.5,20.5930505,19.86317045,18.12672228
101,20.58213935,19.8521571,18.11422397
101.5,20.57127023,19.84119201,18.10180009
102,20.56044307,19.830275,18.0894502
102.5,20.54965781,19.81940584,18.07717385
103,20.53891439,19.80858433,18.06497061
103.5,20.52821273,19.79781026,18.05284004
104,20.51755277,19.78708341,18.04078172
104.5,20.50693443,19.77640359,18.0287952
105,20.49635765,19.76577059,18.01688007
105.5,20.48582234,19.7551842,18.00503589
106,20.47532842,19.74464422,17.99326225
106.5,20.46487582,19.73415044,17.98155872
107,20.45446445,19.72370267,17.96992489
107.5,20.44409424,19.71330069,17.95836034
108,20.43376509,19.70294432,17.94686466
108.5,20.42347692,19.69263335,17.93543744
109,20.41322963,19.68236758,17.92407827
109.5,20.40302315,19.67214681,17.91278675
110,20.39285738,19.66197085,17.90156247
110.5,20.38273222,19.6518395,17.89040503
111,20.37264757,19.64175257,17.87931404
111.5,20.36260336,19.63170985,17.86828909
112,20.35259947,19.62171116,17.8573298
112.5,20.3426358,19.6117563,17.84643578
113,20.33271227,19.60184509,17.83560663
113.5,20.32282876,19.59197733,17.82484198
114,20.31298517,19.58215282,17.81414142
114.5,20.30318141,19.57237138,17.8035046
115,20.29341736,19.56263283,17.79293111
115.5,20.28369292,19.55293697,17.7824206
116,20.27400799,19.54328362,17.77197267
116.5,20.26436245,19.53367258,17.76158697
117,20.25475621,19.52410368,17.75126311
117.5,20.24518914,19.51457673,17.74100074
118,20.23566113,19.50509154,17.73079948
118.5,20.22617209,19.49564794,17.72065897
119,20.21672189,19.48624574,17.71057885
119.5,20.20731042,19.47688476,17.70055875
120,20.19793758,19.46756481,17.69059833
120.5,20.18860323,19.45828573,17.68069723
