temps,T1,T2,T3
0,23,23,23
0.5,23.03262258,23.00059677,23.00018567
1,23.06505089,23.00233509,23.00073622
1.5,23.09728608,23.00514055,23.00164213
2,23.1293293,23.00894327,23.00289407
2.5,23.1611817,23.01367764,23.00448295
3,23.19284441,23.01928206,23.00639986
3.5,23.22431856,23.02569867,23.00863612
4,23.25560528,23.03287315,23.0111832
4.5,23.28670568,23.0407545,23.0140328
5,23.31762088,23.04929483,23.01717679
5.5,23.34835196,23.05844919,23.02060723
6,23.37890004,23.06817537,23.02431636
6.5,23.40926619,23.07843373,23.02829659
7,23.43945151,23.08918707,23.0325405
7.5,23.46945707,23.10040048,23.03704084
8,23.49928394,23.11204116,23.04179052
8.5,23.52893319,23.12407834,23.04678263
9,23.55840586,23.13648314,23.05201038
9.5,23.58770303,23.14922844,23.05746718
10,23.61682572,23.1622888,23.06314655
10.5,23.64577498,23.17564034,23.06904217
11,23.67455184,23.18926063,23.07514787
11.5,23.70315733,23.20312866,23.08145762
12,23.73159247,23.21722468,23.08796551
12.5,23.75985827,23.23153017,23.0946658
13,23.78795575,23.24602777,23.10155284
13.5,23.81588589,23.26070117,23.10862113
14,23.84364971,23.27553508,23.1158653
14.5,23.87124819,23.29051517,23.12328009
15,23.89868232,23.30562797,23.13086037
15.5,23.92595306,23.32086087,23.13860112
16,23.95306141,23.33620204,23.14649745
16.5,23.98000832,23.35164038,23.15454455
17,24.00679476,23.3671655,23.16273777
17.5,24.03342167,23.38276765,23.17107251
18,24.05989002,23.39843769,23.17954433
18.5,24.08620075,23.41416704,23.18814885
19,24.11235479,23.4299477,23.19688182
19.5,24.13835307,23.44577213,23.20573906
20,24.16419653,23.46163329,23.21471652
20.5,24.18988609,23.47752459,23.22381023
21,24.21542267,23.49343984,23.23301629
21.5,24.24080716,23.50937327,23.24233092
22,24.26604049,23.52531946,23.25175042
22.5,24.29112355,23.54127333,23.26127117
23,24.31605723,23.55723016,23.27088964
23.5,24.34084243,23.5731855,23.28060238
24,24.36548002,23.58913521,23.29040602
24.5,24.3899709,23.60507541,23.30029728
25,24.41431593,23.62100248,23.31027293
25.5,24.43851597,23.63691303,23.32032984
26,24.46257191,23.65280391,23.33046495
26.5,24.48648458,23.66867216,23.34067526
27,24.51025485,23.68451502,23.35095786
27.5,24.53388356,23.70032993,23.3613099
28,24.55737156,23.71611449,23.37172858
28.5,24.58071968,23.73186648,23.38221119
29,24.60392876,23.7475838,23.39275508
29.5,24.62699963,23.76326454,23.40335765
30,24.6499331,23.77890688,23.41401638
30.5,24.67273,23.79450915,23.42472879
31,24.69539114,23.81006981,23.43549248
31.5,24.71791733,23.82558741,23.4463051
32,24.74030937,23.84106061,23.45716435
32.5,24.76256807,23.85648817,23.46806798
33,24.7846942,23.87186894,23.47901382
33.5,24.80668857,23.88720188,23.48999973
34,24.82855197,23.90248599,23.50102363
34.5,24.85028516,23.91772038,23.51208348
35,24.87188892,23.93290421,23.5231773
35.5,24.89336403,23.94803673,23.53430316
36,24.91471125,23.96311723,23.54545918
36.5,24.93593134,23.97814507,23.55664351
37,24.95702507,23.99311967,23.56785435
37.5,24.97799317,24.00804049,23.57908996
38,24.99883641,24.02290705,23.59034862
38.5,25.01955552,24.03771891,23.60162867
39,25.04015125,24.05247567,23.61292849
39.5,25.06062432,24.06717698,23.62424649
40,25.08097548,24.08182253,23.63558112
40.5,25.10120543,24.09641202,23.64693088
41,25.12131492,24.11094522,23.65829431
41.5,25.14130465,24.12542189,23.66966996
42,25.16117533,24.13984186,23.68105644
42.5,25.18092768,24.15420497,23.69245239
43,25.2005624,24.16851107,23.70385649
43.5,25.2200802,24.18276005,23.71526743
44,25.23948176,24.19695183,23.72668397
44.5,25.25876778,24.21108633,23.73810488
45,25.27793895,24.22516351,23.74952895
45.5,25.29699595,24.23918334,23.76095502
46,25.31593946,24.25314581,23.77238196
46.5,25.33477016,24.26705091,23.78380867
47,25.35348872,24.28089866,23.79523405
47.5,25.37209581,24.2946891,23.80665707
48,25.39059209,24.30842228,23.81807671
48.5,25.40897822,24.32209824,23.82949196
49,25.42725485,24.33571707,23.84090187
49.5,25.44542265,24.34927883,23.85230548
50,25.46348225,24.36278362,23.86370188
50.5,25.4814343,24.37623154,23.87509018
51,25.49927945,24.38962269,23.8864695
51.5,25.51701832,24.4029572,23.897839
52,25.53465156,24.41623518,23.90919787
52.5,25.55217978,24.42945677,23.92054528
53,25.56960362,24.44262209,23.93188048
53.5,25.5869237,24.45573131,23.9432027
54,25.60414064,24.46878455,23.95451121
54.5,25.62125504,24.48178199,23.96580528
55,25.63826753,24.49472377,23.97708423
55.5,25.6551787,24.50761007,23.98834737
56,25.67198916,24.52044104,23.99959405
56.5,25.68869952,24.53321686,24.01082363
57,25.70531036,24.5459377,24.02203549
57.5,25.72182228,24.55860375,24.03322902
58,25.73823586,24.57121519,24.04440365
58.5,25.7545517,24.58377219,24.0555588
59,25.77077038,24.59627494,24.06669392
59.5,25.78689247,24.60872364,24.07780847
60,25.80291855,24.62111848,24.08890194
60.5,25.8188492,24.63345964,24.09997382
61,25.83468497,24.64574733,24.11102362
61.5,25.85042644,24.65798173,24.12205087
62,25.86607416,24.67016305,24.1330551
62.5,25.8816287,24.68229149,24.14403588
63,25.89709061,24.69436725,24.15499277
63.5,25.91246044,24.70639052,24.16592535
64,25.92773873,24.71836151,24.17683321
64.5,25.94292605,24.73028043,24.18771597
65,25.95802292,24.74214747,24.19857324
65.5,25.97302988,24.75396285,24.20940466
66,25.98794748,24.76572676,24.22020987
66.5,26.00277624,24.77743941,24.23098852
67,26.01751669,24.78910101,24.24174029
67.5,26.03216936,24.80071176,24.25246485
68,26.04673477,24.81227187,24.2631619
68.5,26.06121343,24.82378155,24.27383112
69,26.07560588,24.835241,24.28447224
69.5,26.08991261,24.84665043,24.29508498
70,26.10413415,24.85801004,24.30566906
70.5,26.11827099,24.86932004,24.31622423
71,26.13232365,24.88058063,24.32675023
71.5,26.14629262,24.89179203,24.33724683
72,26.1601784,24.90295444,24.34771379
72.5,26.17398149,24.91406805,24.3581509
73,26.18770238,24.92513309,24.36855793
73.5,26.20134156,24.93614974,24.37893468
74,26.21489951,24.94711823,24.38928095
74.5,26.22837673,24.95803874,24.39959656
75,26.24177368,24.96891148,24.40988132
75.5,26.25509085,24.97973666,24.42013506
76,26.26832872,24.99051448,24.43035761
