temps,T1,T2,T3
0,23,23,23
0.5,23,23,23
1,23,23,23
1.5,23,23,23
2,23,23,23
2.5,23,23,23
3,23,23,23
3.5,23,23,23
4,23,23,23
4.5,23,23,23
5,23,23,23
5.5,23,23,23
6,23,23,23
6.5,23,23,23
7,23,23,23
7.5,23,23,23
8,23,23,23
8.5,23,23,23
9,23,23,23
9.5,23,23,23
10,23,23,23
10.5,23,23,23
11,23,23,23
11.5,23,23,23
12,23,23,23
12.5,23,23,23
13,23,23,23
13.5,23,23,23
14,23,23,23
14.5,23,23,23
15,23,23,23
15.5,23,23,23
16,23,23,23
16.5,23,23,23
17,23,23,23
17.5,23,23,23
18,23,23,23
18.5,23,23,23
19,23,23,23
19.5,23,23,23
20,23,23,23
20.5,23,23,23
21,23,23,23
21.5,23,23,23
22,23,23,23
22.5,23,23,23
23,23,23,23
23.5,23,23,23
24,23,23,23
24.5,23,23,23
25,23,23,23
25.5,23,23,23
26,23,23,23
26.5,23,23,23
27,23,23,23
27.5,23,23,23
28,23,23,23
28.5,23,23,23
29,23,23,23
29.5,23,23,23
30,23,23,23
30.5,23,23,23
31,23,23,23
31.5,23,23,23
32,23,23,23
32.5,23,23,23
33,23,23,23
33.5,23,23,23
34,23,23,23
34.5,23,23,23
35,23,23,23
35.5,23,23,23
36,23,23,23
36.5,23,23,23
37,23,23,23
37.5,23,23,23
38,23,23,23
38.5,23,23,23
39,23,23,23
39.5,23,23,23
40,23,23,23
40.5,23,23,23
41,23,23,23
41.5,23,23,23
42,23,23,23
42.5,23,23,23
43,23,23,23
43.5,23,23,23
44,23,23,23
44.5,23,23,23
45,23,23,23
45.5,23,23,23
46,23,23,23
46.5,23,23,23
47,23,23,23
47.5,23,23,23
48,23,23,23
48.5,23,23,23
49,23,23,23
49.5,23,23,23
50,23,23,23
50.5,23,23,23
51,23,23,23
51.5,23,23,23
52,23,23,23
52.5,23,23,23
53,23,23,23
53.5,23,23,23
54,23,23,23
54.5,23,23,23
55,23,23,23
55.5,23,23,23
56,23,23,23
56.5,23,23,23
57,23,23,23
57.5,23,23,23
58,23,23,23
58.5,23,23,23
59,23,23,23
59.5,23,23,23
60,23,23,23
60.5,23,23,23
61,23,23,23
61.5,23,23,23
62,23,23,23
62.5,23,23,23
63,23,23,23
63.5,23,23,23
64,23,23,23
64.5,23,23,23
65,23,23,23
65.5,23,23,23
66,23,23,23
66.5,23,23,23
67,23,23,23
67.5,23,23,23
68,23,23,23
68.5,23,23,23
69,23,23,23
69.5,23,23,23
70,23,23,23
70.5,23,23,23
71,23,23,23
71.5,23,23,23
72,23,23,23
72.5,23,23,23
73,23,23,23
73.5,23,23,23
74,23,23,23
74.5,23,23,23
75,23,23,23
75.5,23,23,23
76,23,23,23
76.5,23,23,23
77,23,23,23
77.5,23,23,23
78,23,23,23
78.5,23,23,23
79,23,23,23
79.5,23,23,23
80,23,23,23
80.5,23,23,23
81,23,23,23
81.5,23,23,23
82,23,23,23
82.5,23,23,23
83,23,23,23
83.5,23,23,23
84,23,23,23
84.5,23,23,23
85,23,23,23
85.5,23,23,23
86,23,23,23
86.5,23,23,23
87,23,23,23
87.5,23,23,23
88,23,23,23
88.5,23,23,23
89,23,23,23
89.5,23,23,23
90,23,23,23
90.5,23,23,23
