Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.88,24.42,24.06
1,23.88,24.42,24.06
2,23.88,24.42,24.06
3,23.88,24.42,24.06
4,23.88,24.42,24.06
5,23.79,24.42,24.06
6,23.70,24.42,24.06
7,23.61,24.42,24.06
8,23.43,24.42,24.06
9,23.34,24.42,24.06
10,23.25,24.42,24.06
11,23.16,24.42,24.06
12,23.07,24.42,24.06
13,23.07,24.42,24.06
14,22.98,24.42,24.06
15,22.90,24.33,24.06
16,22.90,24.33,24.06
17,22.81,24.33,24.06
18,22.72,24.33,24.06
19,22.72,24.33,24.06
20,22.72,24.24,24.06
21,22.63,24.24,24.06
22,22.63,24.24,23.97
23,22.54,24.24,23.97
24,22.54,24.15,23.97
25,22.45,24.15,23.97
26,22.45,24.15,23.97
27,22.36,24.15,23.97
28,22.36,24.15,23.97
29,22.27,24.06,23.97
30,22.27,24.06,23.88
31,22.18,23.97,23.88
32,22.18,23.97,23.88
33,22.18,23.97,23.88
34,22.09,23.97,23.88
35,22.09,23.97,23.88
36,22.09,23.88,23.88
37,22.00,23.88,23.88
38,22.00,23.88,23.79
39,22.00,23.88,23.79
40,22.00,23.79,23.79
41,21.91,23.79,23.79
42,21.91,23.79,23.79
43,21.91,23.79,23.79
44,21.82,23.70,23.79
45,21.82,23.70,23.70
46,21.82,23.70,23.70
47,21.82,23.70,23.70
48,21.82,23.70,23.70
49,21.73,23.61,23.61
50,21.73,23.61,23.61
51,21.73,23.61,23.61
52,21.64,23.61,23.61
53,21.64,23.52,23.61
54,21.64,23.52,23.61
55,21.64,23.52,23.61
56,21.64,23.52,23.52
57,21.64,23.52,23.52
58,21.55,23.43,23.52
59,21.55,23.43,23.52
60,21.55,23.43,23.52
61,21.55,23.43,23.52
62,21.55,23.34,23.43
63,21.46,23.34,23.43
64,21.46,23.34,23.43
65,21.46,23.34,23.34
66,21.46,23.34,23.34
67,21.46,23.25,23.34
68,21.37,23.25,23.34
69,21.37,23.25,23.34
70,21.37,23.25,23.34
71,21.37,23.25,23.25
72,21.28,23.16,23.25
73,21.28,23.16,23.25
74,21.28,23.16,23.25
75,21.28,23.16,23.16
76,21.28,23.07,23.16
77,21.20,23.07,23.16
78,21.20,23.07,23.16
79,21.20,23.07,23.16
80,21.20,23.07,23.07
81,21.20,23.07,23.07
82,21.20,22.98,23.07
83,21.20,22.98,23.07
84,21.11,22.98,23.07
85,21.11,22.98,22.98
86,21.11,22.90,22.98
87,21.11,22.90,22.98
88,21.11,22.90,22.98
89,21.11,22.90,22.98
90,21.11,22.90,22.90
91,21.02,22.90,22.90
92,21.02,22.81,22.90
93,21.02,22.81,22.90
94,21.02,22.81,22.90
95,21.02,22.81,22.90
96,21.02,22.81,22.90
97,21.02,22.81,22.81
98,21.02,22.72,22.81
99,20.93,22.72,22.81
100,20.93,22.72,22.81
101,20.93,22.72,22.72
102,20.93,22.72,22.72
103,20.93,22.63,22.72
104,20.93,22.72,22.72
105,20.93,22.63,22.72
106,20.84,22.63,22.72
107,20.84,22.63,22.72
108,20.84,22.63,22.63
109,20.84,22.63,22.63
110,20.84,22.63,22.63
111,20.84,22.54,22.63
112,20.84,22.54,22.63
113,20.75,22.54,22.63
114,20.75,22.54,22.63
115,20.75,22.54,22.63
116,20.75,22.54,22.54
117,20.75,22.54,22.63
118,20.75,22.54,22.54
