Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,22.35,22.61,22.61
1,22.35,22.61,22.61
2,22.35,22.61,22.61
3,22.35,22.61,22.61
4,22.35,22.61,22.61
5,22.35,22.61,22.61
6,22.35,22.70,22.70
7,22.35,22.61,22.61
8,22.35,22.61,22.61
9,22.35,22.61,22.61
10,22.35,22.61,22.61
11,22.26,22.61,22.61
12,22.08,22.61,22.61
13,21.81,22.61,22.61
14,21.54,22.70,22.61
15,21.27,22.61,22.61
16,21.10,22.61,22.61
17,20.92,22.61,22.61
18,20.74,22.52,22.61
19,20.56,22.52,22.61
20,20.38,22.52,22.61
21,20.21,22.43,22.61
22,20.12,22.43,22.61
23,19.94,22.43,22.61
24,19.85,22.35,22.61
25,19.67,22.26,22.61
26,19.58,22.26,22.52
27,19.49,22.26,22.61
28,19.40,22.17,22.52
29,19.32,22.17,22.52
30,19.23,22.08,22.52
31,19.14,21.99,22.52
32,18.96,21.99,22.43
33,18.96,21.90,22.43
34,18.87,21.90,22.43
35,18.78,21.81,22.43
36,18.69,21.72,22.43
37,18.60,21.72,22.43
38,18.51,21.63,22.35
39,18.43,21.63,22.35
40,18.43,21.54,22.26
41,18.34,21.54,22.26
42,18.34,21.45,22.26
43,18.25,21.45,22.26
44,18.25,21.36,22.17
45,18.16,21.27,22.17
46,18.07,21.27,22.08
47,18.07,21.18,22.08
48,17.98,21.18,22.08
49,17.98,21.10,21.99
50,17.89,21.10,21.99
51,17.89,21.01,21.99
52,17.80,21.01,21.90
53,17.80,20.92,21.90
54,17.71,20.92,21.90
55,17.71,20.83,21.81
56,17.62,20.83,21.72
57,17.62,20.83,21.72
58,17.54,20.74,21.72
59,17.54,20.74,21.72
60,17.54,20.65,21.63
61,17.54,20.65,21.63
62,17.45,20.56,21.63
63,17.45,20.56,21.54
64,17.36,20.47,21.54
65,17.36,20.47,21.54
66,17.27,20.38,21.45
67,17.27,20.38,21.45
68,17.18,20.38,21.45
69,17.18,20.29,21.36
70,17.18,20.29,21.36
71,17.09,20.21,21.36
72,17.09,20.21,21.27
73,17.09,20.12,21.27
74,17.09,20.12,21.18
75,17.00,20.12,21.18
76,16.91,20.12,21.10
77,16.91,20.03,21.10
78,16.91,20.03,21.10
79,16.91,19.94,21.10
80,16.82,19.94,21.01
81,16.82,19.94,21.01
82,16.82,19.85,20.92
83,16.82,19.85,20.92
84,16.73,19.76,20.83
85,16.73,19.76,20.83
86,16.73,19.76,20.74
87,16.64,19.67,20.74
88,16.64,19.67,20.74
89,16.55,19.58,20.74
90,16.55,19.58,20.74
91,16.55,19.58,20.65
92,16.46,19.49,20.56
93,16.46,19.49,20.65
94,16.46,19.49,20.56
95,16.38,19.40,20.56
96,16.38,19.40,20.56
97,16.38,19.40,20.47
98,16.38,19.32,20.47
99,16.38,19.32,20.47
100,16.38,19.32,20.38
101,16.29,19.23,20.38
102,16.29,19.23,20.38
103,16.29,19.23,20.38
104,16.20,19.23,20.29
105,16.20,19.14,20.29
106,16.20,19.14,20.29
107,16.20,19.05,20.21
108,16.20,19.05,20.21
109,16.11,19.05,20.12
110,16.11,19.05,20.21
111,16.11,18.96,20.12
112,16.11,18.96,20.12
113,16.02,18.96,20.03
114,16.02,18.87,20.03
115,16.02,18.87,19.94
116,16.02,18.87,19.94
117,16.02,18.87,19.94
118,15.93,18.78,19.85
119,15.84,18.78,19.85
120,15.84,18.69,19.76
121,15.84,18.69,19.76
122,15.75,18.69,19.76
123,15.66,18.69,19.67
124,15.66,18.60,19.67
125,15.66,18.60,19.67
126,15.66,18.51,19.58
127,15.57,18.51,19.58
128,15.57,18.51,19.58
129,15.48,18.51,19.58
130,15.48,18.51,19.58
131,15.48,18.51,19.58
132,15.48,18.43,19.49
133,15.39,18.43,19.49
134,15.39,18.43,19.49
135,15.39,18.34,19.49
136,15.39,18.34,19.49
137,15.30,18.25,19.40
138,15.30,18.25,19.40
139,15.30,18.25,19.40
140,15.30,18.25,19.32
141,15.30,18.16,19.32
142,15.30,18.16,19.32
143,15.21,18.16,19.32
144,15.21,18.16,19.23
145,15.12,18.07,19.23
146,15.12,18.07,19.23
147,15.03,18.07,19.23
148,15.03,18.07,19.14
149,15.03,17.98,19.14
150,15.03,17.98,19.14
151,14.94,17.98,19.14
152,14.94,17.98,19.14
153,14.94,17.89,19.14
154,14.94,17.89,19.05
155,14.94,17.89,19.05
156,14.94,17.89,18.96
157,14.94,17.89,18.96
158,14.94,17.80,18.96
159,14.94,17.80,18.87
160,14.94,17.80,18.87
161,14.94,17.80,18.87
162,14.94,17.80,18.87
163,14.85,17.71,18.87
164,14.85,17.71,18.78
165,14.85,17.71,18.87
166,14.76,17.71,18.78
167,14.76,17.62,18.78
168,14.76,17.62,18.78
169,14.76,17.62,18.78
170,14.76,17.62,18.78
171,14.76,17.62,18.69
172,14.76,17.62,18.78
173,14.76,17.62,18.69
174,14.67,17.54,18.69
175,14.67,17.62,18.69
176,14.67,17.54,18.60
177,14.67,17.54,18.69
178,14.67,17.54,18.69
179,14.58,17.54,18.69
180,14.58,17.54,18.69
181,14.67,17.54,18.60
182,14.67,17.54,18.60
183,14.58,17.45,18.60
184,14.58,17.45,18.60
185,14.49,17.45,18.51
186,14.49,17.45,18.51
187,14.49,17.36,18.51
188,14.49,17.36,18.51
189,14.49,17.36,18.51
190,14.49,17.36,18.51
191,14.49,17.36,18.51
192,14.58,17.36,18.51
193,14.58,17.27,18.43
194,14.58,17.27,18.43
195,14.58,17.27,18.43
196,14.49,17.27,18.43
197,14.58,17.27,18.34
198,14.58,17.18,18.34
199,14.49,17.18,18.34
200,14.49,17.18,18.25
201,14.49,17.18,18.34
202,14.40,17.18,18.25
203,14.31,17.18,18.25
204,14.31,17.09,18.25
205,14.31,17.09,18.25
206,14.22,17.09,18.25
207,14.22,17.09,18.16
208,14.22,17.18,18.25
209,14.22,17.09,18.25
210,14.22,17.09,18.16
211,14.22,17.09,18.16
212,14.31,17.09,18.16
213,14.31,17.00,18.16
214,14.22,17.00,18.16
215,14.31,17.00,18.16
216,14.31,17.00,18.16
217,14.31,16.91,18.16
218,14.31,16.91,18.07
219,14.31,16.91,18.07
220,14.31,16.91,18.07
221,14.31,16.91,18.07
222,14.40,16.91,17.98
223,14.31,16.91,18.07
224,14.31,16.91,17.98
225,14.31,16.91,17.98
226,14.31,16.91,17.89
227,14.31,16.91,17.89
228,14.31,16.91,17.89
229,14.31,16.91,17.80
230,14.31,16.91,17.80
231,14.31,16.82,17.80
232,14.31,16.82,17.80
233,14.31,16.82,17.80
234,14.31,16.82,17.80
235,14.31,16.82,17.89
236,14.40,16.73,17.80
237,14.31,16.82,17.80
238,14.31,16.73,17.80
239,14.31,16.73,17.80
240,14.31,16.73,17.80
241,14.22,16.73,17.80
242,14.22,16.73,17.80
243,14.22,16.73,17.80
244,14.13,16.73,17.80
245,14.13,16.73,17.80
246,14.04,16.73,17.80
247,14.04,16.73,17.80
248,14.04,16.82,17.80
249,13.95,16.73,17.80
250,13.95,16.73,17.80
251,13.95,16.73,17.80
252,13.95,16.73,17.80
253,13.95,16.73,17.71
254,13.86,16.73,17.80
255,13.86,16.73,17.80
256,13.86,16.73,17.80
257,13.86,16.64,17.71
258,13.86,16.64,17.71
259,13.77,16.64,17.71
260,13.77,16.73,17.71
261,13.77,16.64,17.71
262,13.77,16.64,17.71
263,13.77,16.64,17.71
264,13.77,16.55,17.71
265,13.68,16.55,17.62
266,13.68,16.55,17.62
267,13.77,16.55,17.62
268,13.77,16.55,17.62
270,13.77,16.46,17.62
271,13.77,16.55,17.62
272,13.86,16.55,17.54
273,13.86,16.55,17.54
274,13.86,16.46,17.54
275,13.86,16.46,17.62
276,13.77,16.46,17.54
277,13.77,16.46,17.54
278,13.77,16.46,17.54
279,13.86,16.46,17.54
280,13.77,16.46,17.54
281,13.77,16.46,17.45
282,13.77,16.38,17.54
