Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,21.72,21.99,21.99
1,21.72,21.99,21.99
2,21.72,21.99,21.99
3,21.72,21.99,21.99
4,21.72,21.99,21.99
5,21.72,22.08,21.99
6,21.72,21.99,21.99
7,21.72,21.99,21.99
8,21.72,21.99,21.99
9,21.72,22.08,21.99
10,21.72,21.99,21.99
11,21.45,22.08,21.99
12,21.10,21.99,21.99
13,20.56,21.99,21.99
14,20.12,21.99,21.99
15,19.76,21.99,21.99
16,19.40,21.99,21.99
17,19.05,21.90,21.99
18,18.78,21.90,21.99
19,18.51,21.81,21.99
20,18.25,21.81,21.99
21,17.98,21.72,21.99
22,17.71,21.63,21.99
23,17.54,21.54,21.99
24,17.27,21.54,21.99
25,17.09,21.45,21.99
26,16.91,21.36,21.99
27,16.73,21.27,21.90
28,16.55,21.18,21.90
29,16.38,21.10,21.90
30,16.20,21.01,21.90
31,16.11,20.92,21.90
32,15.93,20.83,21.81
33,15.84,20.74,21.81
34,15.66,20.65,21.72
35,15.57,20.56,21.72
36,15.39,20.47,21.63
37,15.30,20.38,21.63
38,15.12,20.29,21.63
39,15.03,20.21,21.54
40,15.03,20.21,21.54
41,14.85,20.12,21.45
42,14.76,20.03,21.45
43,14.67,19.94,21.36
44,14.58,19.85,21.36
45,14.49,19.76,21.27
46,14.40,19.67,21.27
47,14.31,19.58,21.18
48,14.22,19.58,21.10
49,14.13,19.40,21.10
50,14.04,19.40,21.01
51,13.95,19.32,21.01
52,13.86,19.23,20.83
53,13.77,19.14,20.83
54,13.77,19.05,20.74
55,13.68,18.96,20.74
56,13.59,18.87,20.65
57,13.59,18.87,20.56
58,13.50,18.78,20.56
59,13.41,18.69,20.47
60,13.32,18.60,20.38
61,13.23,18.51,20.38
62,13.14,18.51,20.29
63,13.05,18.43,20.29
64,13.05,18.43,20.21
65,12.96,18.34,20.12
66,12.96,18.25,20.03
67,12.96,18.16,19.94
68,12.86,18.07,19.94
69,12.86,18.07,19.76
70,12.77,17.98,19.85
71,12.68,17.89,19.76
72,12.68,17.80,19.76
73,12.68,17.80,19.58
74,12.68,17.71,19.58
75,12.59,17.62,19.49
76,12.59,17.62,19.49
77,12.50,17.54,19.40
78,12.41,17.45,19.40
79,12.41,17.45,19.32
80,12.32,17.36,19.32
81,12.32,17.36,19.23
82,12.23,17.27,19.14
83,12.23,17.18,19.05
84,12.14,17.18,19.05
85,12.04,17.18,18.96
86,11.95,17.09,18.96
87,11.86,17.00,18.96
88,11.77,17.00,18.87
89,11.68,16.91,18.78
90,11.59,16.82,18.78
91,11.59,16.82,18.69
92,11.49,16.82,18.69
93,11.49,16.82,18.60
94,11.49,16.73,18.60
95,11.40,16.64,18.51
96,11.31,16.55,18.51
97,11.31,16.55,18.43
98,11.22,16.46,18.43
99,11.22,16.46,18.34
100,11.13,16.38,18.34
101,11.13,16.38,18.25
102,10.94,16.29,18.16
103,10.94,16.20,18.16
104,10.94,16.20,18.07
105,10.94,16.11,17.98
106,10.94,16.02,17.98
107,10.85,16.02,17.98
108,10.76,16.02,17.89
109,10.76,15.93,17.89
110,10.67,15.93,17.80
111,10.67,15.84,17.80
112,10.67,15.84,17.71
113,10.67,15.75,17.71
114,10.57,15.75,17.62
115,10.57,15.66,17.62
116,10.57,15.66,17.54
117,10.48,15.57,17.54
118,10.48,15.57,17.54
119,10.48,15.57,17.45
120,10.39,15.48,17.45
121,10.39,15.48,17.36
122,10.39,15.48,17.36
123,10.39,15.39,17.27
124,10.30,15.39,17.27
125,10.30,15.30,17.18
126,10.30,15.30,17.18
127,10.20,15.21,17.18
128,10.20,15.21,17.09
129,10.20,15.12,17.00
130,10.11,15.12,17.00
131,10.11,15.03,16.91
132,10.02,15.03,16.91
133,10.02,15.03,16.82
134,10.02,14.94,16.82
135,9.92,14.94,16.82
136,9.92,14.85,16.82
137,9.92,14.85,16.73
138,9.92,14.85,16.73
139,9.92,14.76,16.64
140,9.83,14.76,16.64
141,9.83,14.76,16.55
142,9.83,14.76,16.55
143,9.74,14.67,16.55
144,9.74,14.67,16.46
145,9.64,14.67,16.46
146,9.64,14.58,16.46
147,9.64,14.58,16.38
148,9.55,14.49,16.38
149,9.46,14.49,16.29
150,9.55,14.40,16.29
151,9.55,14.40,16.29
152,9.55,14.31,16.20
153,9.55,14.31,16.20
154,9.55,14.22,16.20
155,9.55,14.22,16.11
156,9.55,14.22,16.11
157,9.55,14.22,16.11
158,9.46,14.22,16.11
159,9.46,14.13,16.02
160,9.46,14.13,16.02
161,9.36,14.13,16.02
162,9.36,14.04,15.93
163,9.27,14.04,15.93
164,9.27,14.04,15.93
165,9.27,13.95,15.84
166,9.18,13.95,15.84
167,9.18,13.86,15.84
168,9.08,13.86,15.84
169,9.18,13.86,15.75
170,9.08,13.86,15.75
171,8.99,13.86,15.75
172,8.99,13.86,15.75
173,9.08,13.86,15.66
174,9.08,13.86,15.75
175,8.99,13.86,15.66
176,8.99,13.77,15.66
177,8.99,13.77,15.66
178,8.99,13.77,15.57
179,8.99,13.68,15.57
180,9.08,13.68,15.57
181,9.08,13.59,15.57
182,9.18,13.59,15.48
183,9.18,13.59,15.48
184,9.18,13.50,15.48
185,9.08,13.50,15.48
186,9.08,13.50,15.39
187,8.99,13.50,15.39
188,8.99,13.50,15.39
189,8.99,13.50,15.39
190,9.08,13.41,15.30
191,9.08,13.41,15.30
192,9.08,13.41,15.30
193,9.08,13.32,15.30
194,8.99,13.32,15.21
195,8.99,13.32,15.21
196,8.89,13.32,15.12
197,8.89,13.23,15.12
198,8.80,13.23,15.12
199,8.80,13.23,15.12
200,8.71,13.23,15.03
201,8.61,13.23,15.03
202,8.61,13.14,14.94
203,8.61,13.14,14.94
204,8.61,13.05,14.85
205,8.61,13.05,14.85
206,8.61,13.05,14.85
207,8.61,12.96,14.76
208,8.52,12.86,14.76
209,8.52,12.86,14.76
210,8.42,12.86,14.76
211,8.42,12.86,14.67
212,8.42,12.86,14.67
213,8.33,12.77,14.67
214,8.33,12.77,14.67
215,8.33,12.77,14.67
216,8.23,12.77,14.67
217,8.23,12.68,14.67
218,8.14,12.68,14.67
219,8.14,12.68,14.58
220,8.14,12.68,14.58
221,8.14,12.68,14.58
222,8.14,12.68,14.58
223,8.23,12.68,14.58
224,8.14,12.68,14.49
225,8.14,12.68,14.49
226,8.14,12.68,14.49
227,8.23,12.68,14.49
228,8.14,12.68,14.49
229,8.14,12.68,14.49
230,8.14,12.68,14.49
231,8.04,12.68,14.49
232,8.04,12.59,14.49
233,8.14,12.68,14.49
234,8.14,12.59,14.40
235,8.14,12.59,14.31
236,8.23,12.50,14.31
237,8.14,12.59,14.22
238,8.14,12.59,14.22
239,8.14,12.50,14.22
240,8.23,12.50,14.13
241,8.23,12.50,14.22
242,8.23,12.41,14.04
243,8.23,12.50,14.04
244,8.23,12.41,14.04
245,8.23,12.41,14.04
246,8.23,12.41,14.04
247,8.23,12.41,13.95
248,8.23,12.41,13.95
249,8.23,12.41,13.95
250,8.23,12.32,13.95
251,8.23,12.32,13.86
252,8.23,12.32,13.95
253,8.14,12.32,13.95
254,8.14,12.41,14.04
255,8.14,12.32,14.04
256,8.14,12.32,14.04
257,8.14,12.32,14.04
258,8.14,12.32,14.04
259,8.04,12.23,14.04
260,8.04,12.32,14.04
261,8.04,12.23,13.95
262,8.04,12.23,13.86
263,8.04,12.23,13.86
264,8.04,12.23,13.86
265,8.04,12.14,13.86
266,8.04,12.14,13.77
267,8.04,12.14,13.77
268,8.04,12.14,13.77
269,8.04,12.14,13.77
271,8.04,12.14,13.68
272,8.04,12.14,13.68
273,8.14,12.14,13.68
274,8.14,12.14,13.59
275,8.14,12.04,13.59
276,8.14,12.04,13.68
277,8.14,12.04,13.77
278,8.14,12.04,13.77
279,8.04,12.14,13.77
280,7.95,12.14,13.77
281,7.95,12.14,13.77
282,7.95,12.14,13.77
283,7.85,12.14,13.86
284,7.85,12.14,13.77
285,7.85,12.04,13.86
286,7.76,12.14,13.86
287,7.76,12.14,13.86
288,7.85,12.14,13.86
289,7.76,12.04,13.77
290,7.76,12.04,13.77
291,7.76,12.04,13.77
292,7.85,12.04,13.77
293,7.95,12.04,13.77
294,7.95,12.04,13.86
295,8.04,12.04,13.86
296,8.04,12.04,13.86
297,8.04,11.95,13.86
298,8.04,11.95,13.77
299,8.04,11.95,13.86
300,8.14,11.95,13.86
301,8.14,11.95,13.86
302,8.14,11.95,13.77
303,8.14,11.95,13.77
304,8.23,11.95,13.77
305,8.14,11.95,13.77
306,8.14,11.95,13.77
307,8.14,12.04,13.77
308,8.14,12.04,13.77
309,8.14,12.04,13.77
310,8.14,12.04,13.68
311,8.04,12.04,13.77
312,8.04,12.04,13.68
313,8.04,12.04,13.77
314,8.04,12.04,13.77
315,8.04,12.04,13.77
316,8.04,12.04,13.68
317,7.95,12.04,13.77
318,7.95,12.14,13.77
319,7.85,12.14,13.77
320,7.85,12.14,13.77
321,7.85,12.14,13.77
322,7.85,12.04,13.77
323,7.95,12.04,13.77
324,8.04,12.04,13.77
325,8.04,12.04,13.77
326,8.04,11.95,13.77
327,8.04,12.04,13.77
328,8.04,12.04,13.77
329,7.95,12.04,13.77
330,7.95,12.04,13.77
331,7.85,12.04,13.77
332,7.85,12.04,13.77
333,7.76,12.04,13.86
334,7.76,12.04,13.77
335,7.66,12.04,13.77
336,7.66,11.95,13.77
337,7.57,11.95,13.77
338,7.57,11.95,13.77
339,7.57,11.95,13.77
340,7.57,11.95,13.77
341,7.57,11.95,13.77
342,7.66,11.95,13.77
343,7.76,11.95,13.68
344,7.76,11.86,13.77
345,7.85,11.86,13.68
346,7.85,11.86,13.68
347,7.95,11.86,13.68
348,7.95,11.86,13.59
349,7.85,11.86,13.59
350,7.85,11.86,13.59
351,7.76,11.86,13.50
352,7.76,11.86,13.50
353,7.66,11.86,13.59
354,7.66,11.86,13.59
355,7.66,11.86,13.59
356,7.57,11.86,13.59
357,7.57,11.86,13.59
358,7.47,11.77,13.59
359,7.57,11.77,13.59
360,7.47,11.77,13.59
361,7.47,11.77,13.59
362,7.47,11.86,13.59
363,7.47,11.86,13.59
364,7.47,11.86,13.59
365,7.47,11.86,13.59
366,7.47,11.77,13.59
367,7.47,11.86,13.59
368,7.47,11.77,13.59
369,7.47,11.86,13.59
370,7.47,11.86,13.59
371,7.47,11.86,13.59
372,7.47,11.86,13.59
373,7.47,11.86,13.59
374,7.47,11.86,13.59
375,7.47,11.86,13.59
376,7.47,11.86,13.59
377,7.47,11.86,13.50
378,7.57,11.77,13.50
379,7.57,11.77,13.50
380,7.57,11.77,13.50
381,7.57,11.77,13.50
382,7.57,11.77,13.50
383,7.57,11.68,13.50
384,7.47,11.68,13.50
385,7.47,11.77,13.50
386,7.38,11.77,13.50
387,7.38,11.77,13.59
388,7.47,11.77,13.59
389,7.57,11.77,13.50
390,7.57,11.68,13.59
391,7.47,11.68,13.59
392,7.57,11.68,13.50
393,7.57,11.68,13.59
394,7.57,11.68,13.50
395,7.66,11.68,13.50
396,7.66,11.68,13.50
397,7.66,11.68,13.50
398,7.76,11.68,13.50
399,7.76,11.68,13.50
400,7.76,11.68,13.50
401,7.85,11.59,13.50
402,7.85,11.59,13.50
403,7.85,11.59,13.50
404,7.76,11.59,13.41
405,7.76,11.59,13.32
406,7.85,11.59,13.32
407,7.85,11.59,13.23
408,7.85,11.59,13.23
409,7.85,11.59,13.32
410,7.85,11.59,13.23
411,7.85,11.59,13.32
412,7.76,11.59,13.23
413,7.76,11.49,13.32
414,7.76,11.59,13.23
415,7.76,11.59,13.32
416,7.76,11.59,13.32
417,7.76,11.59,13.23
418,7.76,11.59,13.23
419,7.76,11.59,13.14
420,7.76,11.59,13.14
421,7.66,11.59,13.14
422,7.66,11.59,13.05
423,7.66,11.59,13.05
424,7.66,11.59,12.96
425,7.66,11.59,12.96
426,7.76,11.59,13.05
427,8.23,11.59,13.14
428,8.71,11.59,13.14
429,9.18,11.59,13.14
430,9.64,11.68,13.14
431,10.11,11.68,13.23
432,10.39,11.86,13.14
433,10.76,11.86,13.23
434,11.03,11.86,13.23
435,11.22,11.86,13.23
436,11.49,11.95,13.32
437,11.68,12.04,13.32
438,11.86,12.14,13.41
439,12.04,12.14,13.41
440,12.14,12.23,13.41
441,12.32,12.32,13.50
442,12.50,12.41,13.50
443,12.68,12.50,13.50
444,12.77,12.59,13.50
445,12.96,12.68,13.59
446,13.14,12.68,13.59
447,13.32,12.77,13.68
448,13.41,12.86,13.68
449,13.50,12.96,13.68
450,13.68,13.05,13.77
451,13.86,13.14,13.77
452,13.95,13.23,13.86
453,14.13,13.23,13.86
454,14.22,13.32,13.95
455,14.31,13.41,14.04
456,14.49,13.50,14.04
457,14.58,13.59,14.13
458,14.67,13.68,14.13
459,14.85,13.77,14.22
460,14.94,13.86,14.31
461,15.03,13.95,14.31
462,15.12,14.04,14.31
463,15.21,14.22,14.40
464,15.21,14.31,14.49
465,15.30,14.40,14.49
466,15.30,14.49,14.58
467,15.39,14.49,14.67
468,15.48,14.58,14.67
469,15.57,14.67,14.76
470,15.66,14.67,14.85
471,15.75,14.76,14.85
472,15.75,14.85,14.94
473,15.84,14.94,14.94
474,15.93,15.03,14.94
475,15.93,15.03,15.03
476,16.02,15.12,15.03
477,16.11,15.21,15.12
478,16.20,15.21,15.21
479,16.29,15.30,15.30
480,16.29,15.39,15.39
481,16.38,15.48,15.39
482,16.38,15.48,15.48
483,16.46,15.57,15.57
484,16.55,15.57,15.57
485,16.55,15.66,15.66
486,16.64,15.75,15.66
487,16.64,15.75,15.75
488,16.73,15.84,15.84
489,16.73,15.93,15.84
490,16.82,15.93,15.93
491,16.91,16.02,16.02
492,16.91,16.11,16.02
493,17.00,16.11,16.02
494,17.09,16.20,16.11
495,17.18,16.20,16.20
496,17.18,16.29,16.20
497,17.27,16.38,16.20
498,17.36,16.38,16.29
499,17.36,16.46,16.38
500,17.36,16.55,16.46
501,17.45,16.55,16.46
502,17.54,16.64,16.46
503,17.54,16.73,16.55
504,17.54,16.73,16.64
505,17.62,16.82,16.73
506,17.62,16.82,16.82
507,17.62,16.91,16.82
508,17.71,17.00,16.82
509,17.71,17.09,17.00
510,17.71,17.09,17.00
511,17.80,17.18,17.09
512,17.80,17.18,17.09
513,17.80,17.27,17.18
514,17.89,17.27,17.18
515,17.89,17.36,17.18
516,17.98,17.36,17.27
517,17.98,17.45,17.27
518,17.98,17.45,17.36
519,17.98,17.54,17.36
520,18.07,17.54,17.45
521,18.16,17.62,17.45
522,18.16,17.62,17.54
523,18.25,17.71,17.54
524,18.25,17.71,17.62
525,18.34,17.80,17.62
526,18.34,17.80,17.71
527,18.43,17.89,17.80
528,18.51,17.89,17.80
529,18.51,17.98,17.80
530,18.51,17.98,17.89
531,18.60,18.07,17.89
532,18.60,18.07,17.98
533,18.69,18.16,17.98
534,18.69,18.16,17.98
535,18.78,18.25,17.98
536,18.78,18.25,18.07
537,18.78,18.25,18.07
538,18.87,18.34,18.07
539,18.87,18.43,18.16
540,18.87,18.43,18.16
542,18.96,18.43,18.25
543,18.96,18.51,18.25
544,19.05,18.51,18.34
545,19.05,18.51,18.43
546,19.14,18.60,18.43
547,19.05,18.60,18.43
548,19.14,18.69,18.51
549,19.14,18.69,18.51
550,19.14,18.78,18.60
551,19.14,18.78,18.60
552,19.23,18.78,18.69
553,19.23,18.87,18.69
