Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,23.79,24.24,23.88
1,23.79,24.24,23.88
2,23.79,24.24,23.88
3,23.79,24.33,23.88
4,23.79,24.24,23.88
5,23.79,24.24,23.88
6,23.79,24.24,23.88
7,23.88,24.24,23.88
8,23.97,24.24,23.88
9,24.15,24.33,23.88
10,24.33,24.33,23.88
11,24.51,24.33,23.88
12,24.69,24.33,23.88
13,24.87,24.33,23.88
14,24.97,24.33,23.88
15,25.06,24.33,23.88
16,25.15,24.33,23.88
17,25.33,24.42,23.88
18,25.42,24.42,23.88
19,25.51,24.42,23.88
20,25.60,24.51,23.88
21,25.69,24.51,23.88
22,25.69,24.51,23.88
23,25.78,24.60,23.88
24,25.87,24.60,23.88
25,26.05,24.69,23.88
26,26.05,24.69,23.88
27,26.14,24.69,23.97
28,26.24,24.78,23.97
29,26.24,24.78,23.97
30,26.33,24.78,23.97
31,26.33,24.87,23.97
32,26.42,24.97,23.97
33,26.51,24.97,23.97
34,26.51,24.97,24.06
35,26.60,25.06,24.06
36,26.60,25.06,24.06
37,26.69,25.06,24.06
38,26.78,25.15,24.15
39,26.78,25.15,24.15
40,26.87,25.24,24.15
41,26.87,25.24,24.15
42,26.97,25.24,24.24
43,26.97,25.33,24.24
44,27.06,25.33,24.24
45,27.06,25.42,24.33
46,27.06,25.42,24.33
47,27.15,25.42,24.33
48,27.15,25.51,24.33
49,27.24,25.51,24.33
50,27.24,25.60,24.42
51,27.33,25.60,24.42
52,27.33,25.60,24.42
53,27.33,25.69,24.51
54,27.42,25.69,24.51
55,27.42,25.69,24.51
56,27.42,25.78,24.60
57,27.52,25.78,24.60
58,27.52,25.78,24.60
59,27.52,25.87,24.69
60,27.61,25.87,24.69
61,27.61,25.96,24.69
62,27.61,25.96,24.69
63,27.61,25.96,24.78
64,27.70,26.05,24.78
65,27.70,26.05,24.78
66,27.70,26.05,24.78
67,27.79,26.14,24.87
68,27.79,26.14,24.87
69,27.88,26.14,24.97
