Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,22.61,23.06,23.06
1,22.70,23.06,23.06
2,22.70,23.06,22.97
3,22.61,23.06,22.97
4,22.61,23.06,23.06
5,22.61,23.06,22.97
6,22.61,22.97,22.97
7,22.61,23.06,22.97
8,22.79,23.06,22.97
9,23.06,22.97,22.97
10,23.42,22.97,22.97
11,23.78,22.97,22.97
12,24.14,22.97,22.97
13,24.41,23.06,22.97
14,24.68,23.06,22.97
15,24.95,23.06,22.97
16,25.13,23.15,22.97
17,25.40,23.15,22.97
18,25.67,23.24,22.97
19,25.77,23.24,22.97
20,25.95,23.33,22.97
21,26.13,23.33,22.97
22,26.31,23.42,22.97
23,26.49,23.51,22.97
24,26.68,23.60,22.97
25,26.77,23.60,22.97
26,26.95,23.69,23.06
27,27.04,23.78,23.06
28,27.13,23.87,23.06
29,27.32,23.87,23.06
30,27.41,23.96,23.15
31,27.50,24.05,23.15
32,27.59,24.14,23.15
33,27.69,24.14,23.24
34,27.78,24.23,23.24
35,27.87,24.32,23.24
36,27.96,24.41,23.33
37,28.05,24.50,23.33
38,28.15,24.50,23.42
39,28.24,24.59,23.42
40,28.33,24.68,23.51
41,28.42,24.77,23.51
42,28.52,24.77,23.60
43,28.61,24.86,23.60
44,28.70,24.95,23.69
45,28.70,24.95,23.69
46,28.79,25.04,23.78
47,28.89,25.13,23.78
48,28.89,25.22,23.87
49,28.98,25.31,23.87
50,29.07,25.31,23.96
51,29.17,25.40,23.96
52,29.26,25.49,24.05
53,29.35,25.49,24.14
54,29.35,25.58,24.14
55,29.45,25.67,24.14
56,29.54,25.77,24.23
57,29.54,25.77,24.32
58,29.63,25.86,24.32
59,29.63,25.86,24.41
60,29.73,25.95,24.41
61,29.82,26.04,24.50
62,29.82,26.04,24.50
63,29.92,26.13,24.59
64,30.01,26.22,24.68
65,30.01,26.22,24.68
66,30.10,26.31,24.77
67,30.20,26.31,24.77
68,30.29,26.40,24.86
69,30.29,26.40,24.95
70,30.39,26.49,24.95
71,30.39,26.59,25.04
72,30.39,26.59,25.04
73,30.48,26.68,25.13
74,30.57,26.68,25.13
75,30.67,26.77,25.22
76,30.67,26.86,25.22
77,30.76,26.86,25.31
78,30.76,26.95,25.40
79,30.86,26.95,25.40
80,30.95,27.04,25.49
81,30.95,27.04,25.58
82,30.95,27.13,25.58
83,31.05,27.23,25.67
84,31.05,27.23,25.67
85,31.05,27.32,25.77
86,31.05,27.32,25.77
87,31.14,27.41,25.86
88,31.14,27.41,25.86
89,31.14,27.50,25.95
90,31.24,27.50,26.04
91,31.33,27.59,26.04
92,31.33,27.59,26.04
93,31.33,27.69,26.13
94,31.43,27.69,26.13
95,31.43,27.78,26.22
96,31.43,27.78,26.22
97,31.52,27.87,26.31
98,31.52,27.87,26.31
99,31.52,27.96,26.40
100,31.62,27.96,26.40
101,31.62,28.05,26.40
102,31.72,28.05,26.49
103,31.72,28.05,26.59
104,31.72,28.15,26.68
105,31.81,28.15,26.68
106,31.81,28.24,26.68
107,31.81,28.24,26.68
108,31.91,28.33,26.77
109,31.91,28.33,26.77
110,31.91,28.42,26.86
111,32.00,28.42,26.86
112,32.00,28.52,26.95
113,32.10,28.52,26.95
114,32.10,28.52,26.95
115,32.10,28.61,27.04
116,32.20,28.61,27.04
117,32.20,28.70,27.13
