Temps (s),Sortie (bits),Entrée régu (erreur en celcius)
0,127,0
2,206,4
4,207,4
6,208,4
8,209,4
10,210,4
12,211,4
14,213,4
16,214,4
18,215,4
20,216,4
22,217,4
24,219,4
26,220,4
28,221,4
30,222,4
32,224,4
34,225,4
36,226,4
38,227,4
40,229,4
42,230,4
44,231,4
46,233,4
48,234,4
50,235,4
52,237,4
54,238,4
56,239,4
58,241,4
60,242,4
62,243,4
64,245,4
66,246,4
68,247,4
70,248,4
72,250,4
74,251,4
76,252,4
78,254,4
80,255,4
82,255,4
84,255,4
86,255,4
88,255,4
90,255,4
92,255,4
94,255,4
96,255,4
98,255,4
100,255,4
102,255,4
104,255,4
106,255,4
108,255,4
110,255,4
112,255,4
114,255,4
116,255,4
118,255,4
120,255,4
122,255,4
124,255,4
126,255,4
128,255,4
130,255,4
132,255,4
134,255,4
136,255,4
138,255,4
140,255,4
142,255,4
144,255,4
146,255,4
148,255,4
150,255,4
152,255,4
154,255,4
156,255,4
158,255,4
160,255,4
162,255,4
164,255,4
166,255,4
168,255,4
170,255,4
172,255,4
174,255,4
176,255,4
178,255,4
180,255,4
182,255,4
184,255,4
186,255,4
188,255,4
190,255,4
192,255,4
194,255,4
196,255,4
198,255,4
200,255,4
202,255,4
204,255,4
206,255,4
208,255,4
210,255,4
212,255,4
214,255,4
216,255,4
218,255,4
220,255,4
222,255,4
224,255,4
226,255,4
228,255,4
230,255,4
232,255,4
234,255,4
236,255,4
238,255,4
240,255,4
242,255,4
244,255,4
246,255,4
248,255,4
250,255,4
