Temps (s),Sortie (bits),Entrée régu (erreur en celcius)
0,127,0
2,48,-4
4,47,-4
6,46,-4
8,45,-4
10,44,-4
12,43,-4
14,42,-4
16,40,-4
18,39,-4
20,38,-4
22,37,-4
24,36,-4
26,34,-4
28,33,-4
30,32,-4
32,31,-4
34,29,-4
36,28,-4
38,27,-4
40,25,-4
42,24,-4
44,23,-4
46,21,-4
48,20,-4
50,19,-4
52,18,-4
54,16,-4
56,15,-4
58,14,-4
60,12,-4
62,11,-4
64,10,-4
66,8,-4
68,7,-4
70,6,-4
72,4,-4
74,3,-4
76,2,-4
78,0,-4
80,0,-4
82,0,-4
84,0,-4
86,0,-4
88,0,-4
90,0,-4
92,0,-4
94,0,-4
96,0,-4
98,0,-4
100,0,-4
102,0,-4
104,0,-4
106,0,-4
108,0,-4
110,0,-4
112,0,-4
114,0,-4
116,0,-4
118,0,-4
120,0,-4
122,0,-4
124,0,-4
126,0,-4
128,0,-4
130,0,-4
132,0,-4
134,0,-4
136,0,-4
138,0,-4
140,0,-4
142,0,-4
144,0,-4
146,0,-4
148,0,-4
150,0,-4
152,0,-4
154,0,-4
156,0,-4
158,0,-4
160,0,-4
162,0,-4
164,0,-4
166,0,-4
168,0,-4
170,0,-4
172,0,-4
174,0,-4
176,0,-4
178,0,-4
180,0,-4
182,0,-4
184,0,-4
186,0,-4
188,0,-4
190,0,-4
192,0,-4
194,0,-4
196,0,-4
198,0,-4
200,0,-4
202,0,-4
204,0,-4
206,0,-4
208,0,-4
210,0,-4
212,0,-4
214,0,-4
216,0,-4
218,0,-4
220,0,-4
222,0,-4
224,0,-4
226,0,-4
228,0,-4
230,0,-4
232,0,-4
234,0,-4
236,0,-4
238,0,-4
240,0,-4
